ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
AHS-001,"À partir de €6,899","Paris, Sud de la France, Dubaï","Gestion de projets humanitaires : conception, pilotage et clôture selon les standards PMDPro et ODD","Maîtriser le cycle de gestion de projet humanitaire selon le référentiel PMDPRO, en intégrant les principes humanitaires, les standards de qualité (Sphere, CHS) et l'alignement avec les ODD.",14 jours,Expérience ou forte motivation pour le secteur humanitaire/développement. Connaissance de base de la gestion de projet est un plus.,"Chefs de projet humanitaire (débutants/confirmés), coordinateurs de programme, personnel ONG/ONU impliqué dans les projets, consultants spécialisés humanitaire.",Dans nos locaux,"Présentation du guide PMDPRO, études de cas humanitaires, exercices pratiques sur chaque phase du cycle projet (conception, planification, S&E...), lien avec les ODD et les standards humanitaires (Sphere, CHS).","Supports de cours, Guide PMDPRO (accès/présentation), études de cas, modèles de documents projet (cadre logique, budget, plan S&E), référentiels ODD/Sphere/CHS.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Examen blanc type PMDPro (si pertinent), élaboration d'un mini-document de projet humanitaire. (Note: Certification PMDPro externe via Humentum/PM4NGOs).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion des catastrophes naturelles et réponses aux crises humanitaires,"Comprendre le cycle de gestion des catastrophes (prévention, préparation, réponse, relèvement) et les principes de l'action humanitaire pour répondre efficacement aux crises.",14 jours,Intérêt pour les questions humanitaires et/ou la gestion des risques. Capacité à travailler sous pression (théorique).,"Personnels des agences de protection civile/gestion des catastrophes, coordinateurs de programmes humanitaires (ONG, agences ONU), logisticiens humanitaires, travailleurs sociaux en contexte de crise, personnel de la Croix-Rouge/Croissant-Rouge.",Dans nos locaux,"Typologie des catastrophes et crises, cycle de gestion des catastrophes, principes humanitaires (humanité, impartialité...), coordination de l'aide (clusters), évaluation rapide des besoins, standards minimums (SPHERE).","Supports de cours, Cadre de Sendai pour la RRC, principes humanitaires, manuel SPHERE, guides sectoriels (eau, abri, santé...), études de cas de réponses à des catastrophes/crises.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une réponse à une catastrophe passée au regard des principes et standards. Élaboration d'un plan de réponse simplifié pour un scénario de crise donné.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Sécurité alimentaire et résilience : stratégies d’autonomie durable,"Analyser les causes de l'insécurité alimentaire et élaborer des stratégies (agricoles, économiques, sociales, politiques) visant à renforcer la sécurité et l'autonomie alimentaires des populations.",14 jours,"Connaissances en agronomie, économie du développement, sociologie rurale ou nutrition sont un plus.","Cadres des ministères (agriculture, planification, santé), gestionnaires de programmes de sécurité alimentaire (ONG, PAM...), agronomes, économistes, chercheurs en développement rural.",Dans nos locaux,"Concepts clés (sécurité alimentaire, souveraineté, autonomie), diagnostic de l'insécurité alimentaire, stratégies de production durable, gestion post-récolte, accès aux marchés, politiques publiques, nutrition.","Supports de cours, cadres d'analyse de la sécurité alimentaire (ex: Cadre Intégré de Classification - IPC), guides sur les bonnes pratiques agricoles durables, études de cas de stratégies nationales/locales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la situation de sécurité alimentaire d'une région donnée et proposition d'axes stratégiques. Élaboration d'une composante de projet visant l'autonomie alimentaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion du développement international et de l’action humanitaire : approches et bonnes pratiques,Acquérir une vision d'ensemble des meilleures pratiques actuelles en matière de gestion de programmes et d'organisations dans les secteurs du développement international et de l'aide humanitaire.,14 jours,Expérience ou formation dans le secteur du développement/humanitaire.,"Cadres et managers d'ONG internationales/nationales, personnel des agences de coopération/bailleurs de fonds, consultants en développement/humanitaire.",Dans nos locaux,"Gouvernance des organisations, gestion stratégique, gestion axée sur les résultats (GAR), S&E, gestion financière et conformité bailleurs, gestion des ressources humaines, partenariat, plaidoyer, redevabilité (accountability).","Supports de cours, standards de qualité et de redevabilité (CHS, Sphere...), guides sur la GAR, exemples de plans stratégiques ONG, cadres de conformité bailleurs (principes généraux).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse critique d'une stratégie ou d'un mode de fonctionnement d'une organisation au regard des meilleures pratiques. Proposition d'améliorations.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-005,"À partir de €6,899","Paris, Sud de la France, Dubaï","Gestion de l’aide et des interventions humanitaires : principes, outils et techniques clés","Maîtriser les principes fondamentaux (humanité, neutralité...), les techniques clés (évaluation des besoins, ciblage...) et les outils opérationnels utilisés dans la gestion de l'aide humanitaire.",14 jours,Intérêt marqué pour le secteur humanitaire. Capacité d'adaptation et de travail en contexte difficile (théorique).,"Personnel de terrain (tous secteurs), logisticiens, administrateurs, chargés de S&E débutants, coordinateurs de projet/site, volontaires internationaux.",Dans nos locaux,"Principes humanitaires et droit international humanitaire (bases), cycle du projet humanitaire, évaluation rapide (MIRA...), ciblage des bénéficiaires, modalités d'aide (cash, vivres...), S&E humanitaire, coordination (clusters).","Supports de cours, Charte humanitaire et standards minimums (Sphere), guides pratiques sur l'évaluation/ciblage/distribution, outils de S&E rapide, présentation des mécanismes de coordination.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Simulation d'une évaluation rapide des besoins ou d'un exercice de ciblage. Analyse d'une situation humanitaire au regard des principes et standards.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prise en charge des violences sexuelles en contexte de conflit : méthodes et protocoles d’intervention,"Acquérir les connaissances et outils pour prévenir et répondre aux VSBG en contexte de conflit, en adoptant une approche centrée sur la survivante et conforme aux standards internationaux.",14 jours,"Expérience dans le secteur humanitaire, social ou de la protection. Maturité émotionnelle et respect de la confidentialité.","Travailleurs humanitaires (protection, santé, psychosocial), personnel des ONG spécialisées VSBG, travailleurs sociaux, juristes, personnel des missions de maintien de la paix, points focaux genre/protection.",Dans nos locaux,"Concepts VSBG, cadre légal (DIH), approche centrée survivante (""do no harm""), gestion de cas (identification, écoute active, référencement sûr, accompagnement), coordination inter-agences (cluster protection), prévention.","Supports de cours, guides IASC sur les VSBG en situations d'urgence, outils de gestion de cas (formulaires types, protocoles), études de cas (anonymisées), jeux de rôles (éthiques).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Étude de cas sur la gestion d'une situation VSBG (analyse et proposition de plan d'action). QCM sur les principes directeurs et les procédures.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-007,"À partir de €6,899","Paris, Sud de la France, Dubaï","Initiation à l’action humanitaire : femmes, paix et sécurité en Afrique de l’Ouest (HAWA WPS CC)","Comprendre les fondamentaux de l'aide humanitaire et l'agenda Femmes, Paix et Sécurité (Résolution 1325 et suivantes), spécifiquement dans le contexte de l'Afrique de l'Ouest.",14 jours,"Intérêt pour l'humanitaire, la paix, la sécurité et les questions de genre en Afrique de l'Ouest.","Personnel des ONG locales/internationales, société civile, forces de défense et de sécurité, fonctionnaires, journalistes, chercheurs travaillant sur la région ou ces thématiques.",Dans nos locaux,"Principes de l'aide humanitaire, contexte ouest-africain (conflits, crises), Résolution 1325 et agenda WPS (participation, protection, prévention), rôle des femmes dans la paix et la sécurité, défis régionaux.","Supports de cours, Résolutions pertinentes du Conseil de Sécurité de l'ONU, plans d'action nationaux WPS (exemples Ouest-Africains), rapports sur la situation humanitaire/sécuritaire régionale, études de cas.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une situation régionale au prisme de l'agenda WPS. Proposition d'actions pour renforcer la participation des femmes dans un processus de paix ou de réponse humanitaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Sécurité et sûreté des missions humanitaires : stratégies de gestion des risques sur le terrain,"Maîtriser les principes, méthodes et outils pour assurer la sécurité et la sûreté du personnel, des biens et des opérations d'une organisation humanitaire en contexte volatile ou dangereux.",14 jours,"Expérience professionnelle dans le secteur humanitaire, idéalement sur le terrain. Calme et capacité d'analyse sous pression.","Responsables sécurité ONG, coordinateurs de terrain/site, chefs de mission, logisticiens, personnel déployé en zones à risques, points focaux sécurité.",Dans nos locaux,"Analyse du contexte sécuritaire, évaluation des risques (menaces, vulnérabilités), triangle de la sécurité (acceptation, protection, dissuasion), planification sécuritaire (procédures, plan d'évacuation...), gestion d'incidents.","Supports de cours, guides de sécurité pour les ONG (ex: EISF, InterAction), outils d'analyse de contexte/risques, modèles de plans de sécurité, protocoles de communication sécurisée, études de cas d'incidents sécuritaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une analyse de risques et de règles de sécurité pour une mission fictive. Simulation de gestion d'un incident sécuritaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Reconstruction et développement post-conflit : accompagnement des réfugiés et déplacés internes en Afrique,"Comprendre les défis et stratégies de la reconstruction post-conflit en Afrique, en mettant l'accent sur le retour, la réintégration durable et le développement des communautés réfugiées et déplacées internes (PDI).",14 jours,Connaissance des contextes de conflit/post-conflit en Afrique et/ou expérience avec les réfugiés/PDI.,"Personnel des agences ONU (HCR, OIM, PNUD), ONG travaillant avec les réfugiés/PDI, cadres des administrations nationales/locales en zones post-conflit, chercheurs, consultants en relèvement précoce/consolidation de la paix.",Dans nos locaux,"Cadre légal et institutionnel (réfugiés, PDI), lien entre humanitaire, développement et paix (Nexus), stratégies de retour/réintégration, relèvement économique, cohésion sociale, gouvernance locale, DDR (Désarmement, Démobilisation, Réintégration).","Supports de cours, Conventions relatives aux réfugiés, Principes directeurs relatifs au déplacement interne, cadres stratégiques (Nexus HDP), guides sur le relèvement/la réintégration, études de cas africains.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des défis de la réintégration dans un contexte post-conflit spécifique. Élaboration d'une composante de projet visant à soutenir le relèvement économique des retournés/PDI.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
AHS-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Droit international humanitaire et pénal : outils juridiques pour la paix et la sécurité régionales et internationales,"Comprendre les principes fondamentaux, règles et mécanismes du DIH et du DIP et leur application par les organisations internationales/régionales (ONU, UA, CEDEAO...) pour maintenir la paix et la sécurité.",14 jours,"Formation juridique ou expérience pertinente dans les relations internationales, conflits, humanitaire, droits humains, travail au sein d'OI/OR.","Juristes, diplomates, militaires, policiers (missions de paix), personnel politique/programme des OI/OR, chercheurs en droit international/relations internationales.",Dans nos locaux,"Sources et principes DIH/DIP, application dans les opérations de maintien de la paix, mécanismes de justice transitionnelle, rôle des tribunaux internationaux/régionaux, interaction DIH/DIP et mandats des OI/OR.","Supports de cours, textes fondamentaux (Conventions de Genève, Statut de Rome, Chartes OI/OR), résolutions pertinentes (CSNU...), jurisprudence internationale/régionale, doctrine, études de cas (missions de paix, TPI...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'un mandat d'une opération de paix au regard du DIH/DIP. Étude de cas sur la réponse d'une OI/OR à des violations graves du DIH/DIP.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
