ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
BAM1,"À partir de €6,899","Paris, Sud de la France, Dubaï",Outils et techniques de gestion du risque de crédit,"Maîtriser les techniques d'analyse (financière, sectorielle, qualitative) et les outils (scoring, notation interne...) pour évaluer, mesurer et gérer efficacement le risque de crédit aux entreprises et/ou particuliers.",2 semaines (env. 70-80h),"Formation en finance, économie ou gestion, ou expérience en analyse crédit/risques ou en relation clientèle bancaire/MFI.","Analystes crédit, chargés d'affaires entreprises/particuliers, gestionnaires de risques crédit, auditeurs crédit, responsables engagements dans les banques et IMF.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse financière (bilan, compte de résultat, ratios), analyse qualitative (management, marché...), modèles de scoring/notation, estimation de la Probabilité de Défaut (PD) / Perte en Cas de Défaut (LGD), gestion de portefeuille crédit, techniques de mitigation (garanties...).","Supports de cours, méthodes d'analyse financière, modèles de scoring/notation (principes), outils de simulation de risque crédit (présentation), études de cas d'analyse crédit (entreprises/particuliers), réglementation prudentielle (Bâle - volet crédit).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse complète d'un dossier de crédit (financier, qualitatif, risques). Calcul et interprétation d'une notation de crédit interne. Proposition de décision et de mesures de mitigation du risque.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM2,"À partir de €6,899","Paris, Sud de la France, Dubaï","Cadre juridique, comptable et fiscal en microfinance","Maîtriser le cadre réglementaire spécifique (juridique, comptable, fiscal) applicable aux opérations courantes (crédit, épargne, services...) des Institutions de Microfinance (IMF).",2 semaines (env. 70-80h),"Connaissance du secteur de la microfinance et/ou formation en droit, comptabilité ou finance.","Cadres et employés des IMF (juristes, comptables, financiers, auditeurs internes, contrôleurs de gestion, responsables d'agence), personnel des autorités de supervision des IMF, consultants spécialisés IMF.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre juridique des IMF (statuts, agrément...), réglementation des opérations de crédit/épargne MFI, plan comptable spécifique IMF (si existant) ou adaptations, fiscalité applicable aux IMF et à leurs opérations, aspects juridiques des garanties en microfinance.","Supports de cours, textes légaux et réglementaires spécifiques à la microfinance (national/régional), plan comptable IMF (si applicable), guides pratiques juridiques/comptables/fiscaux pour les IMF, études de cas d'opérations courantes IMF.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse de la conformité juridique, comptable et fiscale d'opérations courantes d'une IMF. Traitement comptable et fiscal d'opérations spécifiques à la microfinance.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM3,"À partir de €6,899","Paris, Sud de la France, Dubaï",Contrôle de gestion en banque et microfinance,"Maîtriser la conception, la mise en place et le pilotage d'un système de contrôle de gestion adapté aux banques/IMF (rentabilité produit/client/agence, tableaux de bord, budget...).",2 semaines (env. 70-80h),Solides connaissances en contrôle de gestion ou en comptabilité/finance bancaire/MFI. Maîtrise d'Excel/outils BI.,"Contrôleurs de gestion bancaire/MFI, responsables financiers/comptables, auditeurs internes, consultants en organisation/performance bancaire/MFI, responsables d'agence/centre de profit.",Dans nos locaux / En ligne / Intra-entreprise,"Spécificités contrôle gestion bancaire/MFI, calcul coûts et PNB/PNI par activité/canal, mesure rentabilité (agences, produits, clients...), élaboration tableaux de bord de pilotage (financiers, opérationnels, risques), processus budgétaire et suivi des réalisations.","Supports de cours, méthodes de calcul de coûts (ABC...), outils de reporting/BI (présentation/pratique), exemples de tableaux de bord bancaires/MFI, modèles de budgets, études de cas de mise en place/utilisation du contrôle de gestion en banque/IMF.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un tableau de bord pour une agence bancaire ou une activité MFI. Calcul et analyse de la rentabilité d'un produit ou d'un client. Simulation d'un processus budgétaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM4,"À partir de €6,899","Paris, Sud de la France, Dubaï",Financements structurés : techniques et montages,"Maîtriser les techniques et outils des financements structurés (titrisation, LBO, financement de projet, financements d'actifs...) pour répondre à des besoins de financement complexes.",2 semaines (env. 70-80h),Solide formation en finance d'entreprise/marchés de capitaux ou expérience confirmée en financement structuré/banque d'investissement.,"Banquiers d'affaires, spécialistes financements structurés, analystes crédit structuré, investisseurs institutionnels, avocats d'affaires spécialisés financements structurés, directeurs financiers de grandes entreprises/groupes.",Dans nos locaux / En ligne / Intra-entreprise,"Typologie des financements structurés (objectifs, mécanismes), structuration juridique et financière (véhicules ad hoc - SPV, tranches de risque...), techniques de modélisation financière complexe, analyse des risques spécifiques, aspects réglementaires et comptables.","Supports de cours (niveau expert), techniques de modélisation financière avancée, documentation juridique type (term sheets...), normes comptables IFRS applicables, études de cas détaillées de montages structurés (LBO, titrisation, project finance...), réglementation (Bâle...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Structuration d'un montage financier complexe (simplifié) pour répondre à un besoin donné (ex: financement d'acquisition, projet d'infrastructure). Analyse des risques et de la rentabilité d'une opération de financement structuré.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM5,"À partir de €6,899","Paris, Sud de la France, Dubaï",Conduire une mission d'audit en banque et microfinance,"Acquérir et maîtriser la méthodologie complète d'une mission d'audit interne (planification, réalisation, rapport, suivi) appliquée aux spécificités des banques et IMF, selon les meilleures pratiques (IIA...).",2 semaines (env. 70-80h),"Formation en audit, finance, gestion ou expérience en audit interne/externe ou contrôle interne, idéalement dans le secteur financier.","Auditeurs internes (banques, IMF), responsables d'audit interne, contrôleurs permanents/périodiques, consultants en audit interne bancaire/MFI.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre de référence de l'audit interne (IIA), planification basée sur les risques, élaboration du programme de travail, techniques d'audit (entretiens, tests, analyse de données...), identification et formulation des constats/recommandations, rédaction du rapport d'audit, suivi des recommandations.","Supports de cours, normes professionnelles de l'audit interne (IIA), méthodologie d'audit basée sur les risques, techniques d'échantillonnage/analyse de données, outils de rédaction de rapport d'audit, études de cas d'audit interne bancaire/MFI.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un programme de travail pour une mission d'audit interne sur un processus bancaire/MFI. Rédaction de constats et recommandations d'audit clairs et pertinents. Simulation d'une réunion de clôture d'audit.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM6,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion quotidienne d'une agence de microfinance,"Maîtriser les aspects opérationnels de la gestion quotidienne d'une agence IMF : gestion des équipes, développement commercial, gestion du portefeuille crédit/épargne, gestion des risques, relation client.",2 semaines (env. 70-80h),"Expérience en microfinance (agent de crédit, chef de caisse...) ou en management d'agence bancaire/commerciale.","Chefs d'agence IMF, superviseurs d'agents de crédit/épargne, responsables opérationnels régionaux IMF, futurs chefs d'agence IMF.",Dans nos locaux / En ligne / Intra-entreprise,"Pilotage de l'activité commerciale (objectifs, prospection...), gestion et animation de l'équipe d'agence, suivi du portefeuille crédit (qualité, recouvrement), gestion de l'épargne, gestion des risques opérationnels/fraude en agence, qualité de service et relation client.","Supports de cours, outils de pilotage commercial agence, techniques de management d'équipe, méthodes de suivi de portefeuille crédit/épargne, procédures de gestion des risques opérationnels IMF, guides sur la qualité de service client.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan d'action commercial pour une agence IMF. Analyse d'un portefeuille crédit d'agence et proposition d'actions de recouvrement. Simulation de gestion d'une situation client ou d'équipe difficile en agence.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM7,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gouvernance et stratégies en microfinance,"Comprendre les enjeux de gouvernance spécifiques aux IMF (conseil d'administration, relation avec les parties prenantes...) et savoir élaborer et déployer une stratégie de développement durable pour l'institution.",2 semaines (env. 70-80h),Expérience confirmée en management ou gouvernance dans le secteur de la microfinance ou financier/social.,"Dirigeants d'IMF (DG, DGA...), membres du conseil d'administration d'IMF, cadres supérieurs d'IMF, responsables de la stratégie/planification IMF, investisseurs/bailleurs de fonds spécialisés microfinance, régulateurs IMF.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de bonne gouvernance adaptés aux IMF, rôle et fonctionnement du CA, gestion des relations avec les bailleurs/investisseurs/membres, élaboration de la stratégie (mission sociale/performance financière), mesure de la performance sociale (SPM), gestion des risques stratégiques.","Supports de cours, codes de bonne gouvernance microfinance, outils d'analyse stratégique (SWOT...), standards de performance sociale (SPI4...), guides sur la gestion des risques stratégiques IMF, études de cas de stratégies/gouvernance IMF.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la gouvernance d'une IMF. Élaboration des axes stratégiques pour le développement d'une IMF en conciliant mission sociale et performance financière. Proposition d'indicateurs de performance sociale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM8,"À partir de €6,899","Paris, Sud de la France, Dubaï",Normes IAS/IFRS appliquées au secteur bancaire,"Comprendre et savoir appliquer les principales normes IAS/IFRS pertinentes pour le secteur bancaire (IFRS 9, IAS 32/39, IFRS 7, IAS 37...).",2 semaines (env. 70-80h),Solides connaissances en comptabilité financière et/ou expérience en comptabilité bancaire.,"Comptables bancaires, auditeurs financiers (spécialisés banque), contrôleurs financiers bancaires, responsables reporting réglementaire/financier, consultants IFRS banque, analystes financiers banque.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation normes clés banque (IFRS 9 instruments financiers - classement/évaluation/dépréciation ECL, IAS 32/IFRS 7 présentation/informations, IAS 37 provisions...), traitement comptable opérations bancaires, états financiers IFRS.","Supports de cours, Normes IAS/IFRS (IASB), guides d'application IFRS banque (Deloitte, PwC...), exemples d'états financiers bancaires IFRS, exercices pratiques de comptabilisation IFRS (crédits, titres...), logiciels comptables (présentation module IFRS).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Traitement comptable d'opérations bancaires complexes selon IFRS 9 (classement, dépréciation ECL). Analyse des impacts d'IFRS 9 sur les états financiers d'une banque.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM9,"À partir de €6,899","Paris, Sud de la France, Dubaï",Ingénierie financière et performance d'une IMF,"Maîtriser les outils d'ingénierie financière (prévisions, modélisation) et d'analyse de la performance (financière et sociale) spécifiques aux IMF pour optimiser leur gestion et leur pérennité.",2 semaines (env. 70-80h),"Formation en finance/gestion ou expérience significative en analyse financière/contrôle de gestion, idéalement en IMF. Maîtrise d'Excel.","Analystes financiers IMF, contrôleurs de gestion IMF, responsables financiers IMF, consultants spécialisés IMF, gestionnaires de portefeuille d'investissement à impact social.",Dans nos locaux / En ligne / Intra-entreprise,"Modélisation financière prévisionnelle IMF (plan d'affaires), analyse des indicateurs de performance financière clés (PAR, ROA, OSS...), analyse de la performance sociale (SPM, indicateurs portée/satisfaction client...), ingénierie de produits financiers microfinance.","Supports de cours, outils de modélisation financière IMF (Excel), indicateurs financiers et sociaux clés (ratios standardisés), standards de performance sociale (SPTF/Cerise), outils d'analyse de portefeuille, études de cas d'analyse de performance IMF.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Construction d'un modèle financier prévisionnel simple pour une IMF. Calcul et analyse des principaux indicateurs de performance financière et sociale d'une IMF. Proposition d'actions d'amélioration.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BAM10,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion du portefeuille de crédit d'une IMF,"Maîtriser les techniques de gestion active du portefeuille de crédit d'une IMF pour en assurer la qualité, maîtriser les risques (défaut, concentration...) et optimiser la rentabilité.",2 semaines (env. 70-80h),"Expérience en microfinance (crédit, gestion des risques, agence) ou en gestion de portefeuille crédit bancaire.","Responsables crédit/portefeuille IMF, gestionnaires des risques crédit IMF, superviseurs d'agents de crédit, auditeurs internes IMF, consultants spécialisés gestion de portefeuille MFI.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse de la qualité du portefeuille (PAR, provisionnement...), suivi des indicateurs de risque (concentration sectorielle/géographique...), techniques de recouvrement amiable/contentieux, refinancement/restructuration de crédits, gestion de la relation client post-octroi.","Supports de cours, indicateurs clés de qualité de portefeuille (PAR...), outils d'analyse de portefeuille (vintage, matrices de transition...), techniques de recouvrement spécifiques microfinance, procédures de gestion des impayés/restructuration, études de cas gestion portefeuille IMF.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la qualité d'un portefeuille crédit IMF à partir de données fournies. Élaboration d'une stratégie de recouvrement pour un segment de portefeuille à risque. Proposition d'actions pour améliorer la gestion du portefeuille.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
