ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
BTP-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion stratégique des projets d’infrastructures,"Maîtriser les principes et outils de gestion de projet spécifiques aux grands projets d'infrastructures (transport, énergie, eau...) : planification, gestion des risques, suivi coûts/délais, gestion des contrats et parties prenantes.",2 semaines (env. 70-80h),"Formation technique (ingénierie) ou en gestion, avec expérience en gestion de projet. Connaissance du secteur des infrastructures est un plus.","Chefs de projet infrastructures (MOA, MOE, entreprises), ingénieurs projet, planificateurs, contrôleurs de projet, consultants en management de projet infrastructures, cadres des agences d'exécution de projets d'infrastructures.",Dans nos locaux / En ligne / Intra-entreprise,"Cycle de vie projet infra, planification avancée (WBS, chemin critique), gestion des risques spécifiques (techniques, E&S, fonciers...), suivi de la valeur acquise, gestion contractuelle (marchés publics, PPP...), gestion des parties prenantes, communication projet.","Supports de cours, standards de gestion de projet (PMBOK® adapté), logiciels de planification (MS Project/Primavera - pratique), outils de gestion des risques, modèles de documents projet infra, études de cas de grands projets.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de management de projet pour une phase d'un projet d'infrastructure. Analyse des risques et proposition de réponses pour un projet infra. Simulation de gestion de parties prenantes.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Études géotechniques des ouvrages et routes : méthodes et applications,"Maîtriser les méthodes d'investigation et d'analyse géotechnique pour la conception des ouvrages (fondations, soutènements...) et des infrastructures routières (terrassements, couches de forme...) en phase d'étude.",2 semaines (env. 70-80h),"Formation en génie civil, géologie de l'ingénieur ou géotechnique. Connaissance de la mécanique des sols et des roches.","Ingénieurs géotechniciens, ingénieurs structures/ouvrages d'art, ingénieurs routiers (conception), personnel des laboratoires géotechniques, consultants en géotechnique, responsables de programmes d'investigation géotechnique.",Dans nos locaux / En ligne / Intra-entreprise,"Programme d'investigations géotechniques (sondages, essais in situ/labo), interprétation des essais, calculs de portance/tassement (fondations), stabilité des pentes/soutènements, dimensionnement des structures de chaussées (volet géotechnique), rédaction de rapports géotechniques.","Supports de cours, normes d'essais géotechniques, logiciels de calcul géotechnique (éléments finis - présentation), abaques et méthodes de dimensionnement, exemples de rapports d'études géotechniques (G1, G2...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Interprétation de résultats d'essais géotechniques. Pré-dimensionnement d'une fondation ou d'un terrassement routier sur la base de données géotechniques. Analyse critique d'un rapport géotechnique.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Analyse économique et financière des projets d’infrastructures,Savoir réaliser l'analyse économique (coûts-bénéfices sociaux) et financière (rentabilité pour l'investisseur/opérateur) des projets d'infrastructures pour éclairer la décision publique et privée.,2 semaines (env. 70-80h),"Formation en économie, finance ou ingénierie avec de solides bases quantitatives. Maîtrise d'Excel.","Économistes des transports/énergie/eau, analystes financiers projet infra, chargés d'évaluation socio-économique, cadres des ministères (plan, finances, sectoriels), consultants en évaluation de projet infra, personnel des bailleurs de fonds.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse coûts-bénéfices (ACB) : identification et valorisation des coûts/bénéfices sociaux, actualisation, indicateurs (VAN sociale, TRI social...). Analyse financière : cash-flows projet, indicateurs (VAN financière, TRI financier...), analyse de sensibilité/risques.","Supports de cours, guides méthodologiques ACB/analyse financière projet, tableurs Excel pour modélisation, taux d'actualisation, valeurs tutélaires, exemples d'évaluations de projets d'infrastructures (transport, énergie...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une analyse coûts-bénéfices simplifiée ou d'une analyse financière pour un projet d'infrastructure. Interprétation des indicateurs et analyse de sensibilité.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Suivi et surveillance environnementale et sociale des projets routiers,Maîtriser les méthodes et outils pour assurer le suivi et la surveillance efficaces de la mise en œuvre des mesures environnementales et sociales (PGES) pendant la phase de construction des projets routiers.,2 semaines (env. 70-80h),"Formation en environnement, sciences sociales, génie civil ou expérience en suivi E&S de chantiers. Connaissance des PGES.","Spécialistes E&S (MOA, MOE, entreprises BTP), ingénieurs/conducteurs de travaux avec responsabilités E&S, superviseurs de chantier, inspecteurs environnementaux/sociaux, personnel des cellules de suivi de projets routiers.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle du suivi E&S, indicateurs de suivi E&S, techniques de surveillance (inspections de chantier, suivi qualité eau/air/bruit, suivi social...), gestion des non-conformités, reporting E&S, relations avec les parties prenantes (riverains...).","Supports de cours, Plans de Gestion Environnementale et Sociale (PGES) types, fiches/grilles de suivi E&S, techniques de mesure/observation E&S, outils de reporting, guides de bonnes pratiques E&S chantier routier.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de suivi E&S pour une mesure spécifique d'un PGES routier. Simulation d'une inspection E&S de chantier et rédaction d'un rapport de non-conformité (fictif).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques de réhabilitation des chaussées par recyclage des matériaux existants,"Maîtriser la technique de réhabilitation des chaussées par recyclage en place (à froid ou à chaud) des matériaux existants : diagnostic, formulation, mise en œuvre et contrôle qualité.",2 semaines (env. 70-80h),Formation en génie civil (routes) ou expérience significative en travaux routiers (construction neuve ou entretien). Connaissance des matériaux de chaussées.,"Ingénieurs et techniciens routiers (études, travaux, laboratoire), responsables entretien routier, conducteurs de travaux entreprises routières spécialisées en recyclage, contrôleurs de travaux routiers.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic de la chaussée à recycler, techniques de recyclage (liants hydrauliques, émulsions de bitume, mousse de bitume), formulation en laboratoire, matériel spécifique de recyclage, mise en œuvre et contrôle qualité sur chantier.","Supports de cours techniques, guides méthodologiques sur le recyclage des chaussées, normes d'essais sur matériaux recyclés, spécifications techniques matériels de recyclage, études de cas de chantiers de recyclage.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Proposition d'une solution de recyclage pour une chaussée dégradée donnée (choix technique, formulation indicative). Élaboration d'un plan de contrôle qualité pour un chantier de recyclage.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-006,"À partir de €6,899","Paris, Sud de la France, Dubaï","Gestion des investissements publics : critères de sélection, analyse et suivi de performance","Maîtriser le cycle de gestion des investissements publics (PIP - Programme d'Investissement Public) : identification, sélection (critères, priorisation), analyse technico-économique et suivi de l'exécution.",2 semaines (env. 70-80h),"Formation en économie, finance publique, planification ou gestion de projet. Expérience en administration publique (plan, finances, sectoriel).","Cadres des ministères chargés de la planification/programmation des investissements publics, du budget, des finances, cadres des ministères sectoriels proposant des projets, consultants en gestion publique/investissement.",Dans nos locaux / En ligne / Intra-entreprise,"Processus de planification et de budgétisation des investissements, critères de sélection et de priorisation des projets, méthodes d'analyse technico-économique (faisabilité, ACB simplifiée), suivi physique et financier des projets du PIP.","Supports de cours, guides méthodologiques de gestion des investissements publics (FMI, BM...), outils de priorisation multicritères, méthodes d'analyse projet, systèmes de suivi-évaluation des PIP, études de cas nationaux.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Application de critères de sélection/priorisation à une liste de projets d'investissement. Analyse critique du processus de gestion des investissements publics d'un pays ou secteur.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Dimensionnement des chaussées neuves : méthode de calcul technique,"Maîtriser la méthode française (ou autre méthode pertinente selon le contexte) de dimensionnement des structures de chaussées neuves (souples, semi-rigides, rigides) en fonction du trafic, des matériaux et du sol support.",2 semaines (env. 70-80h),Formation en génie civil (routes). Solides connaissances en matériaux de chaussées et en mécanique des chaussées.,"Ingénieurs routiers (conception, bureau d'études), consultants en ingénierie routière, chercheurs en génie routier, enseignants en génie civil.",Dans nos locaux / En ligne / Intra-entreprise,"Données d'entrée (trafic, sol support, matériaux), catalogue de structures types, méthode de calcul analytique/empirique (selon norme en vigueur), dimensionnement des couches (fondation, base, roulement), vérification au gel/dégel.","Supports de cours techniques, normes et guides de dimensionnement des chaussées (France: SETRA/CEREMA ; autres pays: AASHTO...), logiciels de dimensionnement (ex: Alizé - présentation/pratique), catalogue de structures.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Dimensionnement complet d'une structure de chaussée neuve pour un cas de trafic et de sol donné, en utilisant la méthode de référence. Comparaison de différentes structures possibles.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Caractéristiques géométriques d’un projet routier : démarche méthodologique et cas pratiques,"Maîtriser les règles et normes de conception géométrique des routes (tracé en plan, profil en long, profil en travers) pour assurer la sécurité, le confort et l'efficacité de l'infrastructure.",2 semaines (env. 70-80h),Formation en génie civil (routes) ou topographie. Maîtrise des outils de CAO/DAO routière est un plus.,"Ingénieurs routiers (conception, bureau d'études), projeteurs routiers, consultants en ingénierie routière, enseignants en génie civil (routes).",Dans nos locaux / En ligne / Intra-entreprise,"Normes de conception géométrique (visibilité, rayons, déclivités, dévers...), conception du tracé en plan, du profil en long et des profils en travers types, conception des carrefours (plans/giratoires), coordination géométrique.","Supports de cours techniques, normes et guides de conception géométrique routière (ex: ARP en France), logiciels de CAO/DAO routière (présentation/pratique type Mensura, AutoCAD Civil 3D...), exemples de plans routiers.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Conception géométrique d'un tronçon de route simple (tracé en plan, profil en long, profils en travers) ou d'un carrefour. Analyse critique de la conception géométrique d'un projet routier existant.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion du domaine public routier : cadre réglementaire et outils opérationnels,"Comprendre le statut juridique et maîtriser les outils de gestion administrative, technique et financière du domaine public routier (classement, consistance, occupations, protection, valorisation).",2 semaines (env. 70-80h),"Formation juridique (droit public/administratif), technique (génie civil) ou administrative avec expérience en gestion domaniale ou routière.","Gestionnaires du domaine public routier (Etat, collectivités locales), juristes spécialisés en domanialité publique, techniciens voirie, responsables fonciers, géomètres-experts.",Dans nos locaux / En ligne / Intra-entreprise,"Statut juridique du domaine public routier, procédures de classement/déclassement, gestion des occupations (autorisations de voirie, redevances), police de la conservation, alignement, relations avec les riverains, inventaire du patrimoine.","Supports de cours juridiques et techniques, code de la voirie routière (ou équivalent), code général de la propriété des personnes publiques, réglementation sur les occupations domaniales, outils SIG pour la gestion domaniale (présentation).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'un cas d'occupation du domaine public routier. Rédaction d'une autorisation de voirie ou d'un acte de classement/déclassement (simplifié). Proposition d'outils pour l'inventaire du domaine public routier.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-010,"À partir de €6,899","Paris, Sud de la France, Dubaï","Diagnostic, auscultation et évaluation de l’état des chaussées d’un réseau routier","Maîtriser les méthodes et appareils d'auscultation des chaussées (visuelle, déflexion, uni, adhérence...), savoir diagnostiquer les dégradations et évaluer l'état structurel et fonctionnel du réseau routier.",2 semaines (env. 70-80h),Formation en génie civil (routes) ou expérience significative en gestion/entretien de réseaux routiers.,"Ingénieurs et techniciens responsables de la gestion et de l'entretien des réseaux routiers (Etat, collectivités), personnel des laboratoires routiers (auscultation), consultants en gestion de patrimoine routier.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodes d'auscultation (visuelle normée, appareils à grand rendement - AGR), diagnostic des dégradations (causes, évolution), évaluation structurelle (déflexion), évaluation de l'uni et de l'adhérence, systèmes de gestion routière (SGR).","Supports de cours techniques, normes et guides d'auscultation/diagnostic routier, présentation des appareils d'auscultation (FWD, APL, SCRIM...), logiciels de SGR (présentation), catalogues de dégradations, études de cas.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Réalisation d'un diagnostic visuel et d'une évaluation de l'état d'un tronçon de chaussée (sur photos/vidéos). Interprétation de résultats d'auscultation (déflexion, uni...). Proposition de stratégies d'entretien.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-011,"À partir de €6,899","Paris, Sud de la France, Dubaï",Études techniques et suivi des travaux d’aménagement des pistes rurales,"Maîtriser les techniques d'études (tracé, terrassement, drainage, ouvrages) et de suivi des travaux spécifiques à l'aménagement et à l'entretien des pistes rurales, souvent en contexte de ressources limitées.",2 semaines (env. 70-80h),"Formation technique (génie civil, BTP, topographie) ou expérience pratique en aménagement rural ou travaux routiers simples.","Techniciens et ingénieurs des services techniques ruraux (ministères, collectivités), personnel des ONG/projets de développement rural, conducteurs de travaux PME locales, superviseurs de travaux (approche HIMO si pertinent).",Dans nos locaux / En ligne / Intra-entreprise,"Techniques d'étude adaptées (profils types, optimisation terrassements), conception du drainage (fossés, ouvrages simples), utilisation de matériaux locaux, méthodes de construction à faible coût (HIMO possible), suivi qualité/quantité.","Supports de cours pratiques, guides techniques sur les pistes rurales/routes en terre, abaques de dimensionnement simples, techniques HIMO (Haute Intensité de Main d'Oeuvre), fiches de suivi de chantier adaptées, études de cas.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Réalisation d'une étude simplifiée (profil type, drainage) pour un tronçon de piste rurale. Élaboration d'un plan de suivi pour un chantier de piste rurale.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BTP-012,"À partir de €6,899","Paris, Sud de la France, Dubaï","Gestion du patrimoine d’infrastructures : enjeux, méthodes et responsabilités","Comprendre les enjeux de la gestion de patrimoine d'infrastructures (routes, ouvrages d'art, réseaux...), les méthodes d'inventaire, d'évaluation, de priorisation des interventions et les responsabilités associées.",2 semaines (env. 70-80h),Expérience en gestion technique ou financière d'infrastructures publiques ou privées. Vision stratégique.,"Gestionnaires de patrimoine d'infrastructures (Etat, collectivités, concessionnaires), directeurs techniques, responsables maintenance/entretien, planificateurs, consultants en gestion d'actifs (asset management).",Dans nos locaux / En ligne / Intra-entreprise,"Concepts de gestion de patrimoine (cycle de vie, niveaux de service, analyse de risques), méthodes d'inventaire et d'évaluation de l'état, modèles de dégradation, stratégies d'entretien et de renouvellement, optimisation budgétaire, systèmes d'information.","Supports de cours, Norme ISO 55000 (Asset Management), guides méthodologiques sectoriels (routes, eau...), logiciels de gestion de patrimoine (présentation), techniques d'analyse multicritères, études de cas de gestion de patrimoine.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des enjeux de la gestion de patrimoine pour un type d'infrastructure donné. Élaboration d'une stratégie d'entretien et de renouvellement simplifiée pour un réseau.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
