ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
BWM-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Montage et effets spéciaux (Final Cut Pro & After Effects),Maîtriser les techniques de montage vidéo professionnel avec Final Cut Pro X (FCPX) et la création d'effets spéciaux/motion design avec Adobe After Effects (AE) pour produire des contenus vidéo dynamiques et de haute qualité.,2 semaines (env. 70-80h),"Bonne maîtrise de l'environnement informatique (macOS requis pour FCPX). Connaissance des bases de la vidéo numérique (formats, codecs...). Créativité et sens artistique.","Monteurs vidéo, motion designers, réalisateurs, vidéastes indépendants, graphistes souhaitant intégrer la vidéo/motion, professionnels de la communication audiovisuelle.",Dans nos locaux / En ligne / Intra-entreprise,"Prise en main FCPX et AE, techniques de montage avancées (multicam...), étalonnage (bases), titrage, compositing, tracking, animation de texte/graphiques (motion design), effets visuels (particules, 3D bases dans AE), exportations optimisées. Pratique intensive sur projets concrets.","Salle informatique équipée de macOS avec Final Cut Pro X et Adobe After Effects (Creative Cloud), supports de cours, banque de rushes vidéo/éléments graphiques/sons pour exercices, formateur expert FCPX/AE.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un projet de montage complet intégrant des effets spéciaux et du motion design. Maîtrise des workflows entre FCPX et AE. Création d'éléments graphiques animés complexes.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-002,"À partir de €6,899","Paris, Sud de la France, Dubaï","Formation Webmaster, Webdesigner et PAO Multimédia","Acquérir les compétences polyvalentes pour concevoir, réaliser et administrer des sites web (Webmestre/Webdesigner), créer des supports de communication visuelle (PAO) et intégrer des éléments multimédias.",2 semaines (env. 70-80h),Bonne maîtrise de l'outil informatique. Créativité et sensibilité graphique. Intérêt pour le web et le multimédia.,"Personnes visant les métiers polyvalents du web et du graphisme, assistants communication/marketing avec missions web/PAO, entrepreneurs souhaitant gérer leur présence digitale et visuelle.",Dans nos locaux / En ligne / Intra-entreprise,"Conception web (UX/UI bases, maquettage), développement front-end (HTML5, CSS3, bases JS/CMS type Wordpress), PAO (principes de mise en page, typographie, couleurs), utilisation des logiciels Adobe CC (Photoshop, Illustrator, InDesign - initiation/intermédiaire), intégration multimédia (image, vidéo).","Salle informatique avec Suite Adobe Creative Cloud (Ps, Ai, Id), éditeur de code (VS Code...), CMS (Wordpress local/en ligne), supports de cours, exercices pratiques web et PAO, projet de création site web simple + supports PAO associés.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Création d'un site web simple (type vitrine) fonctionnel et esthétique. Réalisation de supports de communication PAO (flyer, affiche...). Maîtrise des bases des logiciels et techniques clés (HTML/CSS, Ps, Ai, Id).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Montage vidéo avec Adobe Première Pro,"Maîtriser le logiciel Adobe Premiere Pro pour réaliser des montages vidéo professionnels : import, dérushage, montage (cut, multicam...), titrage, étalonnage (bases), mixage audio (bases), exportations.",2 semaines (env. 70-80h),Bonne maîtrise de l'environnement informatique (Windows ou macOS). Connaissance des bases de la vidéo numérique.,"Monteurs vidéo, vidéastes, journalistes reporters d'images (JRI), professionnels de la communication/marketing produisant de la vidéo, youtubeurs/créateurs de contenu vidéo.",Dans nos locaux / En ligne / Intra-entreprise,"Interface et workflow Premiere Pro, import et organisation des médias, techniques de montage (raccords, rythme...), montage multicaméra, titrage et habillage graphique simple, correction colorimétrique et étalonnage (Lumetri), mixage audio de base (niveaux, effets simples), formats d'exportation.","Salle informatique avec Adobe Premiere Pro (Creative Cloud), supports de cours, banque de rushes vidéo/sons pour exercices, formateur expert Premiere Pro.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Réalisation d'un montage vidéo complet (court métrage, reportage, clip...) incluant titrage, étalonnage et mixage audio de base. Maîtrise du workflow et des fonctionnalités clés de Premiere Pro. Exportation dans différents formats.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Initiation à la modélisation 3D avec Blender,"S'initier à la modélisation 3D avec le logiciel libre Blender : interface, modélisation polygonale, texturing (bases), éclairage et rendu pour la création d'objets et de scènes 3D simples (orienté CAO/DAO).",2 semaines (env. 70-80h),Bonne maîtrise de l'outil informatique. Intérêt pour la 3D et la conception/dessin assisté par ordinateur (CAO/DAO). Capacité de visualisation spatiale.,"Designers produit, architectes/dessinateurs BTP (initiation 3D), graphistes souhaitant intégrer la 3D, makers, étudiants en design/art/architecture, passionnés de 3D.",Dans nos locaux / En ligne / Intra-entreprise,"Interface et concepts clés de Blender, techniques de modélisation polygonale (mesh modeling), application de matériaux et textures simples (UV mapping bases), configuration de l'éclairage (lampes, environnement), paramétrage du moteur de rendu (Cycles/Eevee), exportation de modèles 3D.","Salle informatique avec Blender (version récente), supports de cours, exercices pratiques guidés de modélisation d'objets variés (simples à moyennement complexes), banque de textures, formateur expert Blender.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Modélisation 3D d'objets de complexité croissante. Application de matériaux et textures. Réalisation de rendus simples d'objets ou de scènes. Prise en main de l'interface et des outils de modélisation clés de Blender.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtriser la CAO 3D avec SketchUp,"Maîtriser le logiciel SketchUp Pro pour la modélisation 3D rapide et intuitive d'objets, d'espaces architecturaux ou d'aménagements, et la production de documents techniques (plans, vues...).",2 semaines (env. 70-80h),Maîtrise de l'environnement informatique (Windows ou macOS). Connaissance du dessin technique ou de la conception est un plus.,"Architectes, architectes d'intérieur, designers, scénographes, paysagistes, menuisiers/agenceurs, professionnels du BTP souhaitant un outil de modélisation 3D simple et efficace.",Dans nos locaux / En ligne / Intra-entreprise,"Interface SketchUp, outils de dessin 2D/3D, modélisation volumique (push/pull...), utilisation des composants et groupes, application de matériaux et styles, gestion des scènes et des calques, utilisation de la banque d'images 3D (3D Warehouse), création de plans avec LayOut (inclus Pro).","Salle informatique avec SketchUp Pro (licence requise), supports de cours, exercices pratiques guidés (modélisation architecture, mobilier...), accès à 3D Warehouse, logiciel LayOut (pour la mise en page), formateur expert SketchUp.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Modélisation 3D complète d'un projet simple (ex: maison individuelle, stand...). Création de plans techniques et de vues de présentation avec LayOut. Maîtrise des outils et du workflow SketchUp Pro.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Formation Webmaster et Infographiste PAO (E-learning),"Acquérir les compétences polyvalentes (Webmastering/design, PAO, infographie, multimédia) nécessaires pour gérer des projets web et créer des supports visuels, spécifiquement via un format e-learning.",2 semaines (env. 70-80h),"Bonne maîtrise de l'outil informatique. Créativité. Autonomie requise pour le format e-learning. Intérêt pour le web, le graphisme et le multimédia.","Personnes en reconversion ou souhaitant acquérir des compétences polyvalentes web/graphisme à distance, professionnels souhaitant gérer leur communication digitale/visuelle de manière autonome.",A distance (e-learning),"Modules e-learning interactifs (vidéos, quiz, exercices) couvrant : conception web (UX/UI bases), HTML5/CSS3, CMS (Wordpress), PAO (principes, outils Adobe CC initiation), infographie, intégration multimédia. Tutorat/accompagnement à distance. Projet fil rouge.","Plateforme e-learning avec accès aux modules et ressources, licences temporaires Suite Adobe CC (si inclus), CMS Wordpress (environnement de test), supports de cours téléchargeables, forum d'échanges, sessions de tutorat en ligne avec formateur expert.",Flexible (selon plateforme e-learning),E-learning (Distanciel),"Quiz d'évaluation par module. Réalisation d'exercices pratiques web/PAO. Projet final : création d'un site web simple et de supports PAO associés, évalué par le tuteur.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",ActionScript pour l'animation (Flash),Maîtriser la programmation ActionScript (AS3) et les techniques d'animation avancées dans Adobe Flash/Animate pour créer des animations interactives complexes. (Note : Flash = technologie obsolète),2 semaines (env. 70-80h),Maîtrise de Flash/Animate (niveau 1). Connaissance bases POO est un plus pour ActionScript.,"Animateurs web, développeurs Flash (maintenance legacy), concepteurs e-learning (anciens formats), historiens du web, curieux des anciennes technologies interactives.",Dans nos locaux / En ligne / Intra-entreprise,"Programmation ActionScript 3 (syntaxe, objets, événements...), animation avancée (cinématique inverse, effets...), interaction avec le son/vidéo, chargement de contenus externes, optimisation des animations Flash. (Pertinence limitée aujourd'hui)","Salle informatique avec Adobe Animate (supportant AS3), supports de cours ActionScript 3 / animation avancée, exercices pratiques de programmation/animation complexes. (Préciser la pertinence actuelle limitée)",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une animation interactive complexe programmée en ActionScript. QCM sur les concepts ActionScript/animation avancée. (Evaluation de compétences sur une technologie obsolète),"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Les fondamentaux du UX/UI Design avec Figma,S'initier aux principes fondamentaux de l'UX (User Experience) et de l'UI (User Interface) Design et apprendre à utiliser l'outil Figma pour créer des maquettes et prototypes d'interfaces web/mobiles.,2 semaines (env. 70-80h),Intérêt pour le design d'interfaces et l'expérience utilisateur. Aisance avec les outils informatiques. Aucune expérience préalable en design/Figma requise pour une initiation.,"Développeurs web/mobile, chefs de projet digital, graphistes, marketeurs digitaux, entrepreneurs souhaitant concevoir leurs propres interfaces, personnes en reconversion vers les métiers du design UX/UI.",Dans nos locaux / En ligne / Intra-entreprise,"Principes UX (recherche utilisateur, personas, parcours utilisateur...), principes UI (ergonomie, hiérarchie visuelle, design system bases...), prise en main de Figma (interface, outils de dessin, composants, prototypage interactif), conception centrée utilisateur, tests utilisateurs (bases).","Salle informatique avec accès à Figma (compte gratuit/payant), supports de cours UX/UI et Figma, exercices pratiques guidés (wireframing, maquettage, prototypage), ressources design (icônes, illustrations...), formateur expert UX/UI/Figma.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Création de wireframes, maquettes haute-fidélité et prototypes interactifs simples pour une application web ou mobile avec Figma. Compréhension des principes clés de l'UX/UI Design.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Initiation à Archicad (versions 21 à 24),"S'initier au logiciel Archicad (versions 21 à 24) pour la modélisation 3D de bâtiments (BIM), la création de plans et la production de documentation technique en architecture.",2 semaines (env. 70-80h),Connaissance du dessin technique en bâtiment. Maîtrise de l'environnement informatique (Windows ou macOS).,"Architectes débutants, dessinateurs-projeteurs en architecture, étudiants en architecture, professionnels du BTP souhaitant découvrir Archicad.",Dans nos locaux / En ligne / Intra-entreprise,"Interface et logique BIM d'Archicad, outils de modélisation 2D/3D (murs, dalles, ouvertures, objets...), gestion des étages et des vues, création de plans/coupes/élévations, cotations et annotations, mise en page et publication (carnets de mise en page).","Salle informatique avec Archicad (versions 21-24, licence requise), supports de cours, exercices pratiques guidés (modélisation d'un petit projet architectural), bibliothèque d'objets Archicad, formateur expert Archicad/BIM.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Modélisation 3D d'un projet architectural simple avec Archicad. Génération des documents graphiques principaux (plans, coupes, façades). Prise en main de l'interface et des outils fondamentaux d'Archicad.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
BWM-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Formation REVIT Architecture,"Maîtriser Autodesk Revit pour la modélisation BIM de bâtiments, la création de plans et la production de documentation technique architecturale.",2 semaines (env. 70-80h),Connaissance du dessin technique bâtiment. Maîtrise de Windows. Expérience CAO 2D (AutoCAD) est un plus.,"Architectes, dessinateurs-projeteurs architecture/bâtiment, économistes construction, ingénieurs structure/fluides (collaborant sur Revit), coordinateurs BIM, étudiants architecture/génie civil.",Dans nos locaux / En ligne / Intra-entreprise,"Interface Revit, concepts BIM, modélisation paramétrique (murs, portes, fenêtres, toits...), création/gestion de familles Revit (bases), annotations/cotations, génération de vues (plans, coupes, élévations, 3D, nomenclatures...), mise en page/impression, travail collaboratif BIM (initiation).","Salle informatique avec Autodesk Revit (version récente), supports de cours, exercices pratiques guidés (modélisation bâtiment), bibliothèque objets Revit, formateur expert Revit/BIM.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Modélisation 3D complète d'un projet architectural simple avec Revit. Production de l'ensemble des documents graphiques nécessaires (plans, coupes, façades, vues 3D, nomenclatures simples). Maîtrise workflow Revit.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
