ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
CP-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion stratégique des PPP : de la conception au suivi opérationnel des projets,"Maîtriser le cycle de vie complet d'un projet PPP, de l'identification et la faisabilité à la mise en œuvre opérationnelle et au suivi contractuel et de performance.",2 semaines (env. 70-80h),Connaissance de base des projets d'investissement ou de la gestion publique. Expérience professionnelle souhaitée.,"Cadres et managers des secteurs public et privé, chefs de projets, consultants, juristes, financiers, ingénieurs impliqués dans les PPP.",Dans nos locaux / En ligne / Intra-entreprise,"Présentations interactives, études de cas réels, ateliers pratiques, discussions de groupe, retours d'expérience.","Supports de cours (papier/numérique), vidéoprojecteur, tableau blanc, plateforme d'apprentissage en ligne (si applicable), documentation de référence.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Quizz, évaluation des acquis via une étude de cas ou un exercice pratique, participation active.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-002,"À partir de €6,899","Paris, Sud de la France, Dubaï","Montages contractuels complexes en période de réforme : marchés de partenariat, DSP et marchés publics","Comprendre les différents types de contrats complexes (MP, DSP, MP Globaux...), leurs spécificités, et savoir choisir le montage le plus adapté au regard de la réforme de la commande publique.",2 semaines (env. 70-80h),Bonne connaissance des fondamentaux des marchés publics ou des PPP.,"Juristes spécialisés en droit public/droit des affaires, acheteurs publics, responsables de montages contractuels, avocats, consultants.",Dans nos locaux / En ligne / Intra-entreprise,"Exposés théoriques, analyse comparée des contrats, jurisprudence commentée, exercices pratiques de qualification juridique.","Supports de cours détaillés, textes réglementaires et législatifs, recueil de jurisprudence, modèles de clauses.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Cas pratique de choix et de justification d'un montage contractuel, questionnaire d'évaluation des connaissances.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Structuration financière et financement des projets PPP : modélisation et ingénierie financière,"Savoir construire et analyser un modèle financier de projet PPP, comprendre les techniques de structuration financière (dette, équité), et identifier les sources de financement adaptées.",2 semaines (env. 70-80h),Connaissances en finance d'entreprise ou analyse financière. Maîtrise d'Excel souhaitée. Connaissance des PPP est un plus.,"Analystes financiers, chargés d'affaires en banque, responsables financiers (public/privé), consultants en financement de projet, gestionnaires de fonds d'investissement.",Dans nos locaux / En ligne / Intra-entreprise,"Cours théoriques sur les concepts financiers, démonstrations sur Excel, construction guidée de modèles, études de cas chiffrées, simulations.","Supports de cours, modèles Excel pré-remplis et vierges, accès à un ordinateur avec Excel (si présentiel), calculatrice financière (recommandée).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice pratique de modélisation financière sur un cas simplifié, QCM sur les concepts clés.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit et contrôle renforcé des marchés publics,"Comprendre les enjeux et les techniques du contrôle (interne, externe) et de l'audit des marchés publics pour assurer la régularité, la performance et prévenir les risques (fraude, corruption).",2 semaines (env. 70-80h),Bonne connaissance des procédures de passation et d'exécution des marchés publics.,"Auditeurs internes/externes, contrôleurs de gestion, inspecteurs, responsables des marchés publics, agents des autorités de régulation, personnel des cellules d'audit.",Dans nos locaux / En ligne / Intra-entreprise,"Exposés sur les méthodologies d'audit et de contrôle, analyse de référentiels, études de cas de non-conformités ou de fraudes, partage de bonnes pratiques.","Supports de cours, guides d'audit, check-lists de contrôle, exemples de rapports d'audit, jurisprudence pertinente.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Mise en situation : élaboration d'un plan de contrôle ou d'audit sur un cas donné, QCM de validation des connaissances.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Passation et exécution des marchés publics selon les exigences des bailleurs internationaux,Maîtriser les règles et procédures spécifiques des principaux bailleurs de fonds internationaux pour la passation et l'exécution des marchés financés par leurs soins.,2 semaines (env. 70-80h),Connaissance générale des marchés publics nationaux. Une première expérience avec des projets financés est un plus.,"Personnel des unités de gestion de projets (UGP), responsables des marchés dans les administrations bénéficiaires, consultants, fournisseurs/entreprises soumissionnant.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation détaillée des directives de chaque bailleur, comparaison des procédures, exercices pratiques sur des documents types (DAO, rapports...).","Supports de cours synthétisant les règles, accès aux directives et manuels des bailleurs (liens web), modèles de documents, études de cas spécifiques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Simulation de réponse à un appel d'offres bailleur ou analyse de conformité d'un dossier, quizz sur les spécificités des bailleurs.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Conception et gestion efficace des contrats en marchés publics,"Savoir rédiger les pièces contractuelles clés (CCAP, CCTP, Acte d'engagement...), gérer l'exécution du contrat (avenants, pénalités, réception) et prévenir/gérer les difficultés.",2 semaines (env. 70-80h),Connaissance des bases de la réglementation des marchés publics.,"Rédacteurs de marchés, juristes marchés publics, acheteurs, gestionnaires de contrats, chefs de projet côté public et privé (suivi d'exécution).",Dans nos locaux / En ligne / Intra-entreprise,"Apports théoriques sur les clauses essentielles, ateliers de rédaction de clauses, analyse de contrats types, études de cas de gestion contractuelle.","Supports de cours, modèles de documents contractuels, guides de rédaction, exemples de situations d'exécution (avenants, litiges...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice de rédaction de clauses contractuelles ou d'analyse d'un problème d'exécution, questionnaire d'évaluation.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Fonctionnement et missions des Autorités de Régulation des Marchés Publics,"Comprendre le mandat, les missions, l'organisation et les outils des Autorités de Régulation (ARM) pour assurer la transparence, l'efficacité et la régularité du système des marchés publics.",2 semaines (env. 70-80h),Intérêt pour la gouvernance de la commande publique. Connaissance de base des marchés publics utile.,"Personnel des ARM, cadres des ministères de tutelle, acheteurs publics, consultants en gouvernance, représentants du secteur privé interagissant avec les ARM.",Dans nos locaux / En ligne / Intra-entreprise,"Présentations institutionnelles, analyse comparée des modèles d'ARM, étude des outils de régulation (avis, sanctions, réformes...), discussions.","Supports de cours, textes fondateurs des ARM (lois, décrets), rapports d'activité des ARM, articles de doctrine.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Étude de cas sur une décision ou un avis d'une ARM, débat argumenté sur le rôle de la régulation.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-008,"À partir de €6,899","Paris, Sud de la France, Dubaï","Méthodologie d’élaboration des DAO, cahiers des charges et TDR","Maîtriser la méthodologie et les techniques de rédaction pour produire des DAO, cahiers des charges (techniques/administratifs) et TDR clairs, précis, non-discriminatoires et efficaces.",2 semaines (env. 70-80h),Compréhension du processus d'achat public. Une expérience en définition de besoin ou en rédaction est un atout.,"Rédacteurs de marchés, acheteurs, prescripteurs techniques (ingénieurs, experts métier), chefs de projet, consultants assistant les maîtres d'ouvrage.",Dans nos locaux / En ligne / Intra-entreprise,"Apports méthodologiques, ateliers pratiques de rédaction par type de document (biens, services, travaux), analyse critique de documents existants.","Supports de cours, guides méthodologiques, grilles d'analyse, modèles et exemples de DAO/Cahiers des charges/TDR, check-lists qualité.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice pratique de rédaction d'une section clé d'un DAO ou d'un TDR, évaluation par les pairs des documents produits.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Achats publics durables : intégrer les objectifs du développement durable dans les marchés publics,"Comprendre comment intégrer les considérations sociales, environnementales et économiques (piliers du DD) dans toutes les étapes du processus d'achat public (sourcing, spécifications, critères).",2 semaines (env. 70-80h),Connaissance des bases des marchés publics. Sensibilisation aux enjeux du développement durable.,"Acheteurs publics, responsables RSE/DD, juristes marchés publics, prescripteurs, élus et décideurs publics, fournisseurs souhaitant répondre à des marchés durables.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation des concepts et du cadre réglementaire, partage de bonnes pratiques et de clauses/critères types (sociaux, environnementaux), ateliers brainstorming.","Supports de cours, guides sur l'achat durable, exemples de clauses et de critères d'attribution DD, retours d'expériences concrets.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration de spécifications techniques ou de critères d'attribution intégrant le DD pour un achat donné, QCM.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
CP-010,"À partir de €6,899","Paris, Sud de la France, Dubaï","Suivi d’exécution des marchés publics : éthique, contrôle et gestion des litiges","Maîtriser les aspects clés du suivi de l'exécution (qualité, délais, coûts), identifier les risques déontologiques et connaître les mécanismes de prévention et de règlement des différends et litiges.",2 semaines (env. 70-80h),Expérience en gestion de marchés publics ou en suivi de contrats.,"Gestionnaires de marchés, chefs de projet (public/privé), contrôleurs, juristes, membres des commissions de règlement amiable des litiges, médiateurs.",Dans nos locaux / En ligne / Intra-entreprise,"Exposés sur les bonnes pratiques de suivi, analyse de cas de litiges, roll-play sur la déontologie, présentation des modes alternatifs de règlement des différends (MARD).","Supports de cours, codes de déontologie, clauses types relatives au suivi et aux litiges, jurisprudence sur les litiges d'exécution, guides sur les MARD.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse d'un cas de litige et proposition d'une stratégie de règlement, quizz sur les règles de déontologie et les procédures contentieuses.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
