ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
DF-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Anticiper et gérer un contrôle fiscal,"Comprendre le déroulement d'un contrôle fiscal, savoir s'y préparer en amont (documentation, points de vigilance) et gérer efficacement les échanges avec l'administration fiscale pendant et après le contrôle pour défendre les intérêts de l'entreprise.",2 semaines (env. 70-80h),"Bonnes connaissances en fiscalité d'entreprise (IS, TVA...) et/ou expérience confirmée en comptabilité/finance.","Responsables fiscaux, responsables comptables/financiers, experts-comptables, conseillers fiscaux, avocats fiscalistes, dirigeants de PME/ETI, auditeurs internes (volet fiscal).",Dans nos locaux / En ligne / Intra-entreprise,"Procédures de contrôle fiscal (sur place, sur pièces, vérification de comptabilité), préparation des documents clés (FEC...), identification des zones de risque fiscal, gestion des demandes de l'administration, techniques de dialogue/négociation avec l'inspecteur, voies de recours (bases).","Supports de cours, code général des impôts/livre des procédures fiscales (extraits clés), check-lists de préparation au contrôle fiscal, exemples de notifications/propositions de rectification/réponses de l'entreprise, jurisprudence pertinente, études de cas/simulations de contrôle fiscal.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des risques fiscaux d'une entreprise et préparation d'une documentation préventive. Simulation d'un entretien avec un inspecteur des impôts. Rédaction d'une réponse argumentée à une proposition de rectification.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Optimisation fiscale de l'entreprise,"Maîtriser les techniques et stratégies légales d'optimisation fiscale (IS, TVA, fiscalité locale, fiscalité des groupes...) pour réduire la charge fiscale de l'entreprise dans le respect de la réglementation.",2 semaines (env. 70-80h),"Solides connaissances en fiscalité des entreprises (IS, TVA...). Expérience en conseil fiscal ou en direction fiscale/financière.","Responsables/Directeurs fiscaux, experts-comptables, avocats fiscalistes, conseillers en gestion de patrimoine (volet entreprise), directeurs financiers, consultants en optimisation fiscale.",Dans nos locaux / En ligne / Intra-entreprise,"Identification des leviers d'optimisation (choix de structure, régimes fiscaux de faveur, gestion des déficits, crédits d'impôt, optimisation TVA, prix de transfert...), analyse des schémas d'optimisation (avantages/risques), gestion des risques fiscaux liés à l'optimisation (abus de droit...).","Supports de cours (niveau expert), codes fiscaux et doctrine administrative, jurisprudence sur l'optimisation/abus de droit, outils de simulation fiscale, exemples de montages d'optimisation fiscale (légaux), études de cas sectorielles/internationales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification d'opportunités d'optimisation fiscale pour une entreprise donnée. Analyse des risques associés à un schéma d'optimisation. Structuration d'une opération (ex: restructuration) sous l'angle de l'optimisation fiscale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gouvernance fiscale et rentabilité de l'entreprise,"Comprendre le concept de gouvernance fiscale et mettre en place des techniques et outils pour assurer la conformité, maîtriser les risques fiscaux et optimiser la contribution de la fiscalité à la rentabilité globale.",2 semaines (env. 70-80h),"Expérience confirmée en fiscalité d'entreprise, audit ou contrôle interne. Vision stratégique et compréhension des enjeux de gouvernance.","Directeurs fiscaux/financiers, responsables conformité/risques fiscaux, auditeurs internes/externes, membres de comités d'audit/conseils d'administration, consultants GRC/fiscalité.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de gouvernance fiscale (transparence, contrôle interne...), cartographie des risques fiscaux, mise en place de processus et contrôles fiscaux (tax control framework), indicateurs de performance fiscale, reporting fiscal (interne/externe), relation avec l'administration fiscale.","Supports de cours, cadres de gouvernance (OCDE...), référentiels de contrôle interne (COSO appliqué à la fiscalité), outils de cartographie des risques fiscaux, exemples de politiques/procédures de gouvernance fiscale, indicateurs clés (Taux Effectif d'Imposition...), études de cas.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une cartographie des risques fiscaux et proposition d'un plan de contrôle. Conception d'indicateurs de performance pour la fonction fiscale. Définition des éléments clés d'une politique de gouvernance fiscale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Comprendre les prix de transfert,"Comprendre les principes (pleine concurrence), la réglementation (OCDE, nationale) et les méthodes de détermination des prix de transfert entre sociétés liées, et maîtriser les obligations documentaires associées.",2 semaines (env. 70-80h),Solides connaissances en fiscalité internationale et/ou en finance/contrôle de gestion de groupes internationaux.,"Fiscalistes internationaux, responsables prix de transfert, directeurs fiscaux/financiers de groupes multinationaux, experts-comptables/avocats fiscalistes spécialisés prix de transfert, personnel des administrations fiscales (contrôle prix transfert).",Dans nos locaux / En ligne / Intra-entreprise,"Principe de pleine concurrence (OCDE), méthodes de détermination des prix de transfert (CUP, Cost+, Resale Price, TNMM, Profit Split...), analyse fonctionnelle et analyse de comparabilité, obligations documentaires (Master File, Local File, CbCR), gestion des contrôles et procédures amiables.","Supports de cours, principes directeurs de l'OCDE sur les prix de transfert, réglementation nationale spécifique, outils d'analyse comparative (bases de données - présentation), modèles de documentation prix de transfert (Master/Local File), études de cas complexes prix de transfert.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Sélection et justification de la méthode de prix de transfert la plus appropriée pour une transaction intra-groupe donnée. Élaboration des sections clés de la documentation prix de transfert (Master File ou Local File). Analyse d'un cas de contrôle fiscal sur les prix de transfert.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit fiscal : évaluer la conformité fiscale,"Maîtriser la méthodologie d'audit fiscal pour évaluer la régularité des déclarations fiscales, la conformité des pratiques de l'entreprise avec la législation, et identifier les risques et opportunités fiscales.",2 semaines (env. 70-80h),Expérience confirmée en fiscalité d'entreprise et/ou en audit financier/interne. Connaissance approfondie de la réglementation fiscale.,"Auditeurs fiscaux (internes/externes), experts-comptables, commissaires aux comptes, responsables fiscaux/conformité, consultants fiscaux.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie d'audit fiscal (planification, programme de travail, tests...), revue de la conformité des déclarations (IS, TVA...), audit des options fiscales, identification des risques de redressement, détection des opportunités d'optimisation/crédits d'impôt, rapport d'audit fiscal.","Supports de cours, méthodologie d'audit fiscal, check-lists d'audit par impôt, techniques de tests fiscaux, outils d'analyse de données fiscales (FEC, data analytics - présentation), normes d'audit (si applicable), exemples de rapports d'audit fiscal.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un programme de travail pour l'audit d'un impôt spécifique (ex: TVA). Réalisation de tests d'audit fiscal sur un cas pratique. Rédaction de conclusions et recommandations d'audit fiscal.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques juridiques de restructuration d'entreprises,"Maîtriser les aspects juridiques (droit des sociétés, droit fiscal, droit social) et les techniques des différentes opérations de restructuration d'entreprises (fusion, scission, apport partiel d'actifs, TUP...).",2 semaines (env. 70-80h),Solide formation juridique (droit des sociétés/fiscal/social) et/ou expérience confirmée en conseil juridique/fiscal aux entreprises ou en direction juridique/fiscale.,"Avocats d'affaires (fusions-acquisitions, droit sociétés/fiscal), juristes d'entreprise spécialisés M&A/restructurations, directeurs juridiques/fiscaux, experts-comptables/consultants impliqués dans des opérations de restructuration.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre juridique des restructurations, aspects droit des sociétés (procédures, rapports...), implications fiscales (régime de faveur, agréments...), conséquences sociales (transfert contrats travail...), aspects contractuels, due diligence juridique, rédaction de la documentation juridique.","Supports de cours (droit des sociétés/fiscal/social avancé), codes pertinents, documentation juridique type (traités de fusion/apport...), jurisprudence restructurations, analyses fiscales/sociales des opérations, études de cas complètes de restructuration.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse juridique, fiscale et sociale comparée de différentes options de restructuration. Rédaction de clauses clés d'un traité d'apport ou de fusion. Identification et gestion des risques juridiques d'une opération de restructuration.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Analyse et pilotage du risque juridique bancaire,"Identifier, analyser, évaluer et piloter les risques juridiques spécifiques au secteur bancaire (contentieux clients, réglementaire, contractuel, LCB-FT...) pour sécuriser les activités et protéger l'établissement.",2 semaines (env. 70-80h),Formation juridique (droit bancaire/financier/affaires) et/ou expérience confirmée en service juridique/contentieux/conformité bancaire ou en gestion des risques banque/finance.,"Juristes bancaires, responsables conformité/contrôle interne/gestion des risques banque, responsables contentieux banque, consultants GRC secteur bancaire, auditeurs internes (volet juridique/risques).",Dans nos locaux / En ligne / Intra-entreprise,"Cartographie des risques juridiques bancaires (par métier/processus), évaluation de l'impact/probabilité, mise en place de dispositifs de prévention (revue contractuelle, veille réglementaire, formation...), gestion des pré-contentieux/contentieux, indicateurs de suivi, reporting risque juridique.","Supports de cours, réglementation bancaire clé (impact juridique), outils de cartographie/évaluation des risques juridiques, bases de données jurisprudentielles (présentation), modèles de reporting risque juridique, études de cas de risques juridiques bancaires matérialisés.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une cartographie des risques juridiques pour une activité bancaire donnée. Proposition de plan de prévention ou de gestion pour un risque juridique identifié. Mise en place d'indicateurs de pilotage du risque juridique.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtriser la gestion fiscale des entreprises,"Acquérir une maîtrise globale et pratique de la gestion fiscale courante de l'entreprise : détermination des résultats fiscaux, déclarations (IS, TVA...), gestion des obligations fiscales, relations avec l'administration.",2 semaines (env. 70-80h),Bonnes connaissances en comptabilité générale et notions de fiscalité. Expérience en comptabilité/finance d'entreprise est un plus.,"Responsables/collaborateurs comptables et financiers, experts-comptables stagiaires/collaborateurs, contrôleurs de gestion, chefs d'entreprise de PME, juristes souhaitant une vision pratique.",Dans nos locaux / En ligne / Intra-entreprise,"Détermination du résultat fiscal (réintégrations, déductions), calcul de l'IS, gestion de la TVA (collectée, déductible, déclarations), autres impôts et taxes (CVAE, CFE...), obligations déclaratives et de paiement, gestion des relations courantes avec l'administration fiscale.","Supports de cours, code général des impôts (principes clés IS/TVA), logiciels de comptabilité/fiscalité (présentation), formulaires fiscaux (liasses...), exercices pratiques de calcul IS/TVA et de remplissage de déclarations, check-lists obligations fiscales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul du résultat fiscal et de l'IS pour une entreprise simple. Établissement d'une déclaration de TVA. Identification des principales obligations fiscales d'une PME. Gestion d'une demande simple de l'administration fiscale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prévention et gestion des litiges en transport,"Identifier les risques de litiges dans les opérations de transport international (perte, avarie, retard...) et maîtriser les techniques de prévention (contrats, emballage...) et de gestion (déclarations, recours).",2 semaines (env. 70-80h),"Expérience en logistique internationale, transport, import-export ou assurance transport. Connaissance des Incoterms® et des conventions de transport.","Responsables logistique/transport international, gestionnaires import-export, transitaires, responsables service client/litiges (transporteurs, chargeurs), juristes spécialisés transport/logistique, experts en assurance transport.",Dans nos locaux / En ligne / Intra-entreprise,"Causes et types de litiges en transport international, prévention (choix transporteur/Incoterm®, emballage, assurance...), procédures de déclaration de réserves/sinistres, détermination des responsabilités (conventions de transport), gestion des recours amiables/contentieux.","Supports de cours, conventions de transport international (CMR, Varsovie/Montréal, HVR...), Incoterms®, polices d'assurance transport (types de garanties), procédures de déclaration de sinistre/recours, études de cas de litiges transport.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse des risques de litige pour une opération de transport international donnée. Rédaction d'une lettre de réserves ou d'une déclaration de sinistre. Gestion simulée d'un litige transport simple (détermination responsabilité, recours).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DF-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Fiscalité pétrolière : détection des fraudes,"Comprendre les spécificités de la fiscalité pétrolière et maîtriser les méthodes d'analyse et les ""astuces"" (red flags) pour détecter les schémas de fraude et d'évasion fiscale dans ce secteur complexe.",2 semaines (env. 70-80h),"Expérience confirmée en fiscalité internationale, audit fiscal ou contrôle dans le secteur pétrolier ou extractif. Solides compétences analytiques.","Inspecteurs des impôts/douanes spécialisés secteur pétrolier, auditeurs fiscaux (internes/externes) O&G, fiscalistes O&G (conformité/risques), personnel des cellules anti-fraude fiscale, consultants spécialisés fiscalité extractive/fraude.",Dans nos locaux / En ligne / Intra-entreprise,"Rappel fiscalité pétrolière (régimes, prix transfert spécifiques...), schémas courants de fraude/évasion fiscale O&G (sous-facturation, manipulation coûts recouvrables...), techniques d'analyse de données/benchmarking pour la détection, indicateurs d'alerte (red flags), techniques d'enquête.","Supports de cours (niveau expert), typologies de fraudes fiscales O&G, guides OCDE/ONU (prix transfert sectoriels, BEPS...), outils d'analyse de données (présentation), techniques d'enquête fiscale, études de cas réels de fraudes fiscales pétrolières, benchmarks sectoriels.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de données financières/opérationnelles d'une entreprise pétrolière pour identifier des 'red flags' de fraude. Élaboration d'un plan de contrôle ou d'enquête ciblé sur un risque de fraude fiscale pétrolière.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
