ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
DG-001,"À partir de €6,899","Paris, Sud de la France, Dubaï","Décentralisation, gouvernance locale et stratégies de lutte contre la pauvreté","Analyser les liens entre les processus de décentralisation, l'amélioration de la gouvernance locale (participation, redevabilité, transparence...) et la mise en œuvre de stratégies efficaces de lutte contre la pauvreté au niveau local.",2 semaines (env. 70-80h),Connaissance des enjeux du développement et/ou du fonctionnement des collectivités locales. Intérêt pour les questions sociales et de gouvernance.,"Cadres des ministères (Décentralisation, Affaires sociales, Planification, Intérieur...), élus locaux, personnel des collectivités locales (services sociaux, développement...), responsables d'ONG/projets de lutte contre la pauvreté, chercheurs en développement local/gouvernance.",Dans nos locaux / En ligne / Intra-entreprise,"Cadres théoriques (décentralisation, gouvernance, pauvreté), analyse des mécanismes liant gouvernance locale et réduction de la pauvreté, outils de participation citoyenne et de redevabilité locale, études de cas de stratégies locales de lutte contre la pauvreté.","Supports de cours, guides sur la gouvernance locale et la participation citoyenne, rapports sur la pauvreté et la décentralisation, études de cas de programmes de développement local axés sur la pauvreté, outils d'analyse participative.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse critique d'un programme local de lutte contre la pauvreté au regard des principes de bonne gouvernance. Proposition de mécanismes pour renforcer la participation des populations pauvres à la gouvernance locale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Mobilisation et gestion des ressources financières des collectivités territoriales,"Maîtriser les différentes sources de financement des collectivités locales (fiscalité propre, transferts de l'Etat, emprunt, coopération...) et les techniques de gestion financière optimisée (budget, trésorerie).",2 semaines (env. 70-80h),"Formation en finances publiques, comptabilité publique ou gestion. Expérience en collectivité locale (finances, budget) est un plus.","Cadres financiers des collectivités locales (Directeur financier, chef service budget/recettes...), receveurs municipaux/trésoriers, élus locaux (commission finances), cadres des ministères (Finances, Décentralisation), auditeurs des comptes locaux.",Dans nos locaux / En ligne / Intra-entreprise,"Fiscalité locale (assiette, taux, recouvrement), dotations et transferts de l'Etat, recours à l'emprunt, mobilisation de financements externes (bailleurs, coopération décentralisée), élaboration et exécution budgétaire locale, gestion de la trésorerie, analyse financière rétrospective/prospective.","Supports de cours, nomenclature budgétaire et comptable locale (M14...), guides sur la fiscalité locale, outils d'analyse financière locale, exemples de stratégies de mobilisation de ressources, réglementation sur l'emprunt local.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie de mobilisation de ressources pour une collectivité locale. Analyse financière rétrospective d'une collectivité. Simulation de préparation budgétaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Cadre budgétaire et comptable appliqué aux collectivités locales,"Maîtriser le cadre réglementaire (principes, nomenclature M14 ou équivalent) et les procédures d'élaboration, d'exécution et de contrôle du budget et de la comptabilité des collectivités territoriales.",2 semaines (env. 70-80h),Connaissances de base en comptabilité publique ou finances publiques. Expérience en collectivité locale est un atout.,"Agents et cadres des services financiers et comptables des collectivités locales, receveurs municipaux/trésoriers, contrôleurs budgétaires locaux, auditeurs des comptes locaux, formateurs en finances locales.",Dans nos locaux / En ligne / Intra-entreprise,"Principes budgétaires locaux (annualité, unité, universalité...), nomenclature comptable (M14...), élaboration du budget primitif et décisions modificatives, exécution des recettes et des dépenses (mandatement, paiement), compte administratif et compte de gestion.","Supports de cours, nomenclature M14 (ou équivalent) et instructions comptables, code général des collectivités territoriales (partie financière), logiciels de gestion financière locale (présentation), modèles de documents budgétaires/comptables.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Enregistrement d'opérations budgétaires et comptables types selon la nomenclature M14. Élaboration d'un budget primitif simple. Analyse d'un compte administratif ou d'un compte de gestion.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Organisation et fonctionnement institutionnel d’une collectivité territoriale,"Comprendre l'organisation administrative (organigramme, services), le fonctionnement des organes délibérants et exécutifs, et les compétences exercées par une collectivité locale (commune, département, région...).",2 semaines (env. 70-80h),"Intérêt pour le fonctionnement des institutions publiques locales. Aucune expérience spécifique requise, mais une culture administrative est utile.","Nouveaux agents des collectivités locales, citoyens souhaitant comprendre leur collectivité, étudiants en administration publique/droit public, journalistes locaux, collaborateurs d'élus.",Dans nos locaux / En ligne / Intra-entreprise,"Statut juridique des collectivités locales, répartition des compétences (Etat/collectivités), rôle et fonctionnement de l'assemblée délibérante (conseil municipal...), rôle et pouvoirs de l'exécutif local (maire...), organisation des services municipaux/territoriaux.","Supports de cours, code général des collectivités territoriales (ou équivalent - parties organisation/compétences), organigrammes types, exemples de délibérations/arrêtés, schémas institutionnels locaux.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Description de l'organisation et du fonctionnement d'une collectivité locale type. Analyse du processus de décision sur un sujet donné (ex: vote du budget, adoption d'un projet).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Fonctions des élus locaux : pilotage stratégique et gestion opérationnelle d’une commune,"Doter les élus locaux des compétences pour exercer leur mandat : cadre légal/financier, élaboration de la stratégie municipale, pilotage des services, communication et gestion des relations avec les citoyens/partenaires.",2 semaines (env. 70-80h),"Être élu local (maire, adjoint, conseiller municipal/communal) ou candidat à ces fonctions. Forte motivation pour la gestion publique locale.","Élus locaux (maires, adjoints, conseillers municipaux/communaux), collaborateurs de cabinet des élus locaux, cadres dirigeants de collectivités en interaction étroite avec les élus.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle et responsabilités de l'élu, cadre juridique et financier de la commune, élaboration du projet municipal/mandat, pilotage stratégique et opérationnel des services, techniques de communication publique locale, gestion des relations institutionnelles/citoyennes.","Supports de cours, code général des collectivités territoriales (ou équivalent), guides pratiques pour les élus locaux, outils de planification stratégique locale, techniques de communication/négociation, simulations de conseil municipal/réunion publique.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une note stratégique pour la commune sur un enjeu clé. Simulation de présentation d'un projet en conseil municipal ou en réunion publique. Analyse d'un cas de gestion municipale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion des territoires et intercommunalités : enjeux actuels pour les collectivités locales,"Comprendre les enjeux et les outils de la gestion territoriale à l'échelle intercommunale : compétences transférées, mutualisation des services, projets de territoire, gouvernance intercommunale.",2 semaines (env. 70-80h),Expérience ou bonne connaissance du fonctionnement des collectivités locales et des enjeux territoriaux.,"Élus locaux et cadres des communes et des Etablissements Publics de Coopération Intercommunale (EPCI), agents de développement local/territorial, urbanistes, consultants en développement territorial/intercommunalité.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre juridique de l'intercommunalité, compétences des EPCI, mutualisation des moyens et des services, élaboration et mise en œuvre de projets de territoire intercommunaux, gouvernance et processus de décision intercommunaux, marketing territorial.","Supports de cours, législation sur l'intercommunalité, exemples de statuts et de projets de territoire d'EPCI, outils d'analyse territoriale, méthodes de gouvernance partagée, études de cas d'intercommunalités.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la gouvernance ou d'un projet d'un EPCI donné. Proposition de stratégies de mutualisation ou de développement pour un territoire intercommunal.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Management stratégique des collectivités publiques,"Appliquer les principes et outils du management moderne (stratégie, organisation, GRH, finances, communication) au contexte spécifique des collectivités publiques (locales ou autres).",2 semaines (env. 70-80h),Expérience en management dans le secteur public ou privé avec intérêt pour le secteur public.,"Cadres et managers des collectivités publiques (Etat, collectivités locales, établissements publics), responsables de service, chefs de projet, consultants en management public.",Dans nos locaux / En ligne / Intra-entreprise,"Management stratégique public, conception organisationnelle et optimisation des processus, management des RH publiques, gestion budgétaire et financière publique, communication publique et marketing des services publics, conduite du changement.","Supports de cours (management public), outils de diagnostic organisationnel, techniques de management d'équipe, méthodes de gestion de projet adaptées au public, outils de communication interne/externe, études de cas management public.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Diagnostic managérial d'une entité publique et proposition d'un plan d'amélioration. Élaboration d'une stratégie de communication pour un service public.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-008,"À partir de €6,899","Paris, Sud de la France, Dubaï","Gouvernance territoriale, développement local et inclusion socio-économique","Comprendre comment une bonne gouvernance territoriale (multi-acteurs, participative, transparente) peut favoriser un développement local inclusif et contribuer efficacement à la lutte contre la pauvreté.",2 semaines (env. 70-80h),"Connaissance des enjeux du développement local, de la gouvernance ou de la lutte contre la pauvreté.","Acteurs du développement local : cadres des collectivités, ONG, agences de développement, représentants du secteur privé local, chercheurs, consultants en développement territorial.",Dans nos locaux / En ligne / Intra-entreprise,"Concepts (gouvernance territoriale, développement local inclusif), diagnostic territorial participatif, planification stratégique locale participative, mobilisation des acteurs locaux, suivi-évaluation participatif axé sur la pauvreté.","Supports de cours, guides méthodologiques sur le développement local participatif et la gouvernance territoriale, outils de diagnostic/planification participatifs, exemples de stratégies de développement local inclusif, études de cas.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la gouvernance et de la stratégie de développement d'un territoire donné au regard de l'inclusion et de la lutte contre la pauvreté. Proposition d'actions pour renforcer la gouvernance participative locale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Décentralisation et gouvernance locale dans l’espace francophone : capitalisation des bonnes pratiques,Analyser et capitaliser sur les bonnes pratiques en matière de décentralisation et de gouvernance locale observées dans différentes villes de l'espace francophone pour inspirer les réformes et l'action locale.,2 semaines (env. 70-80h),"Expérience en administration publique locale, développement urbain ou coopération internationale (francophonie).","Cadres et élus des collectivités locales francophones, fonctionnaires des ministères en charge de la décentralisation, personnel des associations de villes (AIMF...), consultants, chercheurs spécialisés sur les villes francophones.",Dans nos locaux / En ligne / Intra-entreprise,"Partage et analyse critique d'expériences réussies (ou non) dans divers domaines : finances locales, services urbains, participation citoyenne, planification urbaine, coopération décentralisée... dans les villes francophones. Méthodes de capitalisation.","Supports de cours, études de cas détaillées de bonnes pratiques (issues de l'AIMF, Cités Unies France, PDM...), méthodologie de capitalisation d'expériences, plateforme d'échanges entre participants, témoignages (si possible).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse approfondie d'une bonne pratique de gouvernance locale francophone et de ses conditions de transférabilité. Élaboration d'une fiche de capitalisation d'une expérience locale.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DG-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Organisation et coordination administrative au sein des communes,Maîtriser les principes et techniques d'organisation et de coordination efficaces des services administratifs et techniques d'une commune pour assurer la qualité et la continuité des services aux citoyens.,2 semaines (env. 70-80h),Expérience en management ou administration au sein d'une collectivité locale.,"Directeurs Généraux des Services (DGS), Secrétaires de Mairie, Directeurs/chefs de services communaux, responsables organisation/méthodes, cadres chargés de la coordination inter-services.",Dans nos locaux / En ligne / Intra-entreprise,"Conception d'organigrammes fonctionnels, définition des fiches de poste et délégations, mise en place de processus et procédures internes, outils de coordination inter-services (réunions, systèmes d'information...), gestion de la relation administration/élus.","Supports de cours, outils d'analyse organisationnelle, modèles d'organigrammes/fiches de poste, techniques de description/optimisation de processus, outils collaboratifs, guides de management public local.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Diagnostic de l'organisation et de la coordination d'une administration communale (sur cas ou réelle). Proposition d'un plan de réorganisation ou d'amélioration de la coordination inter-services.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
