ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
DGP-001,"À partir de €6,899","Paris, Sud de la France, Dubaï","Conception, organisation et gestion stratégique du travail parlementaire","Maîtriser les principes et méthodes de conception, d'organisation et d'administration efficaces du travail parlementaire (législatif, contrôle, budgétaire) pour optimiser le fonctionnement de l'institution.",2 semaines (env. 70-80h),Connaissance du système politique et constitutionnel national. Expérience au sein d'une administration parlementaire ou intérêt marqué pour le sujet.,"Personnels des assemblées parlementaires (administrateurs, assistants parlementaires, conseillers juridiques/légistiques, secrétaires de commission), cadres des services rattachés au parlement (bibliothèque, recherche...).",Dans nos locaux / En ligne / Intra-entreprise,"Analyse du processus législatif, fonctionnement des commissions, techniques de rédaction législative (bases), procédures de contrôle de l'action gouvernementale, gestion administrative et budgétaire du parlement, communication parlementaire.","Supports de cours, règlements intérieurs des assemblées, guides de procédure parlementaire, exemples de textes législatifs/rapports de commission, outils de gestion documentaire parlementaire (présentation), études de cas de fonctionnement parlementaire.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une procédure parlementaire (ex: examen d'un projet de loi). Proposition d'amélioration pour l'organisation du travail d'une commission ou d'un service parlementaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Fonctions de la diplomatie et des affaires internationales dans le développement national,"Comprendre le rôle stratégique de la diplomatie (politique, économique, culturelle, publique) et des affaires internationales dans la promotion du développement économique, social et politique d'un pays.",2 semaines (env. 70-80h),"Formation en relations internationales, sciences politiques, économie, droit international ou expérience professionnelle pertinente.","Diplomates, fonctionnaires des ministères des Affaires Etrangères/Coopération/Commerce Extérieur, analystes en relations internationales, personnel des agences de promotion des investissements/exportations, chercheurs.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des fonctions diplomatiques (représentation, négociation, information...), diplomatie économique et commerciale, diplomatie culturelle et d'influence, coopération internationale au développement, gestion des relations bilatérales/multilatérales.","Supports de cours, traités et conventions internationales (pertinents), études de cas de stratégies diplomatiques au service du développement, analyses géopolitiques et économiques, témoignages de diplomates (si possible).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse du rôle de la diplomatie dans la stratégie de développement d'un pays donné. Élaboration d'une note sur l'apport potentiel de la diplomatie économique ou culturelle à un secteur spécifique.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-003,"À partir de €6,899","Paris, Sud de la France, Dubaï","Protocole et pratiques diplomatiques : organisation de sommets, conférences et événements officiels","Maîtriser les règles du protocole diplomatique et les aspects pratiques de l'organisation logistique et protocolaire des événements internationaux majeurs (sommets, conférences ministérielles...).",2 semaines (env. 70-80h),"Expérience en protocole, relations internationales, événementiel ou administration publique. Bonne culture générale et sens de l'organisation.","Agents du protocole (Ministère Affaires Etrangères, Présidence, Primature, Ministères), diplomates, organisateurs d'événements internationaux, personnel des organisations internationales (service conférences/protocole).",Dans nos locaux / En ligne / Intra-entreprise,"Règles de préséance (nationale/internationale), cérémonial diplomatique (accueil, signature traités, dîners...), gestion des délégations, aspects logistiques (transport, hébergement, sécurité, accréditations), communication protocolaire, gestion des imprévus.","Supports de cours, manuels de protocole (nationaux/internationaux), décrets de préséance, guides pratiques d'organisation d'événements, check-lists logistiques/protocolaires, simulations d'organisation, études de cas de sommets/conférences.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'un plan protocolaire et logistique détaillé pour un événement international type (sommet bilatéral, conférence ministérielle). Simulation de gestion d'un incident protocolaire.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-004,"À partir de €6,899","Paris, Sud de la France, Dubaï","Directeurs de cabinet, secrétaires généraux et directeurs centraux : outils de performance et modernisation administrative","Doter les hauts fonctionnaires (DirCab, SG, Directeurs) des principes, techniques et outils modernes de management public pour améliorer la performance, piloter la modernisation et renforcer l'efficacité de l'administration.",2 semaines (env. 70-80h),"Occuper ou être pressenti pour occuper une fonction de Directeur de Cabinet, Secrétaire Général ou Directeur Central au sein de l'administration publique. Expérience managériale confirmée.","Directeurs de Cabinet, Secrétaires Généraux (Ministères, Institutions), Directeurs Centraux, Inspecteurs Généraux, hauts fonctionnaires à fort potentiel managérial.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle et fonctions spécifiques (DirCab, SG, DC), leadership et management stratégique public, pilotage de la performance (tableaux de bord, indicateurs), conduite du changement et modernisation administrative, gestion des RH (hauts potentiels), communication institutionnelle.","Supports de cours (management public avancé), outils de diagnostic organisationnel, techniques de leadership et de coaching, méthodes de conduite du changement, systèmes de pilotage de la performance, études de cas de modernisation administrative.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan d'action pour améliorer la performance ou moderniser une direction/un ministère. Analyse d'une situation managériale complexe et proposition de solutions.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Organisation efficace du travail parlementaire : méthodes et outils pratiques,"Maîtriser les outils et techniques modernes (numériques, méthodologiques) pour optimiser l'organisation et l'efficacité du travail parlementaire au quotidien (gestion de l'information, collaboration, suivi...).",2 semaines (env. 70-80h),Expérience au sein d'une administration parlementaire. Aisance avec les outils bureautiques et numériques.,"Personnels des assemblées parlementaires (tous niveaux) impliqués dans la production législative, le travail en commission, la gestion documentaire, la communication ou l'administration générale.",Dans nos locaux / En ligne / Intra-entreprise,"Gestion électronique des documents (GED) parlementaires, outils collaboratifs pour le travail en commission/groupe, bases de données législatives et jurisprudentielles, outils de suivi de l'activité parlementaire, techniques de veille et de recherche d'information.","Supports de cours, présentation et démonstration d'outils numériques (GED, plateformes collaboratives, bases de données juridiques...), méthodes d'organisation personnelle et collective, techniques de veille informationnelle.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Mise en pratique d'outils collaboratifs ou de recherche d'information sur un cas parlementaire. Proposition d'organisation du travail optimisée pour un service parlementaire utilisant des outils modernes.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Modernisation de l’administration publique et conduite du changement institutionnel,Comprendre les enjeux de la modernisation de l'administration publique et maîtriser les approches et outils de la gestion du changement pour accompagner efficacement les réformes administratives.,2 semaines (env. 70-80h),Expérience en management ou gestion de projet dans le secteur public. Intérêt pour les réformes administratives.,"Cadres de l'administration publique (tous niveaux), chefs de projet de modernisation, responsables RH/formation, consultants en management public, représentants syndicaux (pour compréhension).",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic des besoins de modernisation, leviers de la réforme (e-administration, simplification, réorganisation...), modèles de gestion du changement (Kotter, Lewin...), communication du changement, gestion des résistances, accompagnement des équipes.","Supports de cours, modèles de gestion du changement, outils de diagnostic organisationnel, techniques de communication et de mobilisation, études de cas de réformes administratives (succès/échecs), guides de bonnes pratiques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de conduite du changement pour un projet de modernisation donné. Analyse des freins et leviers du changement dans une administration publique.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-007,"À partir de €6,899","Paris, Sud de la France, Dubaï","Secrétaires généraux, directeurs, chefs de cabinet et conseillers : leviers d’innovation et de transformation publique","Analyser les fonctions spécifiques des hauts cadres (SG, Directeurs, Chef Cab, Conseillers) et renforcer leur rôle moteur dans l'impulsion, la conduite et la pérennisation du changement et de l'innovation au sein de l'action publique.",2 semaines (env. 70-80h),"Occuper ou viser une fonction de Secrétaire Général, Directeur, Chef de Cabinet ou Conseiller technique/spécial dans la haute administration. Expérience managériale/stratégique.","Secrétaires Généraux, Directeurs Généraux/Centraux, Chefs de Cabinet, Conseillers techniques/spécialisés auprès des ministres ou hauts dirigeants publics.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle stratégique et d'influence, leadership transformationnel, techniques d'impulsion de l'innovation (créativité, expérimentation...), pilotage de projets de changement complexes, communication et mobilisation des équipes, gestion des interfaces politiques/administratives.","Supports de cours (leadership, innovation publique), techniques de créativité et d'innovation, méthodes de pilotage stratégique, études de cas de leadership public et d'innovations réussies dans l'administration.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse du rôle spécifique d'un haut cadre dans une initiative de changement/innovation. Élaboration d'une stratégie pour impulser l'innovation dans son périmètre de responsabilité.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Institutionnalisation de la GAR : outils opérationnels de réforme de la gestion des ressources humaines,"Comprendre comment institutionnaliser la Gestion Axée sur les Résultats (GAR) dans l'administration et maîtriser les outils de réforme de la GRH alignés sur la performance et les résultats (GPEC, évaluation...).",2 semaines (env. 70-80h),"Expérience en administration publique, gestion de projet/programme ou GRH publique. Connaissance des bases de la GAR.","Cadres supérieurs de l'administration publique, responsables planification/budget/S&E, DRH du secteur public, responsables formation/développement des compétences, consultants en réforme administrative/GRH publique.",Dans nos locaux / En ligne / Intra-entreprise,"Stratégies d'institutionnalisation GAR (cadre logique, budget programme...), lien GAR-GRH, gestion prévisionnelle des emplois et compétences (GPEC), référentiels métiers/compétences, évaluation de la performance, formation axée résultats.","Supports de cours, guides méthodologiques GAR/GRH publique, outils GPEC, modèles de référentiels compétences/fiches de poste axées résultats, systèmes d'évaluation de la performance, études de cas de réformes GRH/GAR.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une feuille de route pour institutionnaliser la GAR dans une entité publique. Conception d'un outil GRH (ex: grille d'évaluation) aligné sur la GAR.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Évaluation des politiques publiques et sectorielles dans une logique de résultats,"Maîtriser les méthodes et outils d'évaluation des politiques publiques et sectorielles (pertinence, efficacité, efficience, impact, durabilité) dans une perspective d'amélioration continue et de redevabilité (GAR).",2 semaines (env. 70-80h),Connaissance de la gestion de projet/programme ou des politiques publiques. Bases en méthodes de recherche (quantitatives/qualitatives).,"Évaluateurs de politiques publiques, chargés d'études/prospective, responsables planification/S&E (ministères, agences), auditeurs de performance (Cour des Comptes...), consultants en évaluation, personnel des bailleurs de fonds.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre logique de l'évaluation (critères OCDE-CAD...), méthodes d'évaluation (expérimentales, quasi-expérimentales, qualitatives...), collecte et analyse de données, élaboration de Termes de Référence (TdR), rédaction de rapports d'évaluation.","Supports de cours, guides méthodologiques d'évaluation (OCDE-CAD, approches spécifiques), outils de collecte de données (questionnaires, guides d'entretien...), logiciels d'analyse (présentation), exemples de TdR/rapports d'évaluation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration de Termes de Référence (TdR) pour l'évaluation d'une politique publique. Analyse critique d'un rapport d'évaluation existant. Proposition d'une méthodologie d'évaluation pour un cas donné.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DGP-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Diplomatie active : pratiques modernes des relations internationales,"Développer une approche proactive et stratégique de la diplomatie, en maîtrisant les pratiques modernes des relations internationales (négociation multilatérale, diplomatie publique, économique, digitale...).",2 semaines (env. 70-80h),"Formation en relations internationales, sciences politiques, droit international ou expérience professionnelle en diplomatie/affaires internationales.","Diplomates, fonctionnaires des Affaires Etrangères, analystes en relations internationales, lobbyistes internationaux, personnel des think tanks/ONG internationales, journalistes spécialisés.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des enjeux internationaux contemporains, techniques de négociation (bilatérale/multilatérale), diplomatie publique et d'influence, communication stratégique internationale, diplomatie économique et commerciale, e-diplomatie.","Supports de cours, analyses géopolitiques/géoéconomiques, études de cas de négociations internationales, stratégies de diplomatie publique/digitale, techniques de communication interculturelle, simulations de négociation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse d'une stratégie diplomatique d'un pays sur un enjeu international. Élaboration d'une note de position ou d'un plan d'action pour une initiative de diplomatie active (publique, économique...).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
