ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
DP-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion de la chaîne de transport international et portuaire,"Maîtriser de manière pratique l'ensemble de la chaîne logistique internationale (maritime, terrestre) et le rôle pivot des opérations portuaires (manutention, stockage, formalités) dans l'optimisation des flux.",2 semaines (env. 70-80h),"Expérience en logistique internationale, transport maritime ou opérations portuaires. Connaissance de base du commerce international et des Incoterms®.","Responsables logistique/supply chain (chargeurs, transporteurs), transitaires, commissionnaires en douane, agents maritimes, responsables d'exploitation portuaire (terminaux, manutention), personnel des autorités portuaires (opérations, commercial).",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des flux logistiques internationaux, rôle des acteurs (armateurs, transitaires, ports...), opérations de manutention et stockage portuaire, formalités douanières et portuaires, optimisation des escales, intermodalité et connexion hinterland, gestion documentaire (B/L...).","Supports de cours, schémas de chaînes logistiques/portuaires, Incoterms®, documents de transport/douane, logiciels portuaires (PCS, TOS - présentation), études de cas d'optimisation de flux internationaux/portuaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une chaîne logistique internationale et identification des points clés/risques au niveau portuaire. Proposition d'optimisations pour les opérations portuaires d'un flux donné. Gestion simulée des documents d'une opération de transport international.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Analyse économique et financière des projets portuaires,"Savoir réaliser l'analyse économique (impacts régionaux/nationaux) et financière (rentabilité, financement) des projets d'investissement portuaires (nouveaux terminaux, dragage, équipements...).",2 semaines (env. 70-80h),"Formation en économie, finance ou ingénierie portuaire/génie civil avec solides bases quantitatives. Maîtrise d'Excel.","Économistes portuaires/maritimes, analystes financiers projet portuaire, chargés d'évaluation socio-économique (infrastructures), cadres des autorités portuaires (planification, finances), consultants en projets portuaires, personnel des bailleurs de fonds (infrastructures).",Dans nos locaux / En ligne / Intra-entreprise,"Spécificités des projets portuaires (taille, durée, externalités...), analyse coûts-bénéfices (ACB) appliquée aux ports, analyse financière (cash-flows projet, VAN, TRI), structuration du financement (public, privé, PPP), analyse de sensibilité et des risques projet portuaire.","Supports de cours, guides méthodologiques ACB/analyse financière projets infrastructures, modèles financiers Excel pour projets portuaires, données économiques/trafic portuaire (exemples), études de cas d'évaluation de projets portuaires réels.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une analyse économique (ACB simplifiée) ou financière complète pour un projet d'investissement portuaire. Analyse des risques et de la sensibilité du projet. Structuration d'un plan de financement simple.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Méthodes de facturation et tarification portuaire,"Maîtriser les différentes méthodes et structures tarifaires utilisées pour la facturation des services portuaires aux navires (droits de port, lamanage, pilotage...) et aux marchandises (manutention, stockage...).",2 semaines (env. 70-80h),"Expérience en opérations portuaires, finance/comptabilité portuaire ou administration portuaire.","Responsables/agents de facturation portuaire (autorité portuaire, opérateurs de terminaux), responsables financiers/comptables portuaires, agents maritimes (vérification factures), contrôleurs de gestion portuaire, consultants en tarification portuaire.",Dans nos locaux / En ligne / Intra-entreprise,"Structure des tarifs portuaires (droits de port, redevances domaniales, prestations...), bases de calcul (jauge navire, tonnage marchandise, temps...), processus de facturation (escale, stockage...), outils de facturation portuaire, gestion des litiges de facturation.","Supports de cours, grilles tarifaires portuaires (exemples), règles de calcul des droits/redevances, logiciels de facturation portuaire (présentation), procédures de gestion des escales/marchandises (volet facturation), études de cas de facturation/litiges.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul des droits de port et des prestations pour une escale type. Analyse et vérification d'une facture portuaire (navire ou marchandise). Proposition d'une structure tarifaire pour un nouveau service portuaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion et management de projets portuaires,"Maîtriser les spécificités de la gestion de projet appliquée aux projets portuaires (infrastructures, équipements, systèmes d'information...) : planification, risques, coûts, délais, parties prenantes.",2 semaines (env. 70-80h),Expérience en gestion de projet et/ou connaissance technique du secteur portuaire/maritime/génie civil.,"Chefs de projet portuaires (autorité portuaire, opérateurs, bureaux d'études, entreprises), ingénieurs projet portuaire, planificateurs portuaires, consultants en management de projet portuaire.",Dans nos locaux / En ligne / Intra-entreprise,"Cycle de vie projet portuaire, planification spécifique (WBS, phasage...), gestion des risques portuaires (techniques, E&S, réglementaires...), estimation et suivi des coûts/délais, gestion des contrats (travaux, fournitures...), gestion des parties prenantes portuaires (multiples).","Supports de cours, standards de gestion de projet adaptés aux infrastructures, outils de planification (MS Project...), techniques de gestion des risques projet portuaire, modèles de documents projet portuaire, études de cas de projets portuaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de management de projet (simplifié) pour un projet portuaire. Analyse des risques spécifiques d'un projet portuaire et proposition de réponses. Simulation de suivi de projet et gestion des parties prenantes.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Montage et régulation des concessions portuaires,"Maîtriser les aspects juridiques, financiers et techniques du montage des concessions portuaires (terminaux, services...) et comprendre le rôle et les outils de la régulation de ces concessions.",2 semaines (env. 70-80h),"Formation juridique, économique/financière ou en ingénierie/management portuaire. Expérience en PPP ou en régulation sectorielle est un plus.","Cadres des autorités portuaires (service concessions, juridique, financier), cadres des ministères de tutelle (transport, finances), consultants spécialisés PPP/concessions portuaires, représentants des opérateurs/concessionnaires portuaires, régulateurs sectoriels.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre juridique des concessions/PPP portuaires, processus d'appel d'offres et de sélection du concessionnaire, montage financier et partage des risques, élaboration du contrat de concession (clauses clés), régulation économique et technique des concessions (tarifs, investissements...).","Supports de cours, cadres légaux PPP/concessions, modèles de contrats de concession portuaire, techniques de montage financier PPP, outils de régulation économique (price cap...), études de cas de montage/régulation de concessions portuaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'un contrat de concession portuaire et identification des clauses clés/risques. Structuration d'un montage financier simple pour une concession. Proposition de mécanismes de régulation pour une concession portuaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Sûreté et sécurité des opérations portuaires,Comprendre et savoir mettre en œuvre les mesures de sûreté (prévention actes malveillants - Code ISPS) et de sécurité (prévention accidents - HSE) requises dans l'environnement portuaire.,2 semaines (env. 70-80h),Expérience dans les opérations portuaires ou la sécurité/sûreté. Connaissance de base de la réglementation ISPS/HSE.,"Agents de sûreté portuaire (PFSO), responsables HSE portuaires, personnel des capitaineries/autorités portuaires, responsables sécurité des opérateurs de terminaux/entreprises portuaires, personnel des compagnies maritimes (volet sûreté).",Dans nos locaux / En ligne / Intra-entreprise,"Code ISPS (évaluation/plan de sûreté installation portuaire/navire), contrôle d'accès et surveillance des zones portuaires, gestion des marchandises dangereuses (Code IMDG - bases), sécurité des opérations (manutention, stockage...), plans d'urgence (sécurité/sûreté).","Supports de cours, Code ISPS et guides d'application, Code IMDG (présentation), réglementation HSE portuaire, exemples de plans de sûreté/sécurité, check-lists d'inspection sûreté/sécurité, études de cas d'incidents/exercices sûreté/sécurité portuaire.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une évaluation simplifiée de la sûreté d'une installation portuaire. Élaboration d'un plan de gestion de la sécurité pour une opération portuaire spécifique (ex: manutention de marchandises dangereuses). Simulation de réponse à un incident sûreté/sécurité.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtrise des finances et de la comptabilité portuaire,"Acquérir une compréhension globale des aspects financiers spécifiques à la gestion d'une autorité portuaire ou d'un opérateur portuaire : budget, comptabilité, investissement, financement, rentabilité.",2 semaines (env. 70-80h),Formation en finance/comptabilité/gestion ou expérience significative dans le secteur portuaire avec des responsabilités financières/budgétaires.,"Responsables financiers/comptables/contrôle de gestion portuaire (autorité/opérateur), directeurs de port/terminal, consultants en finance portuaire, auditeurs financiers spécialisés ports.",Dans nos locaux / En ligne / Intra-entreprise,"Spécificités de la comptabilité portuaire, élaboration et suivi du budget portuaire, analyse financière d'une entité portuaire (ratios clés), évaluation et financement des investissements portuaires, gestion de la trésorerie portuaire, politique tarifaire et rentabilité.","Supports de cours, plans comptables portuaires (si spécifiques), outils d'analyse financière portuaire, méthodes d'évaluation de projets portuaires, modèles budgétaires portuaires, études de cas financiers d'autorités/opérateurs portuaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse financière d'une autorité portuaire ou d'un opérateur de terminal. Élaboration d'un budget simplifié pour une activité portuaire. Évaluation de la rentabilité d'un investissement portuaire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques de tarification des services portuaires,Comprendre les principes économiques et réglementaires de la tarification portuaire et savoir élaborer et mettre en œuvre une structure tarifaire efficace et équitable pour les différents services portuaires.,2 semaines (env. 70-80h),"Formation en économie, finance ou management portuaire. Connaissance des coûts et des services portuaires.","Responsables tarification/marketing/commercial portuaire (autorité/opérateur), économistes portuaires, régulateurs sectoriels, consultants en tarification portuaire.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de tarification (coût marginal, coût complet, valeur d'usage...), structure des tarifs portuaires (droits de port, redevances, prestations...), calcul des tarifs basé sur les coûts, différenciation tarifaire, aspects réglementaires et concurrentiels, communication tarifaire.","Supports de cours, méthodes de calcul des coûts portuaires (bases LRIC...), modèles de structures tarifaires, outils de simulation tarifaire, réglementation tarifaire (nationale/internationale), études de cas de stratégies tarifaires portuaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'une structure tarifaire pour un ensemble de services portuaires. Calcul de tarifs basés sur les coûts (simplifié). Analyse de l'impact d'une modification tarifaire sur les revenus et le trafic.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion des opérations d'affrètement de navires,"Maîtriser les différents types de contrats d'affrètement maritime (voyage, temps, coque nue), les cycles du marché de l'affrètement et la gestion opérationnelle et commerciale des navires affrétés.",2 semaines (env. 70-80h),"Expérience dans le transport maritime (armateur, affréteur, courtier) ou en commerce international (volet transport). Connaissance de base du droit maritime.","Affréteurs (chargeurs, traders), personnel des services affrètement des armateurs, courtiers maritimes (chartering brokers), agents maritimes, juristes spécialisés en affrètement.",Dans nos locaux / En ligne / Intra-entreprise,"Marchés de l'affrètement (vraquier, pétrolier, conteneur...), contrats types d'affrètement (GENCON, NYPE...), clauses clés (laytime/demurrage, vitesse/consommation...), négociation des contrats d'affrètement, gestion opérationnelle post-fixture (suivi du navire, instructions...).","Supports de cours, contrats types d'affrètement (GENCON, NYPE...), glossaire des termes d'affrètement, analyse des marchés de fret maritime, techniques de négociation d'affrètement, logiciels de gestion d'affrètement (présentation), études de cas d'opérations/litiges d'affrètement.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse et négociation (simulée) des clauses clés d'un contrat d'affrètement (voyage ou temps). Calcul du laytime et des surestaries/despatch money. Gestion d'un incident opérationnel durant un affrètement.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DP-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Optimiser la gestion documentaire des flux logistiques,"Maîtriser la gestion (création, transmission, contrôle, archivage) des documents administratifs clés liés aux flux de marchandises et de transport international (factures, B/L, déclarations douanières...).",2 semaines (env. 70-80h),"Expérience en logistique internationale, import-export, transit ou douane. Rigueur et organisation.","Assistants/gestionnaires import-export, employés des services logistique/transport/douane, transitaires, déclarants en douane, personnel administratif des entreprises de transport.",Dans nos locaux / En ligne / Intra-entreprise,"Identification des documents requis par type d'opération (import/export, mode de transport...), création et contrôle des documents commerciaux/transport/douane, gestion électronique des documents (EDI, plateformes...), archivage légal et bonnes pratiques, optimisation des processus documentaires.","Supports de cours, modèles des principaux documents (facture proforma/commerciale, packing list, B/L, LTA, CMR, déclaration douanière...), Incoterms® (implications documentaires), plateformes de dématérialisation (présentation), check-lists de contrôle documentaire.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Vérification complète d'une liasse documentaire pour une opération import ou export. Identification des erreurs courantes et proposition de corrections. Mise en place d'une procédure simplifiée de gestion documentaire pour un flux donné.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
