ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
DPE-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Mieux se connaître avec l'analyse transactionnelle,"Utiliser les concepts de l'Analyse Transactionnelle (États du Moi, Transactions, Jeux Psychologiques...) pour mieux se connaître, comprendre ses interactions et développer des relations professionnelles plus saines et productives.",2 semaines (env. 70-80h),Intérêt pour le développement personnel et la communication interpersonnelle. Aucune connaissance préalable de l'AT requise. Ouverture à l'auto-réflexion.,"Tous professionnels souhaitant améliorer leur compréhension de soi et leurs relations au travail (employés, managers, RH, commerciaux, techniciens...).",Dans nos locaux / En ligne / Intra-entreprise,"Présentation approfondie des concepts AT, auto-diagnostic (egogramme...), analyse de transactions/jeux en situation pro, identification des scénarios de vie, techniques pour sortir des jeux et établir des relations ""adulte-adulte"", exercices pratiques et partage d'expériences.","Supports de cours, modèles AT (États du Moi, Triangle Dramatique...), questionnaires d'auto-diagnostic, études de cas relationnels en entreprise, mises en situation de communication basées sur l'AT, bibliographie AT.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Auto-évaluation de ses États du Moi et de ses transactions types. Analyse de situations relationnelles professionnelles vécues à travers le modèle AT. Mise en place d'un plan d'action personnel pour améliorer ses relations.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Confiance en soi et développement personnel,"Identifier ses freins et ses ressources personnelles, renforcer son estime de soi et sa confiance en soi, et élaborer un plan de développement personnel pour atteindre ses objectifs professionnels et personnels.",2 semaines (env. 70-80h),Volonté de développement personnel et d'introspection.,"Tous professionnels souhaitant renforcer leur confiance en eux, mieux se connaître et prendre en main leur développement (tous niveaux hiérarchiques).",Dans nos locaux / En ligne / Intra-entreprise,"Auto-diagnostic (forces, faiblesses, valeurs), techniques pour renforcer l'estime de soi et la confiance (visualisation, affirmations...), gestion des pensées limitantes, définition d'objectifs personnels/professionnels (SMART), élaboration d'un plan d'action de développement.","Supports de cours, outils d'auto-diagnostic (valeurs, forces...), techniques de PNL/sophrologie (initiation), exercices de définition d'objectifs, modèles de plans de développement personnel, partage d'expériences en groupe (cadre bienveillant).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Auto-diagnostic de sa confiance en soi et identification de ses ressources. Définition d'objectifs de développement clairs. Élaboration et présentation (si souhaité) de son plan d'action personnel. Participation active aux exercices.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Optimiser ses ressources et s'affirmer au travail,"Identifier ses ressources internes (talents, compétences, motivations) et externes (réseau, informations...), apprendre à les mobiliser efficacement et développer son assertivité pour s'affirmer positivement dans ses relations professionnelles.",2 semaines (env. 70-80h),Volonté de mieux se connaître et de développer son affirmation personnelle et professionnelle.,"Tous professionnels souhaitant mieux utiliser leurs potentiels et améliorer leur capacité à s'affirmer de manière constructive (employés, cadres, managers...).",Dans nos locaux / En ligne / Intra-entreprise,"Identification des ressources personnelles (talents cachés, points forts), techniques de mobilisation des ressources (créativité, résolution de problèmes), développement de l'assertivité (exprimer ses besoins/limites, dire non, faire/recevoir critiques), communication non-violente (CNV).","Supports de cours, outils d'identification des talents/ressources, techniques d'assertivité et de CNV, exercices pratiques d'affirmation de soi, mises en situation de communication assertive (négociation, gestion de désaccord...), plan d'action personnel.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification de ses ressources clés et de ses freins à l'affirmation. Mise en pratique des techniques d'assertivité dans des jeux de rôles. Élaboration d'un plan pour s'affirmer davantage dans des situations professionnelles ciblées.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Savoir-vivre et relations professionnelles,"Maîtriser les règles du savoir-vivre professionnel (étiquette, codes vestimentaires, communication...) et développer des relations interpersonnelles positives et respectueuses pour favoriser un environnement de travail harmonieux.",2 semaines (env. 70-80h),Ouvert à tous les professionnels.,Tous professionnels (tous niveaux hiérarchiques) souhaitant améliorer leur aisance relationnelle et leur image professionnelle en entreprise. Particulièrement utile pour les nouveaux entrants ou personnes en contact avec des clients/partenaires.,Dans nos locaux / En ligne / Intra-entreprise,"Règles de courtoisie et de politesse professionnelle, étiquette des affaires (présentations, repas...), communication verbale/non-verbale adaptée, gestion de l'image professionnelle (tenue, e-réputation...), intelligence relationnelle, gestion des situations délicates (gaffes...).","Supports de cours, guides de savoir-vivre professionnel et d'étiquette des affaires, mises en situation (présentations, accueil, communication téléphonique...), exercices sur la communication non-verbale, études de cas relationnels.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Mises en situation de respect des règles de savoir-vivre dans divers contextes professionnels. Analyse de situations relationnelles et proposition de comportements adaptés. Auto-évaluation de son image professionnelle.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Développer son potentiel de compétences,"Identifier ses compétences actuelles et son potentiel d'évolution, définir un projet professionnel réaliste et motivant, et construire un plan d'action pour développer les compétences nécessaires à sa réalisation.",2 semaines (env. 70-80h),Volonté de réfléchir à son parcours professionnel et de développer ses compétences.,"Tous professionnels souhaitant faire le point sur leurs compétences, définir un projet d'évolution ou de reconversion, et prendre en main leur développement professionnel.",Dans nos locaux / En ligne / Intra-entreprise,"Auto-diagnostic des compétences (techniques, comportementales) et des motivations, identification du potentiel et des axes de développement, exploration des pistes d'évolution professionnelle, définition d'un projet réaliste (SMART), élaboration d'un plan de développement de compétences (formation, VAE...).","Supports de cours, outils d'auto-diagnostic (portfolio de compétences, tests d'intérêts...), méthodes d'exploration du marché du travail/des métiers, techniques de définition de projet professionnel, modèles de plans de développement de compétences, informations sur les dispositifs de formation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation de son portefeuille de compétences et identification de son potentiel. Formalisation d'un projet professionnel argumenté. Élaboration d'un plan d'action détaillé pour développer les compétences requises.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion du stress et efficacité personnelle,"Comprendre les mécanismes du stress, identifier ses propres stresseurs et réactions, et acquérir des techniques concrètes (respiration, relaxation, organisation...) pour mieux gérer son stress et améliorer son efficacité personnelle.",2 semaines (env. 70-80h),Ouvert à tous les professionnels ressentant du stress ou souhaitant améliorer leur gestion du stress et leur bien-être au travail.,Tous professionnels (tous niveaux hiérarchiques) exposés au stress ou souhaitant développer leur résilience et leur efficacité personnelle.,Dans nos locaux / En ligne / Intra-entreprise,"Mécanismes physiologiques et psychologiques du stress, identification des sources de stress professionnelles/personnelles, techniques de relaxation et de respiration, gestion des émotions liées au stress, techniques d'organisation et de gestion du temps anti-stress, hygiène de vie.","Supports de cours, outils d'auto-diagnostic du stress, techniques de relaxation/respiration (exercices pratiques), méthodes de gestion des émotions (pleine conscience - initiation), outils d'organisation, conseils en hygiène de vie, plan d'action anti-stress personnalisé.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Auto-diagnostic de son niveau et de ses sources de stress. Pratique et appropriation de techniques de gestion du stress (relaxation, respiration...). Élaboration d'un plan d'action personnel pour mieux gérer son stress au quotidien.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Initiation à la programmation neurolinguistique (PNL),"Découvrir les concepts fondamentaux et les outils de base de la PNL pour améliorer sa communication, mieux comprendre les autres et développer son potentiel personnel et professionnel.",2 semaines (env. 70-80h),"Intérêt pour la communication, le développement personnel et les modèles comportementaux. Ouverture d'esprit.","Tous professionnels souhaitant améliorer leur communication, leur compréhension interpersonnelle et leur efficacité personnelle (managers, commerciaux, RH, formateurs, coachs...).",Dans nos locaux / En ligne / Intra-entreprise,"Présupposés de la PNL, systèmes de représentation sensorielle (VAKOG), calibration et synchronisation, méta-modèle linguistique (bases), ancrage de ressources, recadrage simple, objectifs bien formulés (modèle PNL), positions de perception.","Supports de cours (initiation PNL), exercices pratiques de calibration/synchronisation, techniques d'ancrage/recadrage simples, modèle SCORE, démonstrations par le formateur, mises en situation pour appliquer les outils de base. (Ne vise pas une certification PNL).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Identification de son propre système sensoriel dominant et de celui d'autrui (calibration). Application pratique de techniques de base (ancrage, recadrage simple). Formulation d'objectifs selon le modèle PNL.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Développer son assertivité et sa confiance en soi,"Identifier ses freins à l'affirmation de soi, développer sa confiance en ses capacités et maîtriser les techniques de communication assertive pour exprimer ses opinions, besoins et limites de manière claire et respectueuse.",2 semaines (env. 70-80h),Volonté de développer son affirmation et sa confiance en soi.,"Tous professionnels souhaitant améliorer leur capacité à s'affirmer positivement, à dire non, à exprimer leurs opinions et à gagner en confiance dans leurs relations professionnelles.",Dans nos locaux / En ligne / Intra-entreprise,"Comprendre l'assertivité (différence avec passivité/agressivité), identifier ses droits et limites légitimes, techniques pour formuler une demande/un refus/une critique constructive, gestion des critiques et des désaccords, renforcement de la confiance en soi (ressources, succès).","Supports de cours, outils d'auto-diagnostic (assertivité, confiance en soi), techniques de communication assertive (DESC...), mises en situation et jeux de rôles (dire non, faire une demande...), exercices pour renforcer la confiance en soi.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Auto-diagnostic de son niveau d'assertivité et de confiance en soi. Mise en pratique intensive des techniques d'assertivité dans diverses situations professionnelles simulées. Élaboration d'un plan d'action personnel.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Mieux communiquer avec THECA et RATIO,Maîtriser les techniques spécifiques THECA pour surmonter les hésitations dans l'expression orale et RATIO pour améliorer la maîtrise de l'orthographe et de l'expression écrite professionnelle.,2 semaines (env. 70-80h),Volonté d'améliorer son expression orale et/ou écrite. Maîtrise de base de la langue française.,Tous professionnels souhaitant gagner en aisance/fluidité à l'oral et/ou améliorer significativement la qualité de leurs écrits (fautes d'orthographe fréquentes).,Dans nos locaux / En ligne / Intra-entreprise,"Présentation et pratique intensive des techniques THECA (gestion du souffle, articulation, rythme, lutte contre les tics verbaux...), présentation et application des astuces RATIO (règles clés orthographe/grammaire simplifiées, moyens mnémotechniques, stratégies de relecture...).","Supports de cours spécifiques THECA/RATIO, exercices d'application orale (lecture à voix haute, improvisation contrôlée...) et écrite (dictées ciblées, réécriture de textes, quiz orthographiques...), fiches mémo orthographe/grammaire RATIO.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Amélioration mesurable de la fluidité orale via exercices THECA. Réduction significative des fautes d'orthographe/grammaire via exercices RATIO. Application des techniques dans des mises en situation professionnelles (oral/écrit).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
DPE-010,"À partir de €6,899","Paris, Sud de la France, Dubaï","Coaching : fondamentaux, posture et outils","Acquérir les principes fondamentaux du coaching professionnel (posture, éthique, processus ICF...) et s'initier aux outils clés (questionnement puissant, écoute active...) pour accompagner le développement des individus.",2 semaines (env. 70-80h),"Expérience en management, RH, formation ou conseil. Fort intérêt pour l'accompagnement et le développement humain. Maturité et capacité d'écoute.","Managers souhaitant développer une posture de manager-coach, professionnels RH/formation, futurs coachs internes ou externes (initiation solide), consultants en accompagnement.",Dans nos locaux / En ligne / Intra-entreprise,"Définition et cadre déontologique du coaching (ICF...), posture du coach (présence, non-jugement...), processus de coaching structuré (contrat, exploration, options, action...), compétences clés (écoute active, questionnement puissant, feedback...), outils de base (GROW, Roue vie...).","Supports de cours, référentiel des compétences coaching ICF, Code de déontologie ICF, outils de coaching classiques (GROW...), études de cas de coaching, sessions de pratique de coaching en trinômes supervisées par le formateur, bibliographie coaching. (Ne vise pas certification coach).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Compréhension et adhésion au cadre éthique et déontologique. Capacité à mener un entretien de coaching simple en utilisant les compétences clés (écoute, questionnement). Application d'outils de base. Auto-évaluation de sa posture de coach.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
