ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
FCAC-001,"À partir de €6,899","Paris, Sud de la France, Dubaï","Trésorerie d'entreprise, agios et relation bancaire","Maîtriser la gestion quotidienne de la trésorerie, savoir vérifier et contester les agios et frais bancaires, et optimiser les relations et négociations avec les partenaires bancaires.",2 semaines (env. 70-80h),"Expérience en comptabilité, finance ou trésorerie d'entreprise. Bonne maîtrise d'Excel.","Trésoriers, comptables uniques/généraux, responsables financiers PME, contrôleurs de gestion, assistants de direction financière.",Dans nos locaux / En ligne / Intra-entreprise,"Prévisions de trésorerie, gestion des flux et soldes au quotidien, calcul et vérification des échelles d'intérêts (agios), négociation des conditions bancaires (dates de valeur, frais...), choix des partenaires bancaires, optimisation des placements/financements CT.","Supports de cours, modèles Excel de prévision/suivi/vérification agios, techniques de négociation bancaire, présentation des principaux services bancaires aux entreprises, études de cas de vérification d'agios et de négociation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un plan de trésorerie prévisionnel simple. Vérification d'une échelle d'intérêts et calcul des agios. Simulation de négociation de conditions bancaires.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Comptabilité approfondie et états financiers (IAS/IFRS & SYSCOHADA),"Maîtriser les techniques comptables approfondies (immobilisations, stocks, provisions, fiscalité différée...) et savoir élaborer les états financiers complets selon les référentiels IAS/IFRS et SYSCOHADA révisé.",2 semaines (env. 70-80h),Solides connaissances en comptabilité générale et/ou expérience confirmée en comptabilité d'entreprise (SYSCOHADA ou IFRS).,"Chefs comptables, responsables comptables/financiers, experts-comptables, auditeurs financiers, consultants comptables/financiers, contrôleurs de gestion confirmés.",Dans nos locaux / En ligne / Intra-entreprise,"Traitements comptables complexes (IFRS/SYSCOHADA) : immobilisations (IAS 16/Actif SYSCOHADA), stocks (IAS 2), provisions (IAS 37), impôts différés (IAS 12), contrats de location (IFRS 16)... Élaboration du bilan, compte de résultat, tableau de flux de trésorerie, annexes.","Supports de cours (niveau expert), normes IAS/IFRS et Actes Uniformes SYSCOHADA révisé, guides d'application, logiciels comptables (présentation), exercices pratiques de comptabilisation complexe, cas complet d'élaboration des états financiers.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Traitement comptable d'opérations complexes selon IFRS et/ou SYSCOHADA révisé. Élaboration d'états financiers complets (bilan, résultat, flux de trésorerie) sur un cas d'entreprise. Analyse comparative IFRS/SYSCOHADA.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-003,"À partir de €6,899","Paris, Sud de la France, Dubaï","Tableaux de bord, budget et trésorerie approfondie",Intégrer la démarche budgétaire et la gestion de trésorerie dans un système de pilotage global basé sur des tableaux de bord pertinents pour améliorer la performance financière de l'entreprise.,2 semaines (env. 70-80h),"Expérience confirmée en contrôle de gestion, finance ou trésorerie d'entreprise. Maîtrise des processus budgétaires et de trésorerie.","Contrôleurs de gestion confirmés, responsables financiers/trésorerie, directeurs administratifs et financiers (DAF), consultants en finance/performance.",Dans nos locaux / En ligne / Intra-entreprise,"Conception de tableaux de bord financiers intégrés (liant budget, trésorerie, résultats), processus budgétaire avancé (rolling forecast...), prévisions de trésorerie moyen/long terme, optimisation du BFR, analyse de l'équilibre financier, indicateurs clés de performance (KPIs) financiers.","Supports de cours, outils de conception de tableaux de bord (Excel avancé, BI), modèles budgétaires/trésorerie avancés (rolling forecast, BFR...), techniques d'analyse financière prospective, études de cas d'intégration budget/trésorerie/tableau de bord.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un tableau de bord financier intégré pour une entreprise. Mise en place d'un processus de rolling forecast. Analyse de l'équilibre financier et proposition d'actions d'optimisation du BFR/trésorerie.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtriser le processus budgétaire en entreprise,"Maîtriser l'ensemble du processus budgétaire en entreprise : élaboration des budgets opérationnels et financiers, consolidation, suivi des réalisations, analyse des écarts et reporting.",2 semaines (env. 70-80h),"Expérience en contrôle de gestion, comptabilité ou finance. Bonne maîtrise d'Excel.","Contrôleurs de gestion, responsables budgétaires, analystes financiers, comptables impliqués dans le processus budgétaire, managers opérationnels participant à l'élaboration de leur budget.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle et étapes du processus budgétaire, méthodes d'élaboration budgétaire (base zéro, reconduction...), construction des budgets (ventes, production, achats, investissements, trésorerie...), consolidation budgétaire, suivi et analyse des écarts, reporting budgétaire.","Supports de cours, méthodologies budgétaires, modèles Excel de budgets, outils de reporting budgétaire (BI - présentation), techniques d'analyse des écarts, études de cas de processus budgétaire complet.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un budget opérationnel (ex: budget des ventes) et d'un budget financier (ex: budget de trésorerie). Réalisation d'un tableau de suivi budgétaire et analyse commentée des écarts.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prévention et détection de la fraude financière,"Comprendre les mécanismes de la fraude financière et comptable, savoir mettre en place des dispositifs de prévention et de détection, et gérer les cas de fraude avérée.",2 semaines (env. 70-80h),"Expérience en audit (interne/externe), contrôle interne, finance, comptabilité ou gestion des risques.","Auditeurs internes/externes, contrôleurs internes/de gestion, responsables financiers/comptables, gestionnaires des risques, responsables conformité, consultants en fraude/investigation.",Dans nos locaux / En ligne / Intra-entreprise,"Typologie des fraudes financières/comptables (détournement d'actifs, manipulation des comptes...), cartographie des risques de fraude, dispositifs de contrôle interne anti-fraude, techniques de détection (data analytics, red flags...), conduite d'investigations internes, aspects juridiques.","Supports de cours, typologies de fraudes (ACFE...), méthodologies de cartographie/évaluation des risques de fraude, techniques d'audit/investigation de fraude, outils d'analyse de données anti-fraude (présentation), études de cas de fraudes d'entreprise.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Réalisation d'une cartographie des risques de fraude pour un processus clé (ex: achats, ventes). Conception de contrôles anti-fraude. Analyse d'un scénario pour identifier les 'red flags' de fraude. Proposition d'un plan d'investigation.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-006,"À partir de €6,899","Paris, Sud de la France, Dubaï","Contrôle de gestion, reporting et maîtrise des coûts","Maîtriser les outils clés du contrôle de gestion : conception de tableaux de bord pertinents, élaboration de reportings de gestion efficaces et mise en œuvre de méthodes de maîtrise des coûts.",2 semaines (env. 70-80h),"Formation en gestion, finance ou comptabilité. Expérience en contrôle de gestion ou comptabilité analytique est un plus. Maîtrise d'Excel/outils BI.","Contrôleurs de gestion, analystes financiers/de gestion, responsables financiers, consultants en contrôle de gestion/performance.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle du contrôle de gestion, conception de tableaux de bord (indicateurs clés, visualisation), techniques de reporting (fréquence, destinataires), méthodes d'analyse et de maîtrise des coûts (coûts complets, directs, variables, ABC...), analyse des écarts et recommandations.","Supports de cours, outils de conception de tableaux de bord (Excel, Power BI...), méthodes de calcul de coûts (ABC...), techniques d'analyse des écarts, modèles de reporting de gestion, études de cas de contrôle de gestion et maîtrise des coûts.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un tableau de bord pour piloter une activité ou un service. Réalisation d'une analyse de coûts et proposition d'actions de maîtrise. Élaboration d'un reporting de gestion commenté.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Principes et techniques de consolidation des comptes,"Maîtriser les principes (périmètre, méthodes) et les techniques (retraitements, éliminations, partage des capitaux propres) de la consolidation des comptes selon les normes françaises et/ou IFRS.",2 semaines (env. 70-80h),Solides connaissances en comptabilité financière (normes françaises et/ou IFRS). Expérience en comptabilité de groupe ou en audit financier.,"Consolideurs, responsables comptables/financiers de groupes, experts-comptables, auditeurs financiers spécialisés consolidation, consultants en consolidation.",Dans nos locaux / En ligne / Intra-entreprise,"Périmètre et méthodes de consolidation (intégration globale, proportionnelle, mise en équivalence), retraitements de consolidation (homogénéisation, fiscalité différée...), élimination des opérations intra-groupe, partage des capitaux propres et du résultat, états financiers consolidés.","Supports de cours (niveau expert), normes comptables de consolidation (CRC 99-02 / ANC, IFRS 10/11/12, IAS 27/28...), logiciels de consolidation (présentation type BFC/Magnitude), exercices pratiques de retraitements/éliminations, cas complet de consolidation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation des principaux retraitements et éliminations de consolidation sur un cas pratique. Établissement d'un bilan et d'un compte de résultat consolidés simples. Analyse d'états financiers consolidés.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Comptabilité analytique : méthode ABC et coûts,"Maîtriser la méthode Activity Based Costing (ABC) et d'autres techniques de comptabilité analytique pour analyser finement les coûts, évaluer la rentabilité par produit/client et piloter la performance.",2 semaines (env. 70-80h),Bonnes connaissances en comptabilité générale et/ou contrôle de gestion.,"Contrôleurs de gestion, comptables analytiques/industriels, responsables financiers, consultants en contrôle de gestion/performance, managers opérationnels impliqués dans l'analyse des coûts.",Dans nos locaux / En ligne / Intra-entreprise,"Limites des méthodes traditionnelles, principes de la méthode ABC (activités, inducteurs de coûts), mise en œuvre de l'ABC, utilisation de l'ABC pour l'analyse de rentabilité et la prise de décision, autres méthodes analytiques (coûts cibles...), contrôle et réduction des coûts.","Supports de cours, méthodologie ABC détaillée, outils de modélisation ABC (Excel ou spécifique), exemples de calculs de coûts ABC, études de cas d'application de l'ABC (industrie, services), techniques de contrôle des coûts.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Mise en œuvre de la méthode ABC sur un cas simplifié (identification activités/inducteurs, calcul des coûts). Analyse de la rentabilité par produit/client avec ABC. Proposition d'actions de réduction des coûts basées sur l'analyse analytique.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Conduire une mission d'audit interne,"Acquérir et maîtriser la méthodologie complète d'une mission d'audit interne (planification, réalisation, rapport, suivi) conformément aux normes internationales (IIA) et aux meilleures pratiques.",2 semaines (env. 70-80h),"Formation en audit, finance, gestion ou expérience en audit interne/externe, contrôle interne ou gestion des risques.","Auditeurs internes (tous secteurs), responsables d'audit interne, contrôleurs internes/permanents, gestionnaires des risques, consultants en audit interne/gestion des risques.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre de référence de l'audit interne (IIA : normes, code déontologie), planification annuelle basée sur les risques, préparation de la mission (programme travail, objectifs), techniques de réalisation (entretiens, tests, analyse données...), formulation constats/recommandations, rapport, suivi.","Supports de cours, normes professionnelles IIA, méthodologie d'audit basée sur les risques, techniques d'audit (échantillonnage, CAATs...), outils de rédaction de rapport/constats (5C...), études de cas d'audit interne (financier, opérationnel, conformité...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un programme de travail pour une mission d'audit interne. Rédaction de constats et recommandations d'audit clairs et pertinents selon les normes. Simulation d'une réunion de validation/clôture d'audit.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FCAC-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",SYSCOHADA révisé : nouvelles dispositions et états financiers,Maîtriser les principales dispositions nouvelles du SYSCOHADA révisé et savoir élaborer et présenter les états financiers annuels (Système Normal et Système Minimal de Trésorerie) conformément à ce référentiel.,2 semaines (env. 70-80h),Solides connaissances en comptabilité générale SYSCOHADA (version antérieure ou notions).,"Chefs comptables, responsables comptables/financiers, experts-comptables, auditeurs financiers, consultants comptables/financiers opérant dans l'espace OHADA.",Dans nos locaux / En ligne / Intra-entreprise,"Principales évolutions du SYSCOHADA révisé (plan de comptes, règles d'évaluation, IFRS intégrées...), traitement comptable des opérations courantes/complexes selon le référentiel révisé, élaboration du bilan, compte de résultat, TFT et notes annexes (Système Normal/SMT).","Supports de cours, Actes Uniformes OHADA relatifs au Droit Comptable et à l'Information Financière (SYSCOHADA révisé), plan de comptes SYSCOHADA révisé, modèles d'états financiers SYSCOHADA révisé, exercices pratiques de comptabilisation/élaboration états financiers.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Traitement comptable d'opérations spécifiques selon le SYSCOHADA révisé. Élaboration des états financiers annuels (Bilan, Résultat, TFT, Notes) sur un cas d'entreprise (Système Normal ou SMT).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
