ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
FDF-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Concevoir et commercialiser les services financiers digitaux,"Maîtriser le processus de conception (UX/UI, parcours client) et de commercialisation (marketing digital, business model) de services digitaux innovants et centrés sur l'utilisateur, applicables à divers secteurs.",2 semaines (env. 70-80h),"Expérience en marketing, gestion de produit, design ou développement de services. Intérêt pour le digital et l'innovation.","Chefs de produit digitaux, responsables marketing digital, UX/UI designers, chefs de projet innovation digitale, intrapreneurs/entrepreneurs digitaux, consultants en transformation digitale.",Dans nos locaux / En ligne / Intra-entreprise,"Design thinking appliqué aux services digitaux, conception UX/UI (maquettage, prototypage), business models digitaux (abonnement, freemium, plateforme...), stratégies de lancement et de marketing digital (acquisition, conversion, rétention), mesure de la performance (KPIs digitaux).","Supports de cours, outils de maquettage/prototypage (Figma, Sketch - pratique), modèles de business model canvas (digital), outils d'analyse d'audience/performance digitale (Google Analytics...), études de cas de services digitaux réussis (divers secteurs).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception du parcours utilisateur et prototypage d'un service digital. Élaboration du business model et de la stratégie de commercialisation d'un service digital. Définition des KPIs et d'un tableau de bord de suivi.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prévenir les risques et la fraude en finance digitale,"Identifier, analyser et gérer les risques spécifiques (cybersécurité, conformité, opérationnel...) et prévenir les nouvelles formes de fraude liés aux services financiers digitaux (FinTech, paiements mobiles...).",2 semaines (env. 70-80h),"Expérience en gestion des risques, conformité, audit interne ou sécurité SI dans le secteur financier. Connaissance de la finance digitale est un plus.","Gestionnaires des risques (opérationnels, conformité, cyber), responsables conformité/LCB-FT, auditeurs internes/externes (secteur financier), responsables sécurité SI (RSSI), consultants GRC spécialisés finance digitale, régulateurs financiers.",Dans nos locaux / En ligne / Intra-entreprise,"Cartographie des risques spécifiques à la finance digitale (cyberattaques, fraude identité, risques liés aux API/partenaires...), techniques de prévention/détection de la fraude digitale, exigences de conformité (LCB-FT, protection données...), gestion de la continuité d'activité (BCM).","Supports de cours, typologies de risques/fraudes en finance digitale, outils d'analyse de risques/contrôle interne adaptés au digital, cadres réglementaires (LCB-FT, RGPD, DSP2...), normes de sécurité (PCI-DSS...), études de cas de risques/fraudes en finance digitale.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une cartographie des risques pour un service financier digital. Conception de contrôles clés pour prévenir la fraude ou assurer la conformité. Proposition d'un plan de gestion de crise cyber ou opérationnelle.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Développer des produits innovants en finance digitale,"Maîtriser les méthodologies (design thinking, agile...) et les technologies clés pour concevoir, développer et lancer des produits et services financiers digitaux innovants répondant aux nouveaux besoins clients.",2 semaines (env. 70-80h),"Expérience en gestion de produit, innovation, marketing ou développement dans le secteur financier ou technologique. Intérêt pour la FinTech et l'innovation.","Chefs de produit/innovation (banque, assurance, FinTech), Product Owners, responsables marketing digital financier, développeurs/architectes impliqués dans l'innovation produit, consultants en innovation financière/FinTech, intrapreneurs/entrepreneurs FinTech.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodes d'innovation (Design Thinking, Lean Startup, Agile/Scrum appliqué au produit), identification des besoins clients/marché, idéation et prototypage rapide, technologies clés (API, IA/ML bases, blockchain bases), business models FinTech, stratégie de lancement et de croissance (go-to-market).","Supports de cours, outils d'idéation/prototypage (Figma, Miro...), méthodologies agiles/Lean, études de cas de produits financiers digitaux innovants, analyse des tendances FinTech, plateformes technologiques (API bancaires - présentation).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un nouveau produit financier digital (de l'idée au prototype simple). Élaboration du business model et de la stratégie de lancement. Application d'une méthode agile pour gérer le développement du produit.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-004,"À partir de €6,899","Paris, Sud de la France, Dubaï","Fintech : fondements, enjeux et technologies","Comprendre les fondements de l'écosystème FinTech, les enjeux de la transformation digitale de la finance (disruption, collaboration...), et les technologies clés (IA, blockchain, API...) qui la façonnent.",2 semaines (env. 70-80h),Connaissance de base du secteur financier ou intérêt marqué pour la FinTech et les nouvelles technologies.,"Professionnels du secteur financier (tous métiers), consultants, régulateurs, investisseurs, entrepreneurs FinTech, étudiants en finance/technologie, journalistes économiques/financiers.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama FinTech (acteurs, segments: paiement, prêt, assurance, regtech...), impact digitalisation sur finance traditionnelle (banques vs FinTechs, partenariats), technologies clés (IA/ML finance, blockchain/crypto bases, API/Open Banking, Cloud...), enjeux réglementaires/cybersécurité.","Supports de cours, études de cas FinTech (startups, initiatives banques/assurances), présentation des technologies clés et applications financières, analyses tendances FinTech (CB Insights, KPMG...), articles de recherche/presse spécialisée FinTech.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de l'impact d'une FinTech ou d'une technologie sur un segment du marché financier. Identification des opportunités et menaces de la digitalisation pour un acteur financier traditionnel. Discussion sur les enjeux réglementaires et éthiques de la FinTech.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",La transformation digitale des services financiers,"Analyser la transformation digitale des services financiers, en particulier dans le domaine des paiements (évolution des usages, nouveaux acteurs, technologies émergentes, réglementation DSP2...).",2 semaines (env. 70-80h),"Expérience dans le secteur des paiements (banque, FinTech, commerçant) ou en transformation digitale.","Responsables paiements/monétique, chefs de projet transformation digitale (banque/finance), consultants FinTech/paiements, responsables innovation financière, cadres des autorités de régulation (paiements), professionnels du e-commerce.",Dans nos locaux / En ligne / Intra-entreprise,"Évolution des moyens de paiement (cartes, virements SEPA, instant payment, mobile...), acteurs de l'écosystème paiement (banques, schemes, FinTechs PSP/agrégateurs...), technologies clés (NFC, QR Code, API, blockchain...), réglementation (DSP2, Open Banking), nouveaux usages (paiement mobile/fractionné...).","Supports de cours, panorama des solutions de paiement numériques, réglementation DSP2 et Open Banking, études de cas d'innovation dans les paiements (Apple Pay, Lydia, wallets crypto...), analyse des modèles économiques des acteurs du paiement, présentation des standards (ISO 20022...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse comparative de différentes solutions de paiement numérique. Étude de l'impact de la DSP2 ou de l'Open Banking sur les acteurs financiers. Conception d'une stratégie de paiement innovante pour un commerçant ou une banque.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Blockchain et cryptomonnaies dans les services financiers,"Comprendre en profondeur la technologie blockchain, le fonctionnement des cryptomonnaies (Bitcoin, Ethereum...) et analyser leur impact potentiel/réel et applications (paiements, DeFi, NFT...) dans les services financiers.",2 semaines (env. 70-80h),Bonnes connaissances en informatique et/ou finance. Intérêt pour les technologies disruptives et les nouveaux actifs financiers.,"Professionnels de la finance/banque/assurance, investisseurs (institutionnels/particuliers), développeurs blockchain, consultants en transformation digitale/blockchain, régulateurs, juristes spécialisés crypto/blockchain.",Dans nos locaux / En ligne / Intra-entreprise,"Principes blockchain (décentralisation, cryptographie, consensus...), fonctionnement Bitcoin/Ethereum (minage, smart contracts...), panorama cryptomonnaies/tokens (stablecoins...), Finance Décentralisée (DeFi : lending, DEX...), NFTs, cas d'usage services financiers, enjeux (volatilité, réglementation, sécurité).","Supports de cours, plateformes d'exploration blockchain (présentation), wallets crypto (démonstration), analyse des marchés crypto (bases), exemples de protocoles DeFi/plateformes NFT, études de cas d'intégration blockchain par des acteurs financiers, articles recherche/presse spécialisée.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse d'un cas d'usage de la blockchain ou des cryptomonnaies dans les services financiers (ex: paiement transfrontalier, tokenisation d'actifs). Évaluation des opportunités et des risques de la DeFi. Discussion sur l'avenir réglementaire des crypto-actifs.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Fintech et Big Tech : tendances et état de l’art,"Analyser l'état de l'art et les tendances de l'écosystème FinTech et l'implication croissante des Big Tech (GAFAM, BATX...) dans les services financiers, et évaluer les impacts concurrentiels et stratégiques.",2 semaines (env. 70-80h),"Expérience en stratégie, finance, technologie ou régulation dans le secteur financier ou technologique.","Stratèges/analystes (banque, assurance, FinTech), consultants en stratégie/management (finance/tech), investisseurs (VC, private equity), régulateurs, chercheurs en finance/technologie.",Dans nos locaux / En ligne / Intra-entreprise,"Cartographie de l'écosystème FinTech actuel, stratégies des Big Tech en finance (paiement, crédit, assurance...), modèles de collaboration/concurrence (banques/FinTechs/Big Tech), technologies émergentes (IA avancée, quantique...), tendances réglementaires (suptech, regtech), prospective.","Supports de cours, rapports d'analyse sectoriels (FinTech, Big Tech in Finance), études de cas stratégiques (Apple Pay, Google Plex, Ant Group...), articles de recherche/presse spécialisée sur les tendances futures, analyses comparatives internationales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse stratégique de la position d'une Big Tech dans les services financiers. Évaluation de l'impact concurrentiel des FinTech/Big Tech sur les acteurs traditionnels. Identification des tendances technologiques/réglementaires clés qui façonneront la finance de demain.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Mettre en place un service financier mobile,"Maîtriser les étapes clés pour concevoir, développer, lancer et gérer un service financier mobile (paiement, crédit, épargne...) au sein d'une organisation (banque, MFI, opérateur télécom, FinTech...).",2 semaines (env. 70-80h),"Expérience en gestion de projet, développement de produit ou opérations dans le secteur financier ou télécom. Connaissance des technologies mobiles.","Chefs de projet/produit mobile finance, responsables innovation/digital (secteur financier/télécom), consultants en finance mobile/digitale, entrepreneurs lançant un service financier mobile.",Dans nos locaux / En ligne / Intra-entreprise,"Étude de marché et conception du service (UX mobile), choix de la plateforme technologique (USSD, application, API...), aspects réglementaires et de conformité, développement et tests, stratégie de déploiement et de marketing, gestion des opérations et du support client mobile.","Supports de cours, plateformes technologiques mobile finance (présentation), outils de conception UX/UI mobile (Figma...), cadres réglementaires spécifiques mobile finance, stratégies de marketing mobile, études de cas de lancement de services financiers mobiles.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception du parcours client et prototypage simple d'un service financier mobile. Élaboration d'un plan de lancement et de marketing pour le service. Identification des défis opérationnels et réglementaires.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gérer la croissance d’un réseau d’agents de proximité,"Maîtriser les stratégies et outils pour recruter, former, animer, superviser et gérer efficacement la croissance d'un réseau d'agents (mobile money, microfinance, distribution...) pour assurer la qualité et la performance.",2 semaines (env. 70-80h),"Expérience en gestion de réseau commercial/distribution, en management d'équipe terrain ou dans le secteur du mobile money/microfinance.","Responsables de réseau d'agents (mobile money, MFI...), superviseurs d'agents, responsables développement commercial/distribution, consultants en finance inclusive/réseaux d'agents.",Dans nos locaux / En ligne / Intra-entreprise,"Stratégies de recrutement et de sélection des agents, formation et renforcement des capacités des agents, modèle économique et rémunération des agents, supervision et contrôle qualité du réseau, animation et motivation des agents, gestion des risques liés au réseau, outils technologiques.","Supports de cours, guides sur la gestion des réseaux d'agents (CGAP, GSMA...), outils de formation/supervision des agents, modèles de contrats/rémunération agents, plateformes de gestion de réseau d'agents (présentation), études de cas de gestion de réseaux d'agents performants.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie de recrutement ou d'un plan de formation pour des agents. Conception d'un système de supervision et d'incitation pour un réseau d'agents. Analyse des risques et proposition de mesures de mitigation pour un réseau d'agents.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FDF-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Inclusion financière et paiements de masse (Mobile Money),"Analyser les enjeux de l'inclusion financière et comprendre comment les systèmes de paiement mobile de masse (Mobile Money) peuvent y contribuer (écosystème, technologie, réglementation, impacts).",2 semaines (env. 70-80h),"Intérêt pour le développement, la finance inclusive ou les technologies mobiles. Expérience en Afrique ou pays émergents est un plus.","Professionnels microfinance/finance inclusive, personnel opérateurs Mobile Money/télécoms, cadres banques centrales/régulateurs (inclusion financière, paiements), personnel ONG/bailleurs fonds (développement), chercheurs finance inclusive/mobile money.",Dans nos locaux / En ligne / Intra-entreprise,"Concepts inclusion financière, écosystème Mobile Money (opérateurs, agents, régulateurs...), technologie USSD/application, modèle économique, réglementation spécifique MM, impacts socio-économiques (réduction pauvreté, autonomisation femmes...), études de cas détaillées (M-Pesa...).","Supports de cours, guides finance inclusive/Mobile Money (CGAP, GSMA...), études cas pays (Kenya, Ghana...), analyses d'impact MM, cadres réglementaires MM, démonstration applications MM (si possible).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de l'écosystème Mobile Money d'un pays donné et de son impact sur l'inclusion financière. Identification des facteurs clés de succès et des défis du Mobile Money. Proposition de stratégies pour renforcer l'impact inclusif du Mobile Money.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
