ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
FP-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion intégrée des finances publiques et cartographie des risques dans le nouveau cadre harmonisé UEMOA – CEMAC,"Maîtriser les principes et outils de gestion des finances publiques (GFP) conformes aux directives UEMOA/CEMAC, et savoir identifier, analyser et cartographier les risques budgétaires et financiers.",2 semaines (env. 70-80h),Connaissance de base de la comptabilité publique ou de la gestion budgétaire. Expérience dans le secteur public souhaitée.,"Cadres des ministères des Finances, du Budget, du Plan, directions financières, contrôleurs financiers, auditeurs, inspecteurs des finances, personnel des institutions UEMOA/CEMAC.",Dans nos locaux / En ligne / Intra-entreprise,"Présentations interactives, études des directives, ateliers pratiques sur la cartographie des risques, analyse de cas.","Supports de cours (papier/numérique), directives UEMOA/CEMAC, outils de cartographie des risques, études de cas régionales, vidéoprojecteur, tableau blanc.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice de cartographie des risques sur un processus budgétaire, QCM sur les directives, participation active.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Réforme des finances publiques : stratégies et outils pour l’élaboration des CDMT et du budget programme,Comprendre les enjeux de la réforme des finances publiques axée sur les résultats et maîtriser les outils clés : Cadre de Dépenses à Moyen Terme (CDMT) et Budget Programme.,2 semaines (env. 70-80h),Connaissance des fondamentaux de la gestion budgétaire de l'État.,"Cadres des ministères des Finances, du Budget, du Plan, cadres des ministères sectoriels impliqués dans la budgétisation par programme, parlementaires et assistants.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation des concepts de la GAR, méthodologie d'élaboration du CDMT et du budget programme, ateliers pratiques.","Supports de cours, guides méthodologiques CDMT/Budget Programme, exemples de documents budgétaires (PAP, RAP), logiciels de simulation (si applicable).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Cas pratique d'élaboration d'une section de CDMT ou d'un programme budgétaire, QCM sur les concepts clés.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion budgétaire et financière des collectivités territoriales et des établissements publics nationaux,"Maîtriser les spécificités de la gestion budgétaire, comptable et financière des collectivités locales et des EPN (ressources, dépenses, contrôle, trésorerie).",2 semaines (env. 70-80h),Connaissance de base en comptabilité et/ou finances publiques.,"Agents et cadres financiers des collectivités locales, directeurs administratifs et financiers des EPN, contrôleurs financiers déconcentrés, agents du Trésor Public, auditeurs spécialisés.",Dans nos locaux / En ligne / Intra-entreprise,"Exposés théoriques sur les cadres réglementaires spécifiques, études de cas pratiques (budget local, compte financier EPN).","Supports de cours, plans comptables spécifiques (M14, M31...), textes réglementaires (Code Général des Collectivités...), exemples de budgets et comptes.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse d'un compte administratif ou d'un budget primitif, étude de cas sur une problématique financière locale/EPN.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Contrôle de gestion et pilotage de la performance dans le secteur public : démarches et résultats attendus,"Comprendre le rôle et les outils du contrôle de gestion dans le secteur public pour améliorer le pilotage de la performance (tableaux de bord, indicateurs, calcul des coûts).",2 semaines (env. 70-80h),Connaissance de l'organisation administrative et/ou notions de gestion.,"Contrôleurs de gestion du secteur public, responsables de programmes, managers publics, auditeurs internes, consultants en organisation et performance.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation des concepts et méthodes, conception de tableaux de bord, ateliers sur le choix des indicateurs, retours d'expérience.","Supports de cours, modèles de tableaux de bord, exemples d'indicateurs de performance publique, études de cas de mise en œuvre.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Conception d'un tableau de bord pour une entité publique fictive, analyse critique d'un système de pilotage existant.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Évaluation économique des politiques publiques et des entités publiques : méthodes et cas d’application,"Maîtriser les méthodes (expérimentales, quasi-expérimentales, qualitatives) et outils d'évaluation des politiques publiques et de la performance des organismes, avec focus économique.",2 semaines (env. 70-80h),"Connaissances en économie, statistiques ou gestion publique. Compréhension du cycle des politiques publiques.","Évaluateurs, chargés d'études et de prospective, planificateurs, auditeurs de performance (Cour des Comptes, IGF), cadres des ministères sectoriels, consultants en évaluation.",Dans nos locaux / En ligne / Intra-entreprise,"Cours méthodologiques, analyse d'évaluations réelles, ateliers sur le design d'évaluation, études de cas économiques.","Supports de cours, articles de recherche en évaluation, guides méthodologiques, bases de données (si pertinent), logiciels statistiques (initiation).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'un protocole d'évaluation pour une politique donnée, analyse critique d'un rapport d'évaluation.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-006,"À partir de €6,899","Paris, Sud de la France, Dubaï","Programmation financière et budgétaire dans une logique de résultats : TOFE, CDMT, budget de l’État","Comprendre l'articulation et savoir utiliser les principaux outils de programmation financière (TOFE, CDMT, Budget) dans une perspective de gestion axée sur les résultats (GAR).",2 semaines (env. 70-80h),Connaissance de base de la macroéconomie et des finances publiques. Maîtrise d'Excel utile.,"Cadres des directions de la prévision, du budget, de la programmation économique, économistes des ministères financiers, analystes des banques centrales ou institutions financières.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation des cadres conceptuels, démonstration des outils et de leur lien, exercices pratiques de cohérence macro-budgétaire.","Supports de cours, modèles Excel (TOFE simplifié, projection CDMT), manuels FMI/BM sur la programmation financière, données macroéconomiques et budgétaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice de construction ou d'analyse d'un TOFE ou d'un CDMT simplifié, QCM sur les liens entre les outils.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Stratégies de planification et programmation des investissements publics : PIP et cadre budgétaire programme,"Maîtriser le processus de planification stratégique, l'élaboration et la gestion du Programme d'Investissement Public (PIP) et son articulation avec les budgets programmes.",2 semaines (env. 70-80h),Connaissance de la gestion de projet ou de la planification économique/sectorielle.,"Cadres des ministères du Plan, de l'Économie, des Finances, responsables de la planification et programmation dans les ministères sectoriels, gestionnaires de projets d'investissement public.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie de planification, techniques de priorisation des investissements, lien PIP-Budget Programme, études de cas.","Supports de cours, guides de planification stratégique et de gestion des investissements publics, modèles de fiches projet PIP, exemples de budgets programmes.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Cas pratique de priorisation de projets d'investissement ou d'intégration d'un projet dans un budget programme.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Budgétisation pluriannuelle : cadrage global et planification des dépenses publiques,"Maîtriser les outils de la budgétisation pluriannuelle : Document de Programmation Pluriannuelle des Dépenses (DPPD), Projet Annuel de Performance (PAP), Plan de Travail Budgétaire Annuel (PTBA).",2 semaines (env. 70-80h),Connaissance du processus budgétaire annuel et du budget programme.,"Cadres des directions du Budget, des ministères sectoriels responsables de la préparation des PAP et PTBA, contrôleurs budgétaires.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation détaillée des outils et de leur articulation, ateliers pratiques de remplissage et d'analyse (DPPD, PAP, PTBA).","Supports de cours, modèles et canevas officiels des documents (DPPD, PAP, PTBA), guides d'élaboration, exemples commentés.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice pratique d'élaboration d'une section de PAP ou d'analyse de cohérence entre DPPD et PAP, QCM.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gouvernance des finances publiques : audits stratégiques et évaluation via la méthode PEFA,Comprendre les principes de bonne gouvernance financière et maîtriser la méthodologie PEFA (Public Expenditure and Financial Accountability) pour évaluer la performance des systèmes de GFP.,2 semaines (env. 70-80h),Bonne connaissance de la gestion des finances publiques. Expérience en audit ou contrôle est un plus.,"Cadres des Ministères des Finances/Budget, auditeurs (Cour des Comptes, IGF), personnel des cellules PEFA, experts des bailleurs de fonds, consultants en finances publiques, société civile.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation du cadre PEFA 2016, analyse détaillée des indicateurs et dimensions, méthodologie de notation, utilisation des rapports PEFA.","Supports de cours, Cadre PEFA officiel et manuel de notation, rapports PEFA de différents pays, études de cas d'application.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Exercice de notation d'indicateurs PEFA sur la base d'informations fournies, analyse d'un rapport PEFA.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
FP-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit interne et contrôle de gestion des services publics,"Distinguer et appliquer les approches et outils du contrôle de gestion (pilotage performance) et de l'audit interne/externe (conformité, régularité, performance) dans les services publics.",2 semaines (env. 70-80h),Connaissance de l'organisation administrative et/ou bases en gestion/audit.,"Contrôleurs de gestion, auditeurs internes/externes du secteur public, inspecteurs, managers publics, responsables qualité, consultants.",Dans nos locaux / En ligne / Intra-entreprise,"Clarification des concepts, présentation croisée des méthodologies, études de cas combinant contrôle et audit.","Supports de cours, normes d'audit (INTOSAI, IIA), référentiels de contrôle interne (COSO), exemples de chartes d'audit et de manuels de contrôle de gestion.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Mise en situation : élaboration d'un plan d'audit ou d'un tableau de bord de contrôle de gestion pour un service public.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
