ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
GEDD-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Intégration du genre dans la gestion stratégique des projets et programmes de développement,"Maîtriser les concepts et outils pour intégrer systématiquement la dimension genre tout au long du cycle de projet/programme (analyse, planification, mise en œuvre, S&E) afin de promouvoir l'égalité et l'équité.",2 semaines (env. 70-80h),Expérience en gestion de projet/programme de développement. Sensibilité aux questions sociales et de genre.,"Chefs de projet/programme, spécialistes genre, responsables S&E, personnel d'ONG, consultants, agents des ministères sectoriels (social, planification...).",Dans nos locaux / En ligne / Intra-entreprise,"Présentation des concepts (genre, égalité, équité), outils d'analyse genre, intégration du genre dans le cadre logique/S&E, études de cas, partage de bonnes pratiques.","Supports de cours, guides d'intégration du genre (PNUD, ONU Femmes...), outils d'analyse genre, exemples de projets sensibles au genre, directives des bailleurs sur le genre.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse genre d'un projet existant ou proposition d'actions pour intégrer le genre dans un nouveau projet. QCM sur les concepts clés.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion environnementale : techniques de réduction des déchets et d’optimisation des coûts de production,"Identifier les sources de déchets en entreprise, maîtriser les techniques de prévention et de réduction à la source, et évaluer les bénéfices économiques associés (réduction des coûts).",2 semaines (env. 70-80h),Connaissance du fonctionnement de l'entreprise (idéalement processus de production). Notions environnementales de base.,"Responsables environnement/production/maintenance, ingénieurs process, consultants en environnement/performance industrielle, gestionnaires de PME/PMI.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic des flux de matières et déchets, présentation des techniques de réduction (éco-conception, optimisation process, 3R), analyse coûts-bénéfices, études de cas industriels.","Supports de cours, outils de diagnostic (bilan matière...), fiches techniques sur les méthodes de réduction, exemples de calculs de rentabilité, normes/réglementations sur les déchets.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan d'action simplifié de réduction des déchets pour une entreprise type. Analyse coûts-bénéfices d'une action de réduction.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Politiques de sauvegarde environnementale et sociale : normes de la Banque mondiale et exigences internationales,Comprendre et savoir appliquer le Cadre Environnemental et Social (CES) et les Normes Environnementales et Sociales (NES) de la Banque Mondiale dans la préparation et la mise en œuvre des projets financés.,2 semaines (env. 70-80h),Connaissance de base de l'évaluation environnementale et sociale et/ou de la gestion de projet. Expérience avec des projets BM est un plus.,"Spécialistes environnementaux et sociaux des UGP, consultants E&S, personnel des agences d'exécution, cadres des ministères impliqués dans les projets BM, personnel des institutions financières nationales.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation détaillée du CES et de chaque NES, analyse des exigences, processus d'évaluation E&S selon la BM, élaboration des instruments de sauvegarde (EIES, PAR, PGES, MGP...), consultation des parties prenantes.","Supports de cours, Cadre Environnemental et Social (CES) et Normes Environnementales et Sociales (NES) de la BM, notes d'orientation, modèles d'instruments de sauvegarde, études de cas projet BM.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de conformité d'un projet (fictif ou réel) aux NES pertinentes. Exercice d'identification des instruments de sauvegarde requis pour un projet.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Énergies renouvelables et efficacité énergétique : élaboration de stratégies durables,Maîtriser les enjeux et potentiels des énergies renouvelables (EnR) et de l'efficacité énergétique (EE) pour élaborer des stratégies intégrées visant un développement énergétique durable.,2 semaines (env. 70-80h),Connaissances de base sur l'énergie et/ou le développement durable.,"Cadres des ministères de l'énergie/environnement/planification, gestionnaires de programmes énergie, consultants en énergie/climat, responsables DD/RSE en entreprise, chercheurs.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama des technologies EnR et EE, analyse de potentiel, outils de planification énergétique, aspects économiques et financiers, cadre politique et réglementaire, intégration EnR/EE dans les stratégies nationales/locales.","Supports de cours, données énergétiques et potentiel EnR (exemples), outils de modélisation énergétique (présentation), exemples de stratégies nationales/sectorielles EnR/EE, études de cas technico-économiques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une ébauche de stratégie EnR/EE pour un secteur ou une région donnée. Analyse comparative de différentes options technologiques ou politiques.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion environnementale : solutions de décontamination et traitement des déchets,"Comprendre les problématiques de contamination (sols, eau) et maîtriser les techniques de diagnostic, de traitement/décontamination et les filières de gestion durable des différents types de déchets.",2 semaines (env. 70-80h),"Connaissances de base en chimie, biologie ou sciences de l'environnement.","Ingénieurs et techniciens en environnement, responsables de sites industriels/décharges, consultants en sites et sols pollués/gestion des déchets, agents des agences environnementales.",Dans nos locaux / En ligne / Intra-entreprise,"Caractérisation des pollutions et des déchets, techniques de traitement (physico-chimique, biologique...), filières de valorisation (recyclage, compostage, méthanisation, valorisation énergétique), stockage sécurisé.","Supports de cours, fiches techniques sur les procédés de traitement/valorisation, normes et réglementations (déchets, sites pollués), études de cas de décontamination/gestion de déchets.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Proposition d'une filière de gestion pour un type de déchet spécifique ou d'une stratégie de décontamination pour un site pollué (simplifié).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Plan de Gestion Environnementale et Sociale (PGES) pour une gestion efficace des chantiers,Savoir élaborer et mettre en œuvre un Plan de Gestion Environnementale et Sociale (PGES) opérationnel et efficace pour maîtriser les impacts E&S d'un chantier de construction ou de travaux publics.,2 semaines (env. 70-80h),Connaissance de base de la gestion de projet et/ou des enjeux environnementaux et sociaux des chantiers.,"Conducteurs de travaux, ingénieurs HSE/environnement sur chantier, responsables E&S des entreprises de BTP, consultants EIES/PGES, personnel des agences d'exécution supervisant les chantiers.",Dans nos locaux / En ligne / Intra-entreprise,"Structure et contenu type d'un PGES, identification des impacts spécifiques au chantier (poussières, bruit, déchets, sécurité, relations communautaires...), mesures de mitigation et de suivi, rôles et responsabilités.","Supports de cours, modèles de PGES, guides de bonnes pratiques environnementales et sociales sur les chantiers, exemples de fiches de suivi E&S, réglementation HSE applicable aux chantiers.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration de sections clés d'un PGES pour un chantier type (ex: gestion des déchets de chantier, plan de gestion du bruit). Simulation de suivi d'une mesure du PGES.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Plan de gestion des déchets : outils pour une maîtrise optimale des flux et impacts,"Savoir élaborer et mettre en œuvre un Plan de Gestion des Déchets (PGD) pour une entité (entreprise, collectivité, projet) visant la prévention, la collecte sélective, la valorisation et l'élimination sécurisée.",2 semaines (env. 70-80h),Connaissance des bases de la gestion environnementale ou de la gestion des déchets.,"Responsables environnement/HSE en entreprise, agents des services techniques des collectivités, consultants en gestion des déchets, gestionnaires de projets générant des déchets spécifiques.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic quantitatif et qualitatif des déchets, objectifs de réduction/valorisation, définition des filières de collecte et traitement, élaboration du plan d'action, suivi et indicateurs du PGD.","Supports de cours, méthodologie d'élaboration de PGD, outils de diagnostic déchets, fiches techniques sur les filières de valorisation, réglementation déchets, exemples de PGD réussis.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un PGD simplifié pour une petite entreprise ou un service municipal. Définition d'indicateurs de suivi pertinents.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Énergies renouvelables et durabilité : perspectives pour les pays en développement,"Analyser les opportunités et défis spécifiques des énergies renouvelables (EnR) dans le contexte des pays en développement pour contribuer à l'accès à l'énergie, la réduction de la pauvreté et la lutte contre le changement climatique.",2 semaines (env. 70-80h),"Connaissances de base sur l'énergie, le développement et/ou l'environnement.","Cadres des ministères (énergie, environnement, planification), personnel des agences de développement/ONG, consultants, chercheurs, investisseurs intéressés par les EnR dans les PVD.",Dans nos locaux / En ligne / Intra-entreprise,"Potentiel EnR dans les PVD (solaire, hydro, biomasse...), technologies adaptées (off-grid, mini-grids), modèles économiques et financement, politiques de soutien, impacts socio-économiques et environnementaux.","Supports de cours, données sur l'accès à l'énergie et le potentiel EnR dans les PVD, études de cas de projets EnR réussis (ou non), analyses de politiques énergétiques spécifiques aux PVD.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des facteurs clés de succès pour un projet EnR dans un contexte PVD donné. Proposition d'éléments de politique de soutien aux EnR.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion intégrée des risques environnementaux et sociaux dans les projets,"Maîtriser les méthodes d'identification, d'analyse, d'évaluation et de traitement des risques environnementaux et sociaux (E&S) liés aux activités d'une organisation ou d'un projet.",2 semaines (env. 70-80h),"Connaissance de base en gestion de projet, environnement ou sciences sociales. Expérience en analyse de risques est un plus.","Responsables environnement/HSE/RSE, gestionnaires de risques, auditeurs internes, consultants E&S, spécialistes des sauvegardes E&S, personnel des institutions financières (analyse de risques E&S).",Dans nos locaux / En ligne / Intra-entreprise,"Cadre conceptuel de la gestion des risques E&S, méthodologies d'identification (check-lists, brainstorming...), analyse (causes, conséquences), évaluation (probabilité, gravité), stratégies de traitement (éviter, réduire, transférer, accepter).","Supports de cours, normes de gestion des risques (ISO 31000 adaptée), outils d'analyse de risques (AMDEC simplifiée...), matrices de criticité, exemples de plans de gestion des risques E&S.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une cartographie simplifiée des risques E&S pour une activité donnée. Proposition de mesures de traitement pour un risque E&S majeur.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
GEDD-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Méthodes et outils pour la réduction de la consommation des ressources naturelles,"Identifier les consommations de ressources naturelles (eau, énergie, matières premières) et maîtriser les méthodes et outils pour les réduire de manière significative et rentable.",2 semaines (env. 70-80h),Connaissance du fonctionnement de l'entreprise ou des processus industriels. Notions environnementales.,"Responsables environnement/production/maintenance, ingénieurs process, consultants en environnement/performance, gestionnaires de sites.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic des consommations (bilans eau, énergie, matière), techniques d'optimisation (efficacité énergétique, économie d'eau, substitution de matières...), analyse économique des actions de réduction.","Supports de cours, outils de diagnostic (bilans...), fiches techniques sur les méthodes d'économie de ressources, exemples de calculs de rentabilité, normes/labels liés à l'éco-efficacité.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan d'action simplifié de réduction de la consommation d'une ressource (eau ou énergie) pour une entreprise type.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
