ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
HST-001,"À partir de €6,899","Paris, Sud de la France, Dubaï","Certificat Professionnel en Hygiène, Sécurité, Environnement (HSE)","Acquérir une expertise certifiée en management intégré HSE, couvrant l'analyse des risques, la conformité réglementaire, les systèmes de management (ISO 14001/45001), la prévention et la culture HSE.",2 semaines (env. 70-80h),"Formation supérieure (Bac+3/4) technique, scientifique ou en management, ou expérience professionnelle significative en HSE ou domaines liés (Qualité, Production...).","Responsables/Ingénieurs/Coordonnateurs HSE, préventeurs de risques professionnels, responsables qualité/production souhaitant intégrer HSE, consultants HSE, futurs managers HSE, membres de CSE/CSSCT avec rôle HSE.",Variable (voir programme),"Cadre réglementaire HSE, analyse des risques professionnels (EvRP) et environnementaux (AE), systèmes de management ISO 14001/45001, gestion des situations d'urgence, communication et animation de la culture HSE, indicateurs de performance HSE, études de cas BEM/KEDGE, projet HSE.","Supports de cours BEM/KEDGE, accès plateforme, normes ISO 14001/45001 (présentation), outils d'analyse de risques, guides réglementaires HSE, études de cas HSE complexes, plateforme d'échange, témoignages d'experts/praticiens HSE.",Selon calendrier du certificat,Présentiel / Hybride (à confirmer),"Examen final écrit/oral, soutenance d'un projet professionnel HSE sur une problématique réelle ou simulée. Possible contrôle continu. Validation conjointe BEM/KEDGE.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtriser la réglementation en santé et sécurité au travail,Acquérir une connaissance approfondie et actualisée de la réglementation en matière de Santé et Sécurité au Travail (SST) pour assurer la conformité de l'entreprise et prévenir les risques juridiques.,2 semaines (env. 70-80h),"Expérience en GRH, HSE, droit social ou management.","Responsables RH/HSE/SST, juristes d'entreprise/droit social, préventeurs, membres du CSE/CSSCT, inspecteurs du travail, avocats en droit social, consultants HSE/RH.",Dans nos locaux / En ligne / Intra-entreprise,"Principes généraux de prévention (Loi), obligations de l'employeur en SST, rôle des institutions (Inspection du travail, CARSAT/CRAMIF, Médecine du travail), évaluation des risques professionnels (Document Unique), gestion des AT/MP, faute inexcusable, réglementation spécifique (risques chimiques...).","Supports de cours, Code du travail (parties SST), jurisprudence clé en SST, guides pratiques INRS/Ministère du Travail, décrets et arrêtés importants, exemples de Document Unique d'Évaluation des Risques Professionnels (DUERP).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,QCM sur la réglementation SST. Analyse de la conformité d'une situation d'entreprise à la réglementation SST. Identification des obligations de l'employeur dans un cas pratique d'accident du travail ou de maladie professionnelle.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prévention des addictions et des risques psychosociaux,"Comprendre les enjeux des pratiques addictives (alcool, drogues, écrans...) et des risques psychosociaux (RPS : stress, harcèlement...) en milieu professionnel, et maîtriser les principes de prévention primaire, secondaire et tertiaire.",2 semaines (env. 70-80h),"Expérience en GRH, HSE, management ou médecine du travail. Sensibilité aux questions de santé mentale et de bien-être au travail.","Responsables RH/HSE/SST/QVT (Qualité de Vie au Travail), médecins du travail, psychologues du travail, préventeurs, managers, membres du CSE/CSSCT, assistantes sociales du travail, consultants QVT/RPS.",Dans nos locaux / En ligne / Intra-entreprise,"Définition et identification des pratiques addictives/RPS, cadre légal et responsabilités de l'employeur, démarche d'évaluation des risques (addictions, RPS), actions de prévention collective (organisation travail, management...), accompagnement individuel, rôle des acteurs internes/externes.","Supports de cours, guides méthodologiques INRS/ANACT sur les addictions/RPS, outils de diagnostic (questionnaires...), exemples de plans de prévention addictions/RPS, cadre légal (obligation de sécurité), bonnes pratiques d'entreprises.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une situation de travail et identification des facteurs de risques (addictions/RPS). Élaboration d'une démarche de prévention ou d'un plan d'action sur les addictions ou les RPS pour une entreprise/service. Simulation d'entretien avec un salarié en difficulté.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Évaluation et gestion des risques professionnels,"Maîtriser les différentes méthodes (qualitatives, quantitatives) et les supports (Document Unique - DUERP, grille d'analyse...) pour évaluer les risques professionnels, les hiérarchiser et définir un plan d'action de prévention.",2 semaines (env. 70-80h),Connaissance des bases de la prévention des risques professionnels ou expérience en HSE/SST.,"Préventeurs, responsables/techniciens HSE/SST, animateurs sécurité, membres du CSE/CSSCT, consultants HSE/SST, managers impliqués dans l'évaluation des risques de leur équipe.",Dans nos locaux / En ligne / Intra-entreprise,"Principes généraux de l'évaluation des risques (EvRP), méthodologies d'identification des dangers et d'analyse des risques (arbre des causes, 5 pourquoi, AMDEC bases...), cotation et hiérarchisation des risques, élaboration et mise à jour du Document Unique (DUERP), plan d'action prévention.","Supports de cours, guides méthodologiques EvRP (INRS...), outils d'analyse de risques (grilles, matrices...), modèles de Document Unique (DUERP), exemples de plans d'action prévention, logiciels d'EvRP (présentation), études de cas d'évaluation des risques par secteur/métier.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une évaluation des risques professionnels (EvRP) simplifiée pour un poste de travail ou une activité donnée. Élaboration d'une section du Document Unique et d'un plan d'action associé.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",ISO 45001 v.2018 : management de la santé et sécurité,"Comprendre en détail les exigences de la norme ISO 45001:2018 et savoir mettre en place ou faire évoluer un Système de Management de la SST conforme, en intégrant la participation des travailleurs.",2 semaines (env. 70-80h),Connaissance des bases du management SST (OHSAS 18001 est un plus) ou du management de la qualité/environnement.,"Responsables/Ingénieurs HSE/SST, préventeurs, qualiticiens, auditeurs internes SST, consultants SST, managers impliqués dans la démarche SST, membres du CSE/CSSCT (rôle renforcé).",Dans nos locaux / En ligne / Intra-entreprise,"Structure HLS et exigences clés ISO 45001 (contexte, leadership/participation travailleurs, planification risques/opportunités SST, support, réalisation opérations, évaluation performance, amélioration), comparaison OHSAS 18001 / ISO 45001, mise en œuvre pratique.","Supports de cours, Norme ISO 45001:2018 (accès/présentation), guides d'implémentation ISO 45001, outils d'analyse de contexte/risques SST, exemples de documentation SMSST conforme ISO 45001 (procédures, indicateurs...), études de cas de migration/mise en place ISO 45001.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,QCM sur les exigences ISO 45001. Étude de cas de mise en conformité d'un processus/documentation à ISO 45001. Élaboration d'une politique SST ou d'un plan d'action intégrant la participation des travailleurs.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prévention des risques : hygiène et sécurité au travail,"Acquérir les connaissances fondamentales en matière d'hygiène industrielle et de sécurité au travail pour identifier les principaux risques (chimiques, physiques, biologiques, ergonomiques...) et mettre en œuvre les mesures de prévention de base.",2 semaines (env. 70-80h),Intérêt pour la santé et la sécurité au travail. Aucune connaissance technique préalable requise.,"Personnel non spécialiste HSE (managers de proximité, employés, membres CSE/CSSCT débutants), assistants de prévention, correspondants sécurité.",Dans nos locaux / En ligne / Intra-entreprise,"Principes généraux de prévention, identification des principaux risques (bruit, produits chimiques, TMS, chutes...), notions d'hygiène industrielle (ventilation, exposition...), équipements de protection individuelle (EPI) et collective (EPC), signalisation sécurité, ergonomie du poste de travail (bases).","Supports de cours didactiques, guides INRS sur les risques principaux, fiches de données de sécurité (FDS - lecture), exemples d'EPI/EPC, pictogrammes de sécurité, principes d'ergonomie, vidéos de sensibilisation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification des risques sur des postes de travail (photos/vidéos). Proposition de mesures de prévention simples pour des risques donnés. QCM sur les principes de base et la signalisation. Choix d'EPI adaptés à une situation.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Prévenir la somnolence et l'inattention au volant,Sensibiliser les conducteurs aux risques liés à la somnolence et à l'inattention au volant lors des trajets professionnels et leur fournir des stratégies pratiques de prévention et de gestion.,2 semaines (env. 70-80h),Être conducteur régulier dans le cadre professionnel.,"Chauffeurs professionnels, commerciaux itinérants, techniciens itinérants, et tout salarié effectuant des déplacements routiers professionnels fréquents ou longs.",Dans nos locaux / En ligne / Intra-entreprise,"Mécanismes du sommeil et de la vigilance, facteurs de risque de somnolence (dette sommeil, horaires...), signes précurseurs, sources de distraction/inattention (téléphone, GPS...), stratégies de prévention (hygiène sommeil, pauses...), gestion de la somnolence/inattention en conduite.","Supports de cours, vidéos de sensibilisation (témoignages, simulations), tests interactifs (vigilance, distraction), conseils pratiques hygiène de vie/sommeil, applications mobiles d'aide à la vigilance (présentation), réglementation temps de conduite/repos (si pertinent).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Auto-évaluation de ses propres risques de somnolence/inattention. Élaboration d'un plan d'action personnel de prévention. QCM sur les facteurs de risque et les stratégies de prévention. Partage de bonnes pratiques.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Former les managers aux enjeux de la santé-sécurité,"Doter les futurs managers (étudiants, jeunes cadres) des connaissances et compétences de base en SST pour qu'ils intègrent la prévention des risques et le bien-être dans leurs futures pratiques managériales.",2 semaines (env. 70-80h),Être étudiant en management/ingénierie ou jeune manager/cadre débutant.,"Étudiants en écoles de management/ingénieurs, jeunes managers, cadres débutants, tuteurs accompagnant des jeunes managers.",En Ecole / Université / Intra-entreprise,"Enjeux humains/économiques/juridiques de la SST, rôle et responsabilités du manager en SST, principes généraux de prévention, intégration de la SST dans le management quotidien (objectifs, évaluation, communication...), principaux risques (RPS, TMS...), dialogue social SST (bases).","Supports de cours adaptés (pédagogiques), études de cas managériales intégrant la SST, vidéos de sensibilisation, témoignages de managers/préventeurs, jeux de rôles sur des situations managériales SST, guides pour les managers.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une situation managériale sous l'angle SST. Proposition d'actions managériales pour intégrer la SST dans la gestion d'une équipe. QCM sur les responsabilités du manager et les principes de prévention.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-009,"À partir de €6,899","Paris, Sud de la France, Dubaï","Management de la qualité, hygiène, sécurité, environnement (QHSE)","Maîtriser les principes et outils du management intégré QHSE : mise en place d'un système cohérent basé sur les normes ISO 9001, ISO 14001 et ISO 45001, pilotage par les risques et l'amélioration continue.",2 semaines (env. 70-80h),"Expérience en Qualité, HSE ou management. Connaissance d'au moins un des référentiels (ISO 9001, 14001, 45001).","Responsables/Ingénieurs/Coordonnateurs QHSE, responsables Qualité/HSE souhaitant évoluer vers l'intégré, consultants QHSE, auditeurs internes/externes QHSE.",Dans nos locaux / En ligne / Intra-entreprise,"Principes du management intégré QHSE, structure HLS commune aux normes, approche processus et approche par les risques intégrée, élaboration de la documentation intégrée, conduite d'audits intégrés QHSE, pilotage de la performance QHSE (indicateurs, revue de direction).","Supports de cours, Normes ISO 9001, 14001, 45001 (accès/présentation), guides sur les systèmes de management intégrés (SMI), outils d'analyse des risques intégrés, exemples de documentation/tableaux de bord intégrés, études de cas d'implémentation SMI QHSE.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une cartographie des processus et des risques QHSE. Conception d'une procédure ou d'un tableau de bord intégré QHSE. Préparation d'un plan d'audit interne intégré.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
HST-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion pratique des accidents et maladies professionnelles,"Maîtriser les procédures administratives, juridiques et préventives liées à la gestion des Accidents du Travail (AT) et des Maladies Professionnelles (MP) : déclaration, reconnaissance, indemnisation, prévention.",2 semaines (env. 70-80h),"Expérience en GRH, HSE ou relations sociales. Connaissance de base de la réglementation AT/MP.","Responsables RH/HSE/SST, gestionnaires AT/MP, préventeurs, membres du CSE/CSSCT, assistantes sociales, juristes en droit social, personnel des services de santé au travail.",Dans nos locaux / En ligne / Intra-entreprise,"Définition et procédure de déclaration AT/MP, processus de reconnaissance par les organismes sociaux, calcul des indemnisations (IJSS, rente...), faute inexcusable de l'employeur, analyse des AT/MP (arbre des causes) et actions de prévention, tarification AT/MP (bases).","Supports de cours, formulaires de déclaration AT/MP, code de la sécurité sociale (parties AT/MP), tableaux des maladies professionnelles, méthodes d'analyse des accidents (arbre des causes...), jurisprudence faute inexcusable, informations sur la tarification AT/MP.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Gestion administrative complète d'un dossier AT ou MP (de la déclaration au suivi). Analyse d'un accident du travail avec la méthode de l'arbre des causes. Proposition d'actions de prévention suite à une analyse AT/MP.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
