ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
IA-001,"À partir de €7,899","Paris, Sud de la France, Dubaï",IA pour la prise de décision stratégique,"Comprendre comment l'IA peut être exploitée pour éclairer la prise de décision stratégique (analyse de marché, prévision, allocation de ressources...) et identifier les opportunités d'IA pour son entreprise.",2 semaines (env. 70-80h),"Expérience en management, stratégie ou analyse business. Connaissance des bases de l'IA/Data Science est un plus mais non obligatoire.","Dirigeants d'entreprise, cadres supérieurs, responsables stratégie/planification, consultants en stratégie/management, responsables innovation, managers souhaitant intégrer l'IA dans leur prise de décision.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama des applications IA pour la stratégie (veille concurrentielle augmentée, analyse prédictive marché, optimisation allocation ressources...), identification des cas d'usage IA à valeur ajoutée, évaluation de la faisabilité/ROI, aspects éthiques et managériaux de l'IA stratégique.","Supports de cours (orientés business), études de cas d'utilisation stratégique de l'IA dans différents secteurs, outils d'analyse stratégique intégrant l'IA (présentation), méthodologies d'identification de cas d'usage IA, discussions sur les implications managériales et éthiques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification et priorisation de cas d'usage IA potentiels pour une entreprise donnée. Élaboration d'une note d'opportunité pour un projet d'IA stratégique. Analyse critique des bénéfices et des risques d'une décision basée sur l'IA.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-002,"À partir de €7,899","Paris, Sud de la France, Dubaï","Automatisation des processus par l'IA (RPA, Chatbots)","Maîtriser les concepts et outils de l'automatisation des processus métiers grâce à l'IA, notamment la Robotic Process Automation (RPA) et les agents conversationnels (Chatbots, Voicebots).",2 semaines (env. 70-80h),Connaissance des processus métiers et/ou expérience en gestion de projet/amélioration continue. Intérêt pour l'automatisation et l'IA.,"Responsables amélioration continue/processus métiers, chefs de projet automatisation/RPA/chatbot, consultants en transformation digitale/automatisation, managers opérationnels souhaitant automatiser des tâches.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de l'automatisation intelligente, technologies RPA (UiPath, Blue Prism - présentation), conception et déploiement de robots logiciels (simples), technologies Chatbot/NLP (Dialogflow...), conception de scénarios conversationnels, intégration RPA/Chatbot/IA.","Supports de cours, plateformes RPA/Chatbot (présentation/démonstration/initiation pratique), outils de modélisation de processus (BPMN), études de cas d'automatisation réussie (RPA, chatbots), bonnes pratiques de déploiement.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification et qualification de processus candidats à l'automatisation (RPA/Chatbot). Conception d'un scénario conversationnel pour un chatbot simple. Modélisation d'un processus automatisé simple avec un outil RPA (initiation).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-003,"À partir de €7,899","Paris, Sud de la France, Dubaï",Modélisation et analyse prédictive avec l'IA,"Maîtriser les techniques de modélisation prédictive basées sur l'IA/ML (régression, classification, séries temporelles...) pour anticiper les tendances, les comportements clients ou les risques.",2 semaines (env. 70-80h),Solides bases en statistiques et/ou Machine Learning. Compétences en programmation (Python/R).,"Data analysts, data scientists, actuaires, analystes risques, prévisionnistes, consultants en data science/analytique prédictive.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie de modélisation prédictive, prétraitement des données (feature engineering - bases), algorithmes de régression/classification (linéaire, logistique, arbres, forêts aléatoires, SVM, réseaux neurones...), modélisation de séries temporelles (ARIMA, Prophet...), évaluation modèles.","Supports de cours, environnement Python/R avec bibliothèques ML (scikit-learn, statsmodels, Prophet...), datasets pour exercices prédictifs, techniques d'évaluation de modèles (cross-validation, métriques...), études de cas prédictifs (churn, ventes, fraude...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Développement et évaluation de modèles prédictifs (régression ou classification) sur un jeu de données. Mise en œuvre d'un modèle simple de prévision de séries temporelles. Interprétation des résultats et communication des prédictions.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-004,"À partir de €7,899","Paris, Sud de la France, Dubaï",Éthique et réglementation de l'intelligence artificielle,"Comprendre les enjeux éthiques (biais, transparence, responsabilité...) et le cadre réglementaire émergent (AI Act EU...) liés au développement et à l'utilisation de l'Intelligence Artificielle.",2 semaines (env. 70-80h),Intérêt pour les enjeux sociétaux de l'IA. Aucune connaissance technique approfondie de l'IA requise.,"Développeurs IA, data scientists, chefs de projet IA, juristes spécialisés tech/données, responsables éthique/conformité/RSE, décideurs publics, chercheurs en sciences sociales/éthique de l'IA.",Dans nos locaux / En ligne / Intra-entreprise,"Principes éthiques de l'IA (équité, transparence, explicabilité, robustesse...), identification et mitigation des biais algorithmiques, cadre réglementaire international/européen (AI Act...), responsabilité légale des systèmes IA, gouvernance de l'IA en entreprise, impact sociétal.","Supports de cours, textes réglementaires clés (AI Act EU...), lignes directrices éthiques (OCDE, UNESCO...), outils d'analyse des biais/explicabilité (présentation), études de cas éthiques/réglementaires en IA, débats et discussions.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse éthique d'un cas d'usage de l'IA. Identification des obligations réglementaires applicables à un système IA donné (selon AI Act EU). Proposition de mesures pour une IA plus éthique et responsable.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-005,"À partir de €7,899","Paris, Sud de la France, Dubaï",Développer des applications IA avec Python,"Maîtriser le développement d'applications intégrant des fonctionnalités d'IA/ML en utilisant le langage Python et ses principales bibliothèques (Scikit-learn, TensorFlow/Keras, PyTorch, NLTK/spaCy...).",2 semaines (env. 70-80h),Solide maîtrise de Python et des concepts de base du ML/DL. Connaissance des API/Web services est un plus.,"Développeurs logiciels, ingénieurs ML, data scientists souhaitant mettre en production leurs modèles, étudiants avancés en informatique/IA.",Dans nos locaux / En ligne / Intra-entreprise,"Rappels Python avancé, utilisation des bibliothèques ML/DL clés, intégration de modèles pré-entraînés, développement d'API REST pour modèles ML (Flask/Django/FastAPI), déploiement simple d'applications IA (conteneurisation Docker - bases), bonnes pratiques de développement IA.","Salle informatique avec environnement Python et bibliothèques IA (Anaconda), IDE (VS Code, PyCharm), supports de cours, API de modèles ML (ex: Hugging Face), exemples de code d'applications IA, Docker (initiation), plateformes cloud AI (présentation).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Développement d'une application simple intégrant un modèle ML (ex: classification de texte, prédiction). Création d'une API REST pour exposer un modèle ML. Conteneurisation simple d'une application IA.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-006,"À partir de €7,899","Paris, Sud de la France, Dubaï",MLOps : déploiement et gestion des modèles,"Maîtriser les principes, pratiques et outils de MLOps pour industrialiser le cycle de vie des modèles ML (déploiement continu, monitoring, gestion des versions, automatisation du pipeline...).",2 semaines (env. 70-80h),Expérience en Data Science/ML et/ou en DevOps/Ingénierie logicielle. Connaissance Docker et CI/CD.,"Data Scientists, ML Engineers, DevOps Engineers, ingénieurs logiciels travaillant sur projets IA/ML, architectes Cloud/IA, responsables de la mise en production des modèles IA.",Dans nos locaux / En ligne / Intra-entreprise,"Principes MLOps (CI/CD/CT pour ML), conteneurisation des modèles (Docker), plateformes de déploiement (Cloud AI platforms, Kubernetes/Kubeflow...), monitoring des modèles en production (performance, dérive...), gestion du cycle de vie des modèles (versioning...), automatisation pipeline ML.","Supports de cours, plateformes Cloud (AWS SageMaker, Azure ML, GCP AI Platform - présentation/pratique), outils MLOps (MLflow, Kubeflow, DVC...), Docker, outils CI/CD (GitLab CI, Jenkins...), études de cas MLOps, bonnes pratiques d'industrialisation ML.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Mise en place d'un pipeline MLOps simple (entraînement, déploiement, monitoring de base) pour un modèle ML. Conteneurisation et déploiement d'un modèle sur une plateforme cible (simulation/pratique).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-007,"À partir de €7,899","Paris, Sud de la France, Dubaï",IA et cybersécurité : détection et réponse aux menaces,"Comprendre et appliquer les techniques d'IA/ML (classification, clustering, détection d'anomalies...) pour améliorer la détection des menaces de cybersécurité et automatiser (partiellement) la réponse aux incidents.",2 semaines (env. 70-80h),"Solides connaissances en cybersécurité (menaces, outils) et/ou en Data Science/ML. Compétences en programmation (Python).","Analystes sécurité (SOC), experts en réponse à incidents (CERT/CSIRT), data scientists spécialisés cybersécurité, ingénieurs sécurité SI, chercheurs en cybersécurité/IA.",Dans nos locaux / En ligne / Intra-entreprise,"Applications de l'IA/ML en cybersécurité (détection malware/intrusion/phishing, analyse comportementale - UEBA...), techniques ML adaptées (supervisé/non supervisé), traitement des données de sécurité (logs SIEM...), outils IA/ML pour la cybersécurité, automatisation de la réponse (SOAR - bases).","Supports de cours, datasets de cybersécurité (ex: KDD Cup 99, CICIDS...), bibliothèques Python (scikit-learn, pandas...) pour l'analyse de données sécurité, plateformes SIEM/SOAR (présentation), études de cas d'utilisation de l'IA en cybersécurité.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Application de techniques ML pour détecter des anomalies ou des attaques dans des logs de sécurité. Développement d'un modèle simple de classification de malwares ou de phishing. Conception d'un workflow de réponse automatisée simple.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-008,"À partir de €7,899","Paris, Sud de la France, Dubaï",Traitement du langage naturel (NLP) pour l'entreprise,"Maîtriser les techniques fondamentales de Traitement Automatique du Langage Naturel (NLP) et leurs applications business (analyse de sentiments, classification de textes, chatbots, extraction d'information...).",2 semaines (env. 70-80h),Bonnes connaissances en programmation (Python) et/ou en linguistique computationnelle. Notions de ML sont un plus.,"Data scientists, analystes de données, développeurs souhaitant intégrer du NLP, chefs de produit/marketing (compréhension des applications), consultants en IA/data.",Dans nos locaux / En ligne / Intra-entreprise,"Concepts clés NLP (tokenisation, stemming, lemmatisation, TF-IDF...), techniques de classification de texte, analyse de sentiments, modélisation thématique (topic modeling), reconnaissance d'entités nommées (NER), introduction aux modèles de langage (Word2Vec, Transformers/BERT - bases), outils NLP (NLTK, spaCy, Hugging Face...).","Supports de cours, environnement Python avec bibliothèques NLP (NLTK, spaCy, scikit-learn, Transformers...), datasets textes (avis clients, articles...), exercices pratiques (classification, analyse sentiments, NER...), présentation des API NLP cloud.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une analyse de sentiments sur des avis clients. Classification automatique de documents textes. Extraction d'entités nommées à partir d'un corpus. Utilisation simple d'un modèle de langage pré-entraîné (Hugging Face).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-009,"À partir de €7,899","Paris, Sud de la France, Dubaï",Data science et big data au service de l'IA,"Maîtriser les fondamentaux de la Data Science (collecte, nettoyage, analyse, modélisation ML) et les concepts/outils de l'écosystème Big Data (Hadoop, Spark...) nécessaires au développement de solutions IA à grande échelle.",2 semaines (env. 70-80h),Solides bases en statistiques et programmation (Python/R). Connaissance du SQL. Connaissance des bases du ML est un plus.,"Data scientists, data engineers, analystes Big Data, architectes Big Data/IA, chercheurs en IA/Data Science.",Dans nos locaux / En ligne / Intra-entreprise,"Workflow Data Science (CRISP-DM), techniques avancées de prétraitement/feature engineering, Machine Learning avancé, concepts Big Data (3V...), écosystème Hadoop (HDFS, MapReduce, Hive...), Apache Spark (principes, MLlib), bases de données NoSQL (introduction), déploiement ML sur Big Data.","Supports de cours, environnement Python/R avec bibliothèques Data Science/ML, plateformes Big Data (Cloud - Databricks, EMR... ou cluster local - présentation/initiation), Spark (pratique simple), bases NoSQL (MongoDB - initiation), datasets volumineux (exemples), études de cas Big Data/IA.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Mise en œuvre d'un projet Data Science complet sur un jeu de données significatif. Utilisation de Spark pour des traitements distribués simples. Comparaison des approches de stockage/traitement Big Data.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IA-010,"À partir de €7,899","Paris, Sud de la France, Dubaï",Marketing IA : l'analytique au service de vos stratégies,"Exploiter la puissance de l'analytique de données et de l'IA pour optimiser les stratégies marketing : segmentation client avancée, prédiction du churn, personnalisation des offres, optimisation des campagnes...",2 semaines (env. 70-80h),"Expérience en marketing digital ou analyse de données marketing. Maîtrise d'Excel, connaissance d'outils BI/analytics et/ou bases de Python/R sont des plus.","Responsables marketing/marketing digital/CRM, data analysts marketing, consultants marketing/data, chefs de projet marketing IA.",Dans nos locaux / En ligne / Intra-entreprise,"Collecte et préparation des données marketing, segmentation client basée sur ML (clustering), modélisation prédictive pour le marketing (churn, LTV, appétence produit), systèmes de recommandation, optimisation des campagnes (ciblage, budget), mesure de la performance (attribution...).","Supports de cours, outils d'analyse/visualisation (Excel avancé, Power BI/Tableau, Python/R - initiation marketing), plateformes CRM/Marketing Automation (présentation), datasets marketing (exemples), études de cas de marketing basé sur l'IA/data.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une segmentation client basée sur des données (simplifiée). Développement d'un modèle simple de prédiction de churn ou d'appétence. Proposition d'une stratégie de personnalisation basée sur l'IA. Analyse du ROI d'une campagne marketing.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
