ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
IPT-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Sécurité des applications e-banking et m-banking,"Identifier les vulnérabilités spécifiques aux applications bancaires en ligne (web/mobile) et maîtriser les techniques de sécurisation (authentification forte, cryptographie, sécurisation des flux/API...) pour prévenir les attaques.",2 semaines (env. 70-80h),Bonnes connaissances en développement web/mobile et/ou en sécurité des systèmes d'information.,"Développeurs d'applications bancaires, architectes sécurité SI, auditeurs sécurité/pentesteurs, responsables sécurité SI (RSSI) dans le secteur bancaire, consultants en cybersécurité bancaire.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des menaces (OWASP Top 10 Web/Mobile), sécurisation de l'authentification (MFA, biométrie...), cryptographie appliquée (SSL/TLS...), sécurisation des API bancaires (OAuth2...), développement sécurisé (secure coding), tests de sécurité applicative (bases SAST/DAST).","Supports de cours, référentiels OWASP, outils de test de sécurité applicative (présentation - ex: Burp Suite), exemples de code sécurisé/vulnérable, études de cas d'attaques bancaires, bonnes pratiques de développement sécurisé.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification de vulnérabilités sur une application web/mobile (simplifiée). Proposition de mesures de sécurisation pour une fonctionnalité bancaire en ligne. Analyse de code pour détecter des failles de sécurité (simple).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Protection des données personnelles : aspects juridiques et techniques,"Maîtriser le cadre juridique (ex: RGPD/GDPR, lois nationales), les mesures organisationnelles (DPO, PIA...) et les bonnes pratiques techniques pour assurer la protection des données personnelles au sein d'une organisation.",2 semaines (env. 70-80h),Connaissance de base du droit ou de la gestion des SI. Intérêt pour la protection des données.,"Délégués à la Protection des Données (DPO/DPD), juristes spécialisés données personnelles, responsables conformité/risques, responsables SI/sécurité, consultants en protection des données/cybersécurité, chefs de projet impliquant des données personnelles.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre légal (RGPD/lois nationales : principes, droits des personnes, obligations des entreprises...), rôle et missions du DPO, Analyse d'Impact sur la Protection des Données (AIPD/PIA), mesures de sécurité techniques (pseudonymisation, chiffrement...), gestion des violations de données.","Supports de cours, textes légaux (RGPD...), lignes directrices des autorités de protection des données (CNIL...), outils d'AIPD/PIA, guides de bonnes pratiques sécurité des données (ANSSI...), études de cas de conformité/non-conformité.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une Analyse d'Impact sur la Protection des Données (AIPD/PIA) simplifiée pour un traitement de données. Élaboration d'une politique de protection des données ou d'une procédure de gestion des droits des personnes.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Tableau de bord de la DSI : piloter son système d'information,"Savoir concevoir, mettre en place et utiliser un tableau de bord pertinent (indicateurs clés de performance - KPIs) pour piloter efficacement la performance, les coûts, les risques et la valeur ajoutée de la DSI.",2 semaines (env. 70-80h),"Expérience en management SI, contrôle de gestion IT ou gestion de projet IT.","Directeurs des Systèmes d'Information (DSI), responsables de domaines IT (production, études, support...), contrôleurs de gestion IT, chefs de projet PMO, consultants en management SI/performance IT.",Dans nos locaux / En ligne / Intra-entreprise,"Alignement stratégie IT/métier, définition des KPIs pertinents pour la DSI (performance opérationnelle, financière, projets, sécurité, satisfaction utilisateurs...), collecte et fiabilisation des données IT, conception du tableau de bord (visualisation), communication et utilisation pour le pilotage.","Supports de cours, référentiels de gouvernance IT (COBIT - volet mesure), bibliothèques de KPIs IT, outils de conception de tableaux de bord (Excel avancé, Power BI, Qlik...), exemples de tableaux de bord DSI, études de cas de pilotage par la performance IT.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Conception d'un tableau de bord pour piloter un domaine de la DSI (ex: support utilisateurs, gestion de projets). Sélection et définition d'indicateurs clés pertinents. Analyse d'un tableau de bord DSI et proposition d'actions d'amélioration.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gouvernance SI avec COBIT 5 (Cours + Examen),"Maîtriser le référentiel COBIT 5 (principes, catalyseurs, processus) pour la gouvernance et le management de l'information et des technologies associées (GEIT) et préparer l'examen de certification COBIT 5 Foundation.",2 semaines (env. 70-80h),"Expérience en management IT, gouvernance IT, audit SI, gestion des risques IT ou sécurité SI.","Managers IT/SI, auditeurs SI internes/externes, consultants en gouvernance IT/gestion des risques IT, responsables sécurité SI/conformité IT.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de COBIT 5, catalyseurs (processus, structures organisationnelles, culture...), cascade d'objectifs, modèle de référence des processus (PAM) COBIT 5, évaluation de la capacité des processus (bases), implémentation de COBIT 5. Préparation à l'examen Foundation.","Supports de cours officiels ISACA ou accrédités COBIT 5 Foundation, référentiel COBIT 5, examens blancs COBIT 5 Foundation, formateur accrédité COBIT 5. (Note: Frais d'examen externe ISACA/APMG non inclus).",Selon calendrier du certificat,Présentiel / Distanciel / Hybride,Réussite aux examens blancs type COBIT 5 Foundation. Capacité à expliquer les concepts clés et les processus de COBIT 5. (Certification externe via ISACA/APMG).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gouvernance SI avec COBIT 2019 (Cours + Examen),"Maîtriser le framework COBIT 2019 (principes, composants, domaines de gouvernance/management, facteurs de conception...) pour la gouvernance et le management de l'information et de la technologie (EGIT) et préparer l'examen COBIT 2019 Foundation/Design & Implementation.",2 semaines (env. 70-80h),"Expérience en management IT, gouvernance IT, audit SI, gestion des risques IT ou sécurité SI. Connaissance de COBIT 5 est un plus mais non obligatoire.","Managers IT/SI, auditeurs SI, consultants en gouvernance IT/risques IT, responsables sécurité SI/conformité IT, architectes d'entreprise. (Niveau visé : Foundation ou Design & Implementation selon public).",Dans nos locaux / En ligne / Intra-entreprise,"Concepts clés COBIT 2019 (framework, principes, composants), système de gouvernance et cadre de gouvernance, objectifs de gouvernance/management (cascade d'objectifs), conception d'un système de gouvernance sur mesure, gestion de la performance (CMMI), implémentation. Préparation examen(s).","Supports de cours officiels ISACA ou accrédités COBIT 2019, publications COBIT 2019 (Framework, Design Guide, Implementation Guide), examens blancs COBIT 2019 (Foundation / D&I), formateur accrédité COBIT 2019. (Note: Frais d'examen externe ISACA non inclus).",Selon calendrier du certificat,Présentiel / Distanciel / Hybride,Réussite aux examens blancs type COBIT 2019 (Foundation et/ou D&I). Capacité à appliquer les concepts et les guides de COBIT 2019 sur des cas pratiques. (Certification externe via ISACA).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Administration réseaux CISCO CCNA v7 (+ Examen),"Acquérir les compétences théoriques/pratiques pour installer, configurer, opérer et dépanner les réseaux d'entreprise (routage, commutation, sécurité base, automatisation) et préparer l'examen Cisco CCNA 200-301.",2 semaines (env. 70-80h),Connaissances de base en réseaux informatiques et systèmes d'exploitation. Forte motivation pour la pratique sur équipement/simulateur.,"Futurs administrateurs/techniciens réseaux, ingénieurs support réseau, étudiants en informatique/réseaux visant la certification CCNA, professionnels IT souhaitant une base solide en réseaux Cisco.",Dans nos locaux / En ligne / Intra-entreprise,"Curriculum CCNA v7 complet (Modules 1, 2, 3) : Fondamentaux réseaux, Accès réseau (Commutation Ethernet, VLANs, WLANs), Connectivité IP (Adressage IPv4/IPv6, Routage statique/dynamique OSPF), Services IP, Sécurité (ACLs, VPN bases), Automatisation. Pratique intensive et préparation examen.","Accès équipements réseaux Cisco (routeurs/switchs) ou simulateurs (Packet Tracer, GNS3), plateforme Cisco Networking Academy (si applicable), supports de cours officiels Cisco CCNA v7, labs guidés, examens blancs CCNA 200-301. (Note: Frais d'examen externe Pearson VUE non inclus).",Selon calendrier du certificat,Présentiel / Distanciel / Hybride,Maîtrise de la configuration et du dépannage de base des routeurs/switchs Cisco. Réussite aux évaluations pratiques et aux examens blancs type CCNA. (Certification externe via Pearson VUE).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Élaborer un schéma directeur des systèmes d'information,"Maîtriser la démarche méthodologique, les principes et les outils pour élaborer un Schéma Directeur des SI (SDSI) aligné sur la stratégie de l'organisation et définissant la trajectoire d'évolution du SI.",2 semaines (env. 70-80h),"Expérience en management SI, architecture d'entreprise, gestion de projet IT ou stratégie d'entreprise. Vision globale de l'organisation et de son SI.","DSI, architectes d'entreprise/SI, responsables stratégie IT/urbanisation SI, chefs de projet SI stratégiques, consultants en stratégie SI/organisation.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle et enjeux du SDSI, démarche d'élaboration (diagnostic SI existant, analyse stratégie métier, définition cible SI, trajectoire de migration, plan projets, gouvernance), outils d'analyse (SWOT SI, cartographie applicative...), rédaction et communication du SDSI.","Supports de cours, méthodologies d'élaboration de SDSI (ex: CIGREF, guides sectoriels), outils de modélisation/cartographie SI (Archimate - présentation), modèles de documents SDSI, études de cas d'élaboration de SDSI.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un diagnostic SI simplifié. Élaboration de la structure et des axes clés d'un SDSI pour une organisation donnée. Définition d'une trajectoire de migration et d'un portefeuille projets associés.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Sécurité des systèmes et réseaux informatiques,"Acquérir une compréhension approfondie des menaces et vulnérabilités des systèmes/réseaux, et maîtriser les principes et techniques de sécurisation (pare-feu, VPN, IDS/IPS, durcissement systèmes...) pour protéger le SI.",2 semaines (env. 70-80h),Bonnes connaissances en systèmes d'exploitation (Windows/Linux) et en réseaux informatiques (TCP/IP).,"Administrateurs systèmes/réseaux, ingénieurs sécurité SI, techniciens support IT, responsables sécurité SI (RSSI), consultants en sécurité informatique.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama des menaces (malware, phishing, attaques réseau...), sécurité périmétrique (pare-feu, proxies), réseaux privés virtuels (VPN), détection/prévention d'intrusions (IDS/IPS), sécurisation des systèmes (durcissement), gestion des identités/accès (IAM), cryptographie (bases).","Supports de cours, outils de sécurité réseau/système (présentation/démonstration: Wireshark, Nmap, Snort...), configurations de pare-feu/VPN (exemples), guides de durcissement OS, bonnes pratiques de sécurité ANSSI/NIST.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Identification des vulnérabilités d'un système/réseau simple. Configuration de règles de pare-feu ou de listes de contrôle d'accès (ACL). Proposition d'un plan de sécurisation pour un petit réseau d'entreprise.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-009,"À partir de €6,899","Paris, Sud de la France, Dubaï","Initiation au Big Data, à la Data Science et à l'IA","Acquérir une compréhension des concepts clés, des enjeux et des technologies fondamentales du Big Data, de la Data Science (analyse de données, machine learning) et de l'Intelligence Artificielle.",2 semaines (env. 70-80h),Intérêt pour les données et les nouvelles technologies. Notions de base en statistiques et/ou programmation sont un plus mais non obligatoires pour une initiation.,"Managers (tous secteurs), chefs de projet, analystes métiers, professionnels IT souhaitant comprendre les enjeux data/IA, étudiants, curieux des nouvelles technologies.",Dans nos locaux / En ligne / Intra-entreprise,"Concepts Big Data (Volume, Vitesse, Variété...), écosystème technologique (Hadoop, Spark - bases), principes de la Data Science (collecte, nettoyage, analyse, visualisation), introduction au Machine Learning (supervisé/non supervisé), bases de l'IA (concepts, applications).","Supports de cours didactiques, présentation des outils clés (Python/R pour la data science, plateformes Cloud AI...), exemples concrets d'applications Big Data/Data Science/IA dans différents secteurs, glossaire des termes techniques, démonstrations simples.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Compréhension des concepts et du vocabulaire Big Data/Data Science/IA. Capacité à identifier des cas d'usage potentiels dans son domaine. Discussion sur les enjeux éthiques et sociétaux.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
IPT-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Initiation à la Business Intelligence (BI),"Comprendre les concepts, l'architecture et les outils de la Business Intelligence (BI) / informatique décisionnelle pour collecter, analyser et présenter les données afin d'aider à la prise de décision.",2 semaines (env. 70-80h),Connaissance de base des données d'entreprise et/ou utilisation d'Excel pour l'analyse.,"Analystes métiers, contrôleurs de gestion, responsables reporting, chefs de projet BI, utilisateurs finaux de rapports BI, managers souhaitant mieux exploiter les données.",Dans nos locaux / En ligne / Intra-entreprise,"Enjeux de la BI, architecture décisionnelle (entrepôt de données - DWH, ETL, datamarts...), modélisation décisionnelle (étoile, flocon), outils de reporting et de visualisation (tableaux de bord), analyse OLAP (Online Analytical Processing), principes de data visualisation.","Supports de cours, présentation des concepts BI/DWH, outils ETL (Talend - présentation), outils de reporting/visualisation (Power BI, Tableau, Qlik Sense - présentation/initiation), modèles de données décisionnels, bonnes pratiques de data visualisation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Compréhension de l'architecture et des composants d'un système BI. Capacité à utiliser un outil de reporting/visualisation simple pour explorer des données et créer des tableaux de bord basiques. Interprétation de rapports et graphiques décisionnels.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
