ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
LTAM-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Best practices in stock and supply management,"Maîtriser les meilleures pratiques pour optimiser la gestion des stocks (niveaux, coûts, rotation) et le processus d'approvisionnement (planification, relations fournisseurs) afin d'améliorer la performance logistique.",2 semaines (env. 70-80h),"Expérience en logistique, achats, gestion de stocks ou supply chain. Connaissance des bases de la gestion.","Gestionnaires de stocks, approvisionneurs, acheteurs, responsables logistique/supply chain, contrôleurs de gestion (volet stocks), responsables d'entrepôt.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse ABC des stocks, modèles de gestion (point de commande, calendaire, MRP - bases), calcul du stock de sécurité, optimisation des niveaux de stock, processus d'approvisionnement (S&OP - bases), gestion de la relation fournisseur (SRM - bases), indicateurs clés stocks/appro.","Supports de cours, méthodes d'analyse ABC/gestion des stocks (EOQ...), outils de prévision de la demande (bases), logiciels de gestion de stocks/appro (WMS/ERP - présentation), exercices pratiques de calcul/optimisation des stocks, études de cas gestion stocks/appro.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une analyse ABC et proposition d'une politique de gestion de stocks différenciée. Calcul de stocks de sécurité. Mise en place d'indicateurs de performance pour les stocks et les approvisionnements.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Defensive and preventive driving,"Adopter les principes et techniques de la conduite défensive et préventive pour anticiper les risques routiers, réduire la consommation de carburant et minimiser les risques d'accidents.",2 semaines (env. 70-80h),Être titulaire d'un permis de conduire valide. Exercer une activité de conduite professionnelle ou utiliser fréquemment un véhicule de service.,"Chauffeurs professionnels (poids lourds, transport en commun, VTC...), caristes (volet conduite préventive engin), commerciaux itinérants, techniciens de maintenance itinérants, tout personnel utilisant un véhicule d'entreprise.",Dans nos locaux / Piste de conduite / Intra-entreprise,"Analyse des risques routiers, techniques d'anticipation et de perception (vision), gestion de la vitesse et des distances de sécurité, conduite économique (éco-conduite), comportement en conditions difficiles (nuit, pluie...), sensibilisation alcool/drogues/fatigue, vérifications véhicule.","Supports de cours, simulateur de conduite (si disponible), véhicules pour exercices pratiques (si applicable), vidéos d'analyse d'accidents, tests de connaissance (code de la route, principes conduite défensive), exercices pratiques de freinage/évitement (sur piste sécurisée si possible).",2 semaines (selon calendrier),Présentiel / Blended (théorie/pratique),Test théorique sur les principes de conduite défensive/préventive/éco-conduite. Évaluation pratique de la conduite (si applicable) avec analyse du comportement et application des techniques.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Performance tools for drivers and forklift operators,"Doter les chauffeurs et caristes des outils et techniques pour améliorer leur performance opérationnelle : conduite économique et sécurisée, optimisation des tournées/manutentions, maintenance de premier niveau.",2 semaines (env. 70-80h),Exercer le métier de chauffeur ou de cariste. Permis de conduire/CACES valide(s) requis.,"Chauffeurs (livreurs, poids lourds...), caristes (magasiniers, préparateurs de commandes...), agents de quai.",Dans nos locaux / Entrepôt / Piste / Intra-entreprise,"Éco-conduite et conduite préventive, techniques de manutention sécurisée et efficace (caristes), optimisation des chargements/déchargements/tournées (chauffeurs), maintenance de premier niveau du véhicule/chariot, utilisation des outils embarqués (GPS, informatique mobile...).","Supports de cours pratiques, véhicules/chariots élévateurs pour exercices, simulateurs (si disponible), outils d'optimisation de tournées (présentation), check-lists de maintenance 1er niveau, exercices pratiques de manutention/conduite.",2 semaines (selon calendrier),Présentiel / Blended (théorie/pratique),Évaluation pratique de l'application des techniques d'éco-conduite ou de manutention sécurisée. QCM sur les bonnes pratiques et la maintenance de premier niveau. Capacité à utiliser les outils embarqués (si applicable).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Dashboards for managing general services,"Concevoir et utiliser des tableaux de bord et des indicateurs clés (KPIs) pour piloter efficacement les activités des services généraux (gestion de flotte, entretien bâtiments, courrier, achats généraux...).",2 semaines (env. 70-80h),Expérience en gestion des services généraux ou en contrôle de gestion. Bonne maîtrise d'Excel ou outils BI.,"Responsables/gestionnaires des services généraux ou des moyens généraux, office managers, contrôleurs de gestion (périmètre services généraux), responsables achats généraux, facility managers.",Dans nos locaux / En ligne / Intra-entreprise,"Identification des activités et processus clés des services généraux, définition des objectifs et KPIs pertinents (coûts, qualité de service, délais, satisfaction...), collecte des données, conception de tableaux de bord de pilotage (visualisation), analyse et reporting.","Supports de cours, exemples de KPIs et tableaux de bord pour les services généraux (flotte, bâtiments, achats...), outils de conception de tableaux de bord (Excel avancé, Power BI...), méthodes de collecte de données, études de cas de pilotage des services généraux.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un tableau de bord pour piloter une activité des services généraux (ex: gestion de flotte automobile). Sélection et définition d'indicateurs clés pertinents. Analyse d'un tableau de bord et proposition d'actions d'amélioration.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Cost-driven stock management,"Mettre en œuvre des méthodes et outils de gestion des stocks spécifiquement orientés vers la réduction des coûts associés (coût de possession, coût de rupture, coût de passation de commande).",2 semaines (env. 70-80h),"Expérience en gestion des stocks, logistique ou contrôle de gestion. Bonnes capacités d'analyse quantitative.","Gestionnaires de stocks, approvisionneurs, responsables logistique/supply chain, contrôleurs de gestion, acheteurs.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des coûts liés aux stocks, modèle de Wilson (EOQ) et ses limites, optimisation du stock de sécurité (arbitrage coût rupture/possession), méthodes de prévision de la demande axées coût, impact de la classification ABC sur les coûts, négociation fournisseurs et coûts d'achat.","Supports de cours, modèles de calcul de coûts de stock (possession, rupture...), formule EOQ et variantes, méthodes de calcul du stock de sécurité, outils de prévision, tableurs Excel pour simulation/optimisation, études de cas de réduction des coûts de stock.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul et analyse des différents coûts liés aux stocks pour un article donné. Application du modèle EOQ et calcul du stock de sécurité optimal. Proposition d'un plan d'action pour réduire les coûts de stocks.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Optimal management and monitoring of vehicle fleets,"Maîtriser les techniques et outils pour une gestion optimisée du parc automobile : acquisition/location (TCO), maintenance, gestion des coûts (carburant, assurance...), suivi conducteurs et réglementation.",2 semaines (env. 70-80h),"Expérience en gestion de flotte, logistique, services généraux ou achats. Bonne organisation et rigueur.","Gestionnaires de parc automobile, responsables logistique/transport/services généraux, acheteurs (flotte), responsables administratifs et financiers (suivi coûts flotte), responsables HSE (sécurité routière flotte).",Dans nos locaux / En ligne / Intra-entreprise,"Analyse du TCO (Total Cost of Ownership), choix acquisition/location, planification et suivi de la maintenance, gestion du carburant (cartes...), assurances et sinistralité, suivi des conducteurs (formation, comportement...), outils de gestion de flotte (logiciels, télématique), réglementation.","Supports de cours, outils de calcul du TCO, logiciels de gestion de flotte (présentation/démonstration), check-lists de suivi maintenance/conducteur, guides de bonnes pratiques gestion de flotte, réglementation transport/sécurité routière (flotte), études de cas optimisation de parc.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une analyse TCO simplifiée pour comparer des options de véhicules/financement. Mise en place d'indicateurs de suivi de la performance du parc. Élaboration d'un plan d'action pour réduire les coûts ou améliorer la sécurité de la flotte.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",General services: optimizing resource planning,"Doter les responsables des services généraux des méthodes et outils pour optimiser la planification et l'allocation des ressources (humaines, matérielles, financières) de leurs activités diverses.",2 semaines (env. 70-80h),Expérience confirmée en management des services généraux ou équivalent. Bonnes compétences en organisation et planification.,"Responsables/Directeurs des Services Généraux, des Moyens Généraux, de l'Environnement de Travail, Facility Managers.",Dans nos locaux / En ligne / Intra-entreprise,"Cartographie des activités et processus des services généraux, évaluation des besoins en ressources (charge de travail, équipements...), techniques de planification (Gantt, capacitaire), optimisation de l'allocation des ressources, gestion budgétaire des services généraux, suivi des KPIs.","Supports de cours, outils de cartographie de processus, techniques d'évaluation de charge de travail, outils de planification (MS Project - bases), méthodes de gestion budgétaire, exemples de KPIs services généraux, études de cas d'optimisation de ressources SG.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une cartographie des activités et estimation des ressources pour un service généraux donné. Élaboration d'un planning optimisé pour une équipe ou une activité SG. Mise en place d'indicateurs pour suivre l'utilisation des ressources.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Industrial production and flow management,"Maîtriser les principes et techniques du management de la production (planification, ordonnancement, lancement, suivi) et de la gestion des flux (physiques et d'information) pour optimiser la performance industrielle.",2 semaines (env. 70-80h),"Formation technique (génie industriel, mécanique...) ou expérience significative en production, logistique industrielle ou planification.","Responsables/ingénieurs production, responsables planification/ordonnancement, responsables logistique industrielle/supply chain, ingénieurs méthodes/industrialisation, consultants en performance industrielle.",Dans nos locaux / En ligne / Intra-entreprise,"Planification de la production (PDP, CBN/MRP), ordonnancement d'atelier, gestion des flux tirés/poussés (Kanban, Lean - bases), suivi de production (TRS...), gestion des stocks de production (en-cours), optimisation des flux physiques et d'information, systèmes d'information (GPAO/MES).","Supports de cours, méthodes de planification (MRP), principes Lean Manufacturing (Kanban, 5S...), outils d'ordonnancement, calcul du TRS, logiciels GPAO/MES (présentation), études de cas d'optimisation production/flux.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul de besoins nets (CBN) et élaboration d'un plan de production simple. Mise en place d'un système Kanban simple. Analyse d'un flux de production et proposition d'améliorations (réduction gaspillages).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Improving the supply chain for distribution companies,"Analyser la chaîne logistique spécifique aux entreprises de distribution (retail, grossistes...) et identifier les leviers d'amélioration (prévisions, approvisionnement, stockage, transport...) pour optimiser les coûts et le service client.",2 semaines (env. 70-80h),"Expérience en logistique/supply chain, idéalement dans le secteur de la distribution. Connaissance des enjeux spécifiques (multicanal, dernier kilomètre...).","Responsables supply chain/logistique/transport/entrepôt/approvisionnement dans la distribution, planificateurs de la demande, consultants spécialisés supply chain distribution/retail.",Dans nos locaux / En ligne / Intra-entreprise,"Spécificités de la supply chain distribution (flux aval...), prévision des ventes retail, gestion des approvisionnements multi-fournisseurs/multi-sites, optimisation des entrepôts de distribution (picking...), logistique du dernier kilomètre, gestion des retours (reverse logistics).","Supports de cours, outils de prévision des ventes retail, logiciels WMS/TMS adaptés distribution (présentation), méthodes d'optimisation entrepôt/transport distribution, études de cas supply chain retail/distribution (ex: omnicanal).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Diagnostic de la performance d'une supply chain de distribution. Proposition d'actions d'amélioration sur un maillon clé (ex: prévisions, gestion entrepôt, dernier kilomètre).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
LTAM-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Logistics manager: managing your supply chain,"Acquérir une vision globale de la supply chain et développer les compétences managériales pour piloter la performance logistique (coûts, délais, qualité, stocks), manager les équipes et les projets logistiques.",2 semaines (env. 70-80h),Expérience confirmée en logistique ou supply chain. Potentiel managérial.,"Responsables logistique/supply chain, responsables transport/entrepôt/approvisionnement/stocks, chefs de projet supply chain, futurs responsables logistique/supply chain.",Dans nos locaux / En ligne / Intra-entreprise,"Stratégie supply chain, pilotage de la performance logistique (KPIs, tableaux de bord), management des équipes logistiques, gestion de projet logistique, gestion des relations fournisseurs/prestataires logistiques, optimisation des processus (Lean logistics), gestion des risques SCM.","Supports de cours (management SCM), outils de pilotage SCM (KPIs, SCOR model - bases), techniques de management d'équipe, méthodes de gestion de projet, principes Lean logistics, outils d'analyse de risques SCM, études de cas management supply chain.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie supply chain simple ou d'un tableau de bord de pilotage logistique. Analyse d'un processus logistique et proposition d'améliorations. Gestion d'un cas de management d'équipe ou de projet logistique.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
