ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
MP-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Identification et maîtrise des risques de pollution dans les activités minières et pétrolières,"Savoir identifier, évaluer et maîtriser les risques de pollution (eau, air, sol) spécifiques aux activités minières et pétrolières, et mettre en place des systèmes de contrôle et de suivi environnemental efficaces.",2 semaines (env. 70-80h),"Connaissances de base en environnement, chimie ou génie des procédés. Expérience dans le secteur minier/pétrolier est un plus.","Ingénieurs et techniciens environnement/HSE, responsables de site minier/pétrolier, inspecteurs environnementaux, consultants en environnement industriel.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des sources de pollution, évaluation des risques environnementaux, techniques de prévention et de traitement des pollutions, systèmes de management environnemental (ISO 14001 - bases), monitoring environnemental.","Supports de cours, guides de bonnes pratiques environnementales sectorielles, normes de rejets/émissions, outils d'analyse de risques environnementaux, exemples de plans de suivi environnemental.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de risques de pollution pour une activité minière/pétrolière donnée. Proposition de mesures de maîtrise et de contrôle.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Cartographie des risques liés aux projets miniers : approches et outils,"Maîtriser la méthodologie de cartographie des risques (techniques, environnementaux, sociaux, financiers, sécuritaires...) tout au long du cycle de vie d'un projet minier.",2 semaines (env. 70-80h),Connaissance du cycle de vie d'un projet minier et/ou expérience en gestion de projet ou analyse de risques.,"Chefs de projet minier, gestionnaires de risques, ingénieurs mine/géologue/environnement, analystes financiers miniers, consultants en gestion de projet minier.",Dans nos locaux / En ligne / Intra-entreprise,"Identification systématique des risques par phase projet, évaluation qualitative/quantitative (probabilité, impact), élaboration de matrices de risques, plans de mitigation et de suivi, utilisation d'outils de cartographie.","Supports de cours, méthodologies de gestion des risques (ISO 31000 adaptée), outils de cartographie des risques, exemples de registres de risques miniers, études de cas de projets miniers (succès/échecs liés aux risques).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une cartographie des risques simplifiée pour une phase donnée d'un projet minier. Élaboration d'un plan de mitigation pour un risque majeur.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Application des normes IFRS aux spécificités du secteur minier,"Comprendre et appliquer les normes IFRS pertinentes pour le secteur minier (exploration, évaluation des ressources, dépréciation d'actifs, réhabilitation, contrats de revenus...).",2 semaines (env. 70-80h),Solides connaissances en comptabilité générale et/ou financière. Connaissance du secteur minier est un atout majeur.,"Experts-comptables, auditeurs financiers, directeurs financiers, contrôleurs de gestion (secteur minier), analystes financiers spécialisés mines, consultants financiers miniers.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse détaillée des normes IFRS clés pour le secteur (IFRS 6, IAS 16, IAS 36, IAS 37, IFRS 15...), traitement comptable des opérations spécifiques (exploration, développement, production, réhabilitation), présentation des états financiers.","Supports de cours, Normes IFRS pertinentes (IASB), guides d'application sectoriels IFRS pour l'industrie extractive, études de cas d'entreprises minières, exemples d'états financiers miniers conformes IFRS.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Traitement comptable de cas pratiques spécifiques au secteur minier selon les IFRS. Analyse d'états financiers d'une entreprise minière.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Élaboration de cadres de référence pour la mobilisation des recettes minières,"Maîtriser les méthodes et outils pour concevoir un cadre fiscal et réglementaire optimisant la mobilisation des recettes issues du secteur minier pour l'État, tout en maintenant l'attractivité pour les investisseurs.",2 semaines (env. 70-80h),"Connaissances en économie publique, fiscalité ou droit minier. Expérience dans l'administration fiscale ou minière est un plus.","Cadres des ministères des Mines, des Finances (Impôts, Douanes), économistes spécialisés secteur extractif, consultants en politique fiscale minière, personnel d'organisations internationales travaillant sur la gouvernance extractive.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des différents régimes fiscaux miniers (redevances, impôts sur les sociétés, droits divers...), modélisation financière des revenus miniers, analyse d'impact économique et social, transparence (ITIE), négociation de contrats.","Supports de cours, guides sur la fiscalité minière (FMI, BM, OCDE...), exemples de codes et régimes fiscaux miniers, outils de modélisation fiscale (présentation), standards ITIE, études de cas pays.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse comparative de différents régimes fiscaux miniers. Simulation de l'impact d'un changement fiscal sur les revenus de l'État et de l'entreprise.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit des pratiques de prospection minière au sein des entreprises extractives,"Acquérir les compétences pour auditer les pratiques de prospection (géologique, géophysique, géochimique) des entreprises minières afin d'en évaluer la pertinence technique, la conformité réglementaire et l'efficacité.",2 semaines (env. 70-80h),Formation en géologie ou génie minier. Expérience en exploration minière ou en audit est un plus.,"Auditeurs internes/externes spécialisés mines, géologues seniors, responsables exploration, cadres des administrations minières (contrôle), consultants en exploration minière.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie d'audit appliquée à l'exploration, revue des programmes de prospection, analyse des données géologiques/géophysiques/géochimiques, vérification de la conformité (permis, environnement...), évaluation des résultats et de la stratégie.","Supports de cours, normes et standards d'exploration (ex: JORC, NI 43-101 - présentation), guides d'audit, check-lists spécifiques à la prospection, études de cas d'audits de programmes d'exploration.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan d'audit pour un programme de prospection fictif. Analyse critique d'un rapport de prospection ou d'audit.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Stratégies de développement commercial dans le secteur minier,"Savoir élaborer et mettre en œuvre une stratégie commerciale efficace pour une entreprise minière, en tenant compte des spécificités du marché des matières premières.",2 semaines (env. 70-80h),"Formation commerciale/marketing ou expérience significative dans la vente/marketing B2B, idéalement dans l'industrie lourde ou les commodités.","Directeurs commerciaux/marketing, responsables développement commercial, chefs de produit (minerais), consultants en stratégie commerciale pour le secteur minier.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse du marché minier (tendances, acteurs, prix), segmentation et ciblage clients (industriels, traders...), positionnement et différenciation, politique produit/prix/distribution/communication adaptée, planification commerciale.","Supports de cours, analyses de marchés miniers (exemples), outils d'analyse stratégique (SWOT, PESTEL adaptés), études de cas de stratégies commerciales minières, simulation de planification.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une ébauche de stratégie commerciale pour un produit minier donné. Analyse SWOT d'une entreprise minière fictive.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Études de marché appliquées aux produits miniers,"Maîtriser les techniques spécifiques d'étude de marché pour les produits miniers : analyse de l'offre et de la demande mondiale/régionale, prévisions de prix, identification des débouchés et des concurrents.",2 semaines (env. 70-80h),"Formation en économie, commerce ou marketing. Bonnes capacités d'analyse quantitative et de recherche documentaire.","Analystes de marché (mines, matières premières), chargés d'études économiques, responsables stratégie/développement commercial dans le secteur minier, traders de matières premières.",Dans nos locaux / En ligne / Intra-entreprise,"Sources d'information spécifiques (agences de notation, publications spécialisées...), analyse de la demande sectorielle (sidérurgie, BTP, chimie...), analyse de l'offre (capacités de production, coûts...), modélisation et prévision.","Supports de cours, accès/présentation de bases de données de marché (ex: Bloomberg, Reuters - si possible), publications spécialisées (ex: CRU, Wood Mackenzie), techniques d'analyse statistique et de prévision.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une mini-étude de marché pour un produit minier spécifique (analyse offre/demande/prix). Recherche et synthèse d'informations sur un marché cible.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion et promotion stratégique des produits miniers,"Savoir concevoir et mettre en œuvre une politique de promotion efficace pour les produits miniers, en ciblant les clients industriels et les marchés spécifiques.",2 semaines (env. 70-80h),Formation en marketing/communication ou expérience en promotion/vente B2B. Connaissance du secteur minier est un plus.,"Responsables marketing/promotion, chefs de produit minier, responsables communication dans les entreprises minières, consultants en marketing industriel.",Dans nos locaux / En ligne / Intra-entreprise,"Définition des objectifs de promotion, choix des cibles et des messages clés, sélection des outils de promotion adaptés (salons professionnels, publications spécialisées, marketing digital B2B...), mesure de l'efficacité.","Supports de cours, outils de communication B2B, exemples de campagnes de promotion de produits industriels/miniers, techniques de marketing digital B2B, études de cas de promotion minière.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de promotion simplifié pour un nouveau produit minier ou l'entrée sur un nouveau marché.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques de communication commerciale dans les entreprises minières,"Maîtriser les techniques de communication commerciale adaptées au secteur minier pour renforcer les relations clients, soutenir la force de vente et promouvoir l'image de l'entreprise.",2 semaines (env. 70-80h),Formation en communication/marketing ou expérience commerciale. Excellentes capacités rédactionnelles et relationnelles.,"Chargés de communication commerciale, responsables marketing/ventes, ingénieurs commerciaux, personnel en contact avec les clients miniers.",Dans nos locaux / En ligne / Intra-entreprise,"Communication B2B (spécificités minières), élaboration de supports commerciaux (brochures, fiches techniques...), communication digitale B2B (site web, réseaux sociaux pro...), communication événementielle (salons), relations presse pro.","Supports de cours, techniques de rédaction commerciale, outils de communication digitale (CRM, plateformes B2B), exemples de supports de communication minière, études de cas de communication B2B réussie.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Rédaction d'un argumentaire commercial ou d'une communication client type pour le secteur minier. Proposition d'un plan de communication pour un événement commercial.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MP-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Valorisation de l’image de marque et notoriété des sociétés minières,"Savoir construire, gérer et protéger l'image de marque et la notoriété d'une entreprise minière auprès de ses différentes parties prenantes (clients, investisseurs, employés, communautés, régulateurs).",2 semaines (env. 70-80h),"Formation en communication, relations publiques ou marketing. Expérience en communication institutionnelle ou RSE est un plus.","Directeurs/responsables communication, responsables relations publiques/institutionnelles, responsables RSE/développement durable, consultants en communication/réputation.",Dans nos locaux / En ligne / Intra-entreprise,"Audit d'image et de réputation, définition de la plateforme de marque, communication institutionnelle, relations presse, communication de crise, communication RSE, gestion de l'e-réputation, mesure de la notoriété.","Supports de cours, outils d'audit de réputation, techniques de relations publiques/presse, guides de communication de crise/RSE, plateformes de veille e-réputation, études de cas de gestion de réputation minière.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'une stratégie de communication pour améliorer l'image d'une entreprise minière sur un aspect précis (ex: environnement, social). Simulation de gestion de communication de crise.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
