ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
MPE-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Conduite du changement et développement du leadership,"Développer les compétences en leadership nécessaires pour initier, conduire et accompagner le changement organisationnel, en mobilisant les équipes et en surmontant les résistances.",2 semaines (env. 70-80h),Expérience en management ou en gestion de projet. Être en situation (actuelle ou future) de devoir conduire ou accompagner un changement significatif.,"Managers (tous niveaux), chefs de projet (notamment transformation, réorganisation), responsables RH, consultants en organisation/management, dirigeants d'entreprise ou d'administration publique.",Dans nos locaux / En ligne / Intra-entreprise,"Modèles de leadership transformationnel/situationnel, théories et processus de gestion du changement (Kotter, Lewin, ADKAR...), techniques de communication stratégique et de mobilisation des équipes, diagnostic des résistances et stratégies d'accompagnement, coaching d'équipe.","Supports de cours, outils de diagnostic du changement (forces/faiblesses, parties prenantes...), modèles de plans de communication/accompagnement, études de cas de conduite du changement (privé/public), jeux de rôles/simulations managériales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de conduite du changement pour un projet spécifique. Analyse d'une situation de résistance au changement et proposition de stratégies managériales. Mise en situation (simulation de communication/mobilisation).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-002,"À partir de €6,899","Paris, Sud de la France, Dubaï","Management stratégique : méthodes, outils et prise de décision en entreprise","Maîtriser les concepts, outils (analyse SWOT, PESTEL, Porter...) et techniques d'élaboration, de mise en œuvre et de suivi d'une stratégie d'entreprise pour assurer un avantage concurrentiel durable.",2 semaines (env. 70-80h),Expérience en management ou en analyse économique/financière. Vision globale de l'entreprise.,"Dirigeants d'entreprise, cadres supérieurs, responsables de la stratégie/planification, consultants en stratégie et management, analystes stratégiques, créateurs/repreneurs d'entreprise.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic stratégique interne/externe (SWOT, PESTEL, 5 forces de Porter...), formulation de la stratégie (mission, vision, objectifs), choix stratégiques (différenciation, coût, diversification...), déploiement et pilotage de la stratégie (tableaux de bord prospectifs - BSC).","Supports de cours, outils d'analyse stratégique (matrices BCG, McKinsey...), modèles de business plan stratégique, études de cas d'entreprises (différents secteurs), articles de recherche en management stratégique, simulations de décision stratégique.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un diagnostic stratégique pour une entreprise (réelle ou fictive). Élaboration d'une recommandation stratégique argumentée. Présentation d'un plan de déploiement stratégique simplifié.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Modernisation des administrations publiques par la gestion stratégique des ressources humaines,"Concevoir et mettre en œuvre une stratégie de GRH alignée sur les objectifs de modernisation de l'administration publique (attractivité, développement des compétences, GPEC, motivation, évaluation...).",2 semaines (env. 70-80h),Expérience en GRH publique ou en management public avec des responsabilités RH. Connaissance des enjeux de la modernisation administrative.,"Directeurs/Responsables des Ressources Humaines (DRH) du secteur public, cadres chargés de la modernisation administrative, responsables formation/GPEC, consultants en GRH publique/réforme administrative, représentants du personnel.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic GRH et enjeux de modernisation, élaboration d'une stratégie GRH (axes prioritaires), Gestion Prévisionnelle des Emplois et Compétences (GPEC), développement des compétences et formation, politique de rémunération et motivation, évaluation de la performance, dialogue social.","Supports de cours, outils de diagnostic GRH, méthodologie GPEC, référentiels de compétences publiques, modèles de systèmes d'évaluation, exemples de politiques de rémunération/formation innovantes dans le public, études de cas de réformes GRH publique.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'une stratégie GRH pour accompagner un projet de modernisation administrative. Conception d'un outil GRH spécifique (ex: plan de formation, processus GPEC).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-004,"À partir de €6,899","Paris, Sud de la France, Dubaï","La nouvelle gestion publique : cadres théoriques, outils de pilotage et retours d’expérience","Comprendre les concepts clés de la Nouvelle Gestion Publique (NGP/NPM), analyser ses outils (indicateurs, contrats...), ses impacts structurels (agences...), et évaluer ses bonnes/mauvaises pratiques.",2 semaines (env. 70-80h),Expérience en administration publique ou formation en sciences politiques/administration publique. Intérêt pour les réformes administratives et le management public.,"Cadres de l'administration publique, responsables de la réforme administrative, chercheurs en management public, consultants en secteur public, étudiants en administration publique, journalistes spécialisés politiques publiques.",Dans nos locaux / En ligne / Intra-entreprise,"Fondements théoriques NGP/NPM, contractualisation et agencification, gestion par la performance (indicateurs, tableaux de bord), orientation client/usager, mise en concurrence, comparaison internationale des réformes, analyse critique (effets pervers, limites).","Supports de cours, articles académiques clés sur la NGP/NPM, rapports d'évaluation de réformes administratives (OCDE, Cour des comptes...), études de cas pays/secteurs (santé, éducation...), débats et discussions critiques entre participants.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Analyse critique de la mise en œuvre de la NGP/NPM dans un contexte donné (pays, secteur). Dissertation ou présentation sur les apports et limites de la NGP/NPM.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Management opérationnel : mobiliser et dynamiser son équipe au quotidien,"Acquérir les outils et techniques du management opérationnel pour organiser le travail, fixer des objectifs clairs, déléguer efficacement, motiver et développer les compétences de son équipe au quotidien.",2 semaines (env. 70-80h),Être en situation de management d'équipe (actuelle ou future proche).,"Managers de proximité, chefs d'équipe, superviseurs, responsables d'unité opérationnelle (tous secteurs, public/privé).",Dans nos locaux / En ligne / Intra-entreprise,"Rôle et missions du manager opérationnel, fixation d'objectifs SMART, techniques de délégation et de suivi, leviers de motivation (reconnaissance, autonomie...), animation de réunions d'équipe efficaces, feedback constructif, gestion des situations difficiles (conflit, démotivation).","Supports de cours, outils de management opérationnel (grilles d'objectifs, matrices de délégation...), techniques de communication et de feedback, modèles de motivation (Herzberg, Maslow...), mises en situation et jeux de rôles managériaux.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Mise en situation de fixation d'objectifs ou de conduite d'un entretien de feedback. Élaboration d'un plan d'action pour motiver son équipe ou gérer une situation managériale donnée.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Pilotage du conseil d’administration dans les secteurs public et privé,"Comprendre le rôle, les responsabilités et les bonnes pratiques de fonctionnement du conseil d'administration (CA) pour assurer une gouvernance d'entreprise efficace et conforme aux exigences légales et éthiques.",2 semaines (env. 70-80h),"Expérience en tant qu'administrateur, dirigeant d'entreprise, haut fonctionnaire (entreprises publiques) ou juriste/consultant en gouvernance.","Administrateurs (indépendants ou non), Présidents de Conseil d'Administration, Directeurs Généraux, Secrétaires Généraux/Secrétaires du Conseil, investisseurs institutionnels, consultants en gouvernance d'entreprise.",Dans nos locaux / En ligne / Intra-entreprise,"Rôle stratégique et de contrôle du CA, composition et indépendance des administrateurs, fonctionnement des comités spécialisés (audit, rémunération, nomination...), relation CA/Direction Générale, évaluation du CA, responsabilité des administrateurs.","Supports de cours, codes de gouvernance d'entreprise (AFEP-MEDEF, OCDE...), textes légaux sur les sociétés (rôle du CA), guides de bonnes pratiques pour les administrateurs, études de cas de gouvernance (bonnes/mauvaises pratiques).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de la structure de gouvernance d'une entreprise au regard des bonnes pratiques. Simulation d'une réunion de conseil d'administration sur un sujet stratégique ou de contrôle.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Réforme et modernisation des services publics : enjeux et leviers d’action,"Maîtriser les approches et outils pour manager efficacement les services publics et conduire leur modernisation afin d'améliorer la qualité, l'efficience et l'adaptation aux besoins des usagers.",2 semaines (env. 70-80h),Expérience en management dans le secteur public. Connaissance des enjeux des services publics.,"Directeurs et chefs de service dans l'administration publique (Etat, collectivités locales, établissements publics), chefs de projet modernisation, consultants en management public, responsables qualité secteur public.",Dans nos locaux / En ligne / Intra-entreprise,"Spécificités du management des services publics, orientation usager et qualité de service, optimisation des processus et simplification administrative, e-administration et transformation digitale, gestion de la performance, management participatif.","Supports de cours, outils d'analyse et d'amélioration de la qualité de service (ex: Marianne), méthodes d'optimisation des processus (Lean management public...), exemples de démarches de modernisation/digitalisation, guides de management participatif.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Diagnostic de la performance d'un service public et proposition d'un plan de modernisation. Conception d'une démarche visant à améliorer la relation usagers d'un service public.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gouvernance numérique : management des systèmes d’information dans les organisations,"Comprendre les enjeux de la gouvernance des SI et maîtriser les cadres (COBIT, ITIL...) et pratiques de management pour aligner les SI sur la stratégie, gérer les risques et optimiser la valeur des investissements IT.",2 semaines (env. 70-80h),Expérience en management SI/IT ou en management général avec forte interaction avec les SI. Connaissance des bases de l'informatique d'entreprise.,"Directeurs des Systèmes d'Information (DSI), responsables gouvernance IT/risques IT/sécurité SI, chefs de projet SI, auditeurs SI, consultants en management SI/gouvernance IT, managers métiers impliqués dans les projets SI.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de gouvernance SI (alignement stratégique, création de valeur, gestion des risques, gestion des ressources), cadres de référence (COBIT, ITIL, ISO 27001...), management de portefeuille projets SI, gestion des services IT (SLA), sécurité SI.","Supports de cours, présentation des référentiels COBIT/ITIL/ISO 27001, outils d'analyse et de pilotage SI (tableaux de bord SI...), guides sur la gestion des risques IT/cybersécurité, études de cas de gouvernance SI.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Évaluation de la maturité de la gouvernance SI d'une organisation (simplifiée). Élaboration d'une ébauche de politique de sécurité SI ou d'un plan d'alignement SI-métier.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-009,"À partir de €6,899","Paris, Sud de la France, Dubaï","Management de la qualité : stratégies, normes et démarches de mise en œuvre","Définir une stratégie qualité alignée sur les objectifs de l'organisation, maîtriser les principes du management de la qualité et savoir mettre en œuvre efficacement les normes pertinentes (ISO 9001...).",2 semaines (env. 70-80h),"Expérience en management, gestion de projet ou connaissance des processus de l'entreprise. Intérêt pour la qualité et l'amélioration continue.","Responsables Qualité, Directeurs Qualité/QHSE, chefs de projet certification, auditeurs internes qualité, consultants qualité, managers souhaitant intégrer la qualité dans leur stratégie.",Dans nos locaux / En ligne / Intra-entreprise,"Principes du management de la qualité (orientation client, leadership, amélioration continue...), élaboration de la politique et des objectifs qualité, mise en œuvre d'un système de management de la qualité (SMQ) selon ISO 9001, outils qualité (PDCA, 5S, AMDEC...), audit qualité.","Supports de cours, Norme ISO 9001 (accès/présentation), outils qualité classiques, guides d'implémentation SMQ, exemples de documentation qualité (manuel, procédures, indicateurs...), études de cas de démarches qualité réussies.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une politique qualité ou d'objectifs qualité SMART. Mise en place d'une procédure qualité simple. Préparation d'un plan d'audit interne qualité.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
MPE-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Team building : renforcer la cohésion et la performance collective,"Comprendre les dynamiques de groupe et maîtriser les techniques et activités de team building pour renforcer la cohésion, la communication et la collaboration au sein d'une équipe.",2 semaines (env. 70-80h),Être en situation de management d'équipe ou d'animation de groupes. Bonnes qualités relationnelles et d'animation.,"Managers, chefs d'équipe, responsables RH, facilitateurs internes, coachs d'équipe, organisateurs d'événements d'entreprise.",Dans nos locaux / En ligne / Intra-entreprise,"Théories sur la dynamique des groupes (Tuckman...), techniques d'animation de groupe, conception et animation d'activités de team building (ludiques, créatives, réflexives...), facilitation de la communication et de la résolution de problèmes en équipe, mesure de la cohésion.","Supports de cours, modèles de dynamique de groupe, catalogue d'activités de team building (intérieur/extérieur), techniques d'animation et de facilitation, outils de diagnostic de la cohésion d'équipe, jeux de rôles et mises en situation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception et animation (simulée) d'une session de team building pour répondre à un objectif précis (ex: améliorer la communication). Analyse d'une dynamique de groupe et proposition d'actions de cohésion.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
