ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
PS-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Organisation et gestion des retraites des agents de l'Etat,"Maîtriser l'organisation, la gestion administrative et financière des régimes de pensions/retraites des agents de la fonction publique, en intégrant les enjeux du vieillissement démographique et les réformes potentielles.",2 semaines (env. 70-80h),"Expérience en GRH publique, gestion des pensions/retraites ou finances publiques. Connaissance du statut de la fonction publique et des régimes de retraite concernés.","Gestionnaires des caisses de retraite de la fonction publique, responsables RH/pensions dans les ministères/administrations, contrôleurs financiers/budgétaires (volet pensions), actuaires (secteur public), cadres des ministères des finances/affaires sociales impliqués dans les réformes.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre légal/réglementaire pensions publiques, calcul des droits (liquidation), gestion des carrières (impact pension), financement des régimes publics (répartition/capitalisation), gestion administrative (dossiers, paiements), projection démographique/financière (impact vieillissement), analyse réformes.","Supports de cours, textes légaux/réglementaires pensions fonction publique, outils de calcul/simulation de pensions (présentation/pratique), études actuarielles (principes/résultats), rapports sur les régimes de retraite publics, études de cas de gestion/réforme des pensions publiques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul de droits à pension et liquidation pour un cas agent public. Analyse de l'équilibre financier d'un régime de retraite public (simplifié). Proposition de mesures d'adaptation face au vieillissement ou dans le cadre d'une réforme.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion financière et budgétaire des organismes de prévoyance,"Maîtriser les spécificités de la gestion financière, comptable (plan comptable spécifique) et budgétaire des organismes de prévoyance sociale (caisses de sécurité sociale, mutuelles...).",2 semaines (env. 70-80h),Solides connaissances en comptabilité générale/publique et/ou en finances publiques/gestion. Expérience dans un organisme de prévoyance sociale est un plus.,"Directeurs/Responsables financiers, comptables, contrôleurs de gestion, auditeurs internes/externes des organismes de prévoyance sociale, cadres des autorités de tutelle/contrôle.",Dans nos locaux / En ligne / Intra-entreprise,"Plan comptable spécifique (si existant), comptabilisation des cotisations/prestations, gestion de la trésorerie et des placements financiers, élaboration et suivi budgétaire, contrôle interne financier et comptable, reporting financier et prudentiel, analyse financière de l'organisme.","Supports de cours, plan comptable spécifique organismes prévoyance sociale, normes comptables/prudentielles applicables, logiciels de gestion financière/comptable (présentation), outils d'analyse financière/budgétaire, études de cas gestion financière organismes prévoyance sociale.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Enregistrement comptable d'opérations spécifiques (cotisations, prestations...). Élaboration d'un budget ou d'un état financier simple d'un organisme de prévoyance sociale. Analyse financière et identification des points de vigilance.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Suivi administratif des polices d'assurance et des sinistres,"Maîtriser les procédures administratives de suivi des contrats d'assurance (de la souscription à la résiliation) et de gestion administrative des dossiers sinistres (ouverture, instruction, règlement).",2 semaines (env. 70-80h),"Expérience en gestion administrative, secrétariat ou relation client, idéalement dans le secteur de l'assurance ou bancassurance. Rigueur et organisation.","Gestionnaires de contrats d'assurance (back-office), gestionnaires de sinistres (volet administratif), assistants commerciaux en assurance, personnel administratif des agences/courtiers d'assurance.",Dans nos locaux / En ligne / Intra-entreprise,"Cycle de vie d'un contrat d'assurance (émission, avenants, quittances, résiliation), ouverture et instruction administrative d'un dossier sinistre (collecte pièces, enregistrement), suivi des délais, gestion des correspondances (assurés, experts...), préparation des règlements.","Supports de cours, logiciels de gestion de contrats/sinistres (présentation), modèles de documents assurance (contrats, déclarations sinistre, courriers...), check-lists de suivi administratif, procédures internes type, bases de la réglementation assurance (Code des assurances).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Traitement administratif complet d'un dossier de souscription ou de sinistre simple (sur cas pratique). Rédaction de courriers administratifs types en assurance. Utilisation simulée d'un outil de gestion de contrats/sinistres.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Management de la santé et sécurité au travail,Comprendre les exigences de la norme OHSAS 18001:2007 et savoir mettre en place un Système de Management de la Santé/Sécurité au Travail (SMSST) pour maîtriser les risques professionnels. (Note: ISO 45001 remplace OHSAS 18001),2 semaines (env. 70-80h),Connaissance des bases de la prévention des risques professionnels ou expérience en HSE/Qualité.,"Responsables/Ingénieurs/Techniciens HSE/SST, responsables qualité intégrant la SST, consultants HSE/SST, auditeurs internes SST, membres CHSCT/CSE.",Dans nos locaux / En ligne / Intra-entreprise,"Présentation exigences OHSAS 18001 (politique SST, identification dangers/évaluation risques, objectifs, formation, communication, préparation urgences, audit...), méthodologie mise en œuvre SMSST, articulation avec autres normes. (Mentionner ISO 45001 comme successeur)","Supports de cours, Norme OHSAS 18001:2007 (accès/présentation), outils d'évaluation des risques professionnels (EvRP), exemples de documentation SMSST (politique, procédures...), guides d'implémentation. (Mentionner ISO 45001)",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,QCM sur les exigences OHSAS 18001. Étude de cas de mise en place d'un élément du SMSST (ex: évaluation des risques). Élaboration d'une ébauche de politique SST. Discussion sur les différences clés avec ISO 45001.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Mettre en place un système d'indemnisation des dommages corporels,"Maîtriser les principes et les mécanismes de mise en place et de gestion des systèmes d'indemnisation des préjudices corporels consécutifs à des accidents (travail, circulation, vie privée...).",2 semaines (env. 70-80h),"Formation juridique (droit de la responsabilité, droit des assurances) ou expérience confirmée en gestion de sinistres corporels ou en expertise médicale/corporelle.","Gestionnaires de sinistres corporels (assurances, organismes sociaux), juristes spécialisés dommage corporel, médecins experts, avocats de victimes/assureurs, responsables de service indemnisation.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre juridique de l'indemnisation (responsabilité civile, régimes spéciaux AT/MP, loi Badinter...), nomenclature des préjudices corporels (Dintilhac...), processus d'évaluation médico-légale, méthodes de chiffrage des préjudices, processus d'offre/transaction/règlement judiciaire.","Supports de cours juridiques et techniques, nomenclature Dintilhac, barèmes d'indemnisation (indicatifs), guides d'évaluation médico-légale, jurisprudence en matière de dommage corporel, études de cas complexes d'indemnisation.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'un dossier d'accident corporel et identification des préjudices indemnisables selon la nomenclature Dintilhac. Calcul simplifié d'indemnisation pour certains postes de préjudice. Simulation de négociation d'une offre d'indemnisation.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Pratique du partage des risques et de la réassurance,"Maîtriser les techniques de partage des risques (coassurance, pools...) et les mécanismes de la réassurance (traités, facultative) utilisés par les assureurs pour gérer leur exposition et optimiser leur capital.",2 semaines (env. 70-80h),"Solide formation en assurance ou actuariat, ou expérience confirmée en souscription, actuariat, gestion des risques ou finance dans une compagnie d'assurance/réassurance/courtage.","Souscripteurs (risques importants), actuaires, gestionnaires de risques assurance, responsables financiers/comptables assurance, courtiers en réassurance, personnel des départements réassurance (cédantes/réassureurs).",Dans nos locaux / En ligne / Intra-entreprise,"Techniques de partage de risques (coassurance...), principes de la réassurance, types de traités (proportionnels: quote-part, excédent de pleins ; non-proportionnels: excédent de sinistres - XL, stop loss), réassurance facultative, aspects comptables/financiers/prudentiels (S2).","Supports de cours, modèles de traités de réassurance, techniques de tarification de la réassurance (bases), normes comptables/prudentielles (IFRS 17, Solvabilité II - volet réassurance), études de cas de programmes de réassurance, glossaire réassurance.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un programme de réassurance simple (proportionnel et/ou non-proportionnel) pour couvrir un portefeuille de risques. Analyse de l'impact de la réassurance sur le bilan et le ratio de solvabilité d'un assureur.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion de la branche vieillesse en prévoyance sociale,"Maîtriser la gestion spécifique de la branche vieillesse (retraite de base et complémentaire) au sein des organismes de prévoyance sociale : liquidation des droits, gestion des carrières, paiement des pensions...",2 semaines (env. 70-80h),Expérience en gestion des retraites ou prestations sociales. Connaissance du cadre réglementaire de la branche vieillesse concernée.,"Gestionnaires de carrière/retraite, liquidateurs de pensions, responsables de service prestations vieillesse dans les caisses de sécurité sociale/retraite complémentaire, conseillers retraite.",Dans nos locaux / En ligne / Intra-entreprise,"Réglementation de la branche vieillesse (conditions d'ouverture des droits, calcul...), reconstitution et validation des carrières, processus de liquidation des pensions, gestion des paiements et des réversions, gestion de la relation avec les retraités, contrôle et lutte contre la fraude.","Supports de cours, réglementation spécifique branche vieillesse, outils de calcul/simulation de pension (présentation/pratique), logiciels de gestion des retraites (présentation), procédures internes type (liquidation, paiement...), études de cas de gestion de dossiers retraite.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul des droits à retraite et liquidation d'une pension pour un cas assuré type. Traitement d'une demande de réversion. Analyse d'un dossier de carrière complexe. Identification des points de contrôle anti-fraude.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Mécanismes du système de protection sociale contributif,"Comprendre en profondeur les mécanismes de financement (cotisations), de gestion et de distribution des prestations des systèmes de protection sociale basés sur les contributions (assurance sociale).",2 semaines (env. 70-80h),"Formation en économie, droit social, sociologie ou sciences politiques. Intérêt pour les systèmes de protection sociale.","Cadres des organismes de protection sociale, fonctionnaires des ministères sociaux/finances, chercheurs en protection sociale, représentants syndicaux/patronaux, journalistes spécialisés social, consultants en protection sociale.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de l'assurance sociale (Bismarckien), financement par cotisations (assiette, taux, recouvrement), gestion des différentes branches (maladie, vieillesse, famille, chômage...), mécanismes de redistribution (implicite/explicite), gouvernance paritaire, défis (vieillissement, emploi...).","Supports de cours, modèles théoriques de protection sociale contributive, cadres légaux et réglementaires des systèmes existants (ex: France, Allemagne...), données statistiques sur les systèmes contributifs, analyses comparatives internationales, études prospectives.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse comparative du fonctionnement de différents systèmes de protection sociale contributifs. Discussion sur les avantages/inconvénients du modèle contributif face aux défis actuels. Proposition de réformes pour un système contributif.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Management des organismes de protection sociale en Afrique,"Maîtriser les spécificités du management stratégique et opérationnel des organismes de protection sociale en Afrique (gouvernance, performance, extension couverture, digitalisation...).",2 semaines (env. 70-80h),Expérience confirmée en management dans le secteur de la protection sociale ou l'administration publique en Afrique.,"Dirigeants et cadres supérieurs des organismes de protection sociale africains, membres des CA, cadres des ministères de tutelle (travail, affaires sociales...), consultants spécialisés protection sociale Afrique, chercheurs.",Dans nos locaux / En ligne / Intra-entreprise,"Enjeux protection sociale Afrique (faible couverture, informalité...), gouvernance (transparence, redevabilité), management stratégique (extension couverture, pérennité), optimisation processus (recouvrement, prestations), gestion risques spécifiques, digitalisation services.","Supports de cours, cadres référence (OIT, AISS...), études de cas organismes protection sociale africains (bonnes pratiques, défis), outils diagnostic/planification stratégique, exemples réformes/modernisations en Afrique, plateformes digitales protection sociale (présentation).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse stratégique d'un organisme de protection sociale africain. Proposition d'un plan d'action pour étendre la couverture ou améliorer la gouvernance. Identification des leviers de la digitalisation pour l'organisme.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
PS-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Évaluation et paiement des cotisations sociales,"Maîtriser les règles de calcul de l'assiette, les taux et les modalités de déclaration et de paiement des cotisations sociales dues par les employeurs et les travailleurs indépendants.",2 semaines (env. 70-80h),Connaissance de base de la paie et/ou de la comptabilité. Expérience en gestion administrative du personnel ou en tant que travailleur indépendant.,"Gestionnaires de paie, comptables, responsables RH/Admin Personnel, travailleurs indépendants, experts-comptables, conseillers aux entreprises, agents des organismes de recouvrement (URSSAF...).",Dans nos locaux / En ligne / Intra-entreprise,"Définition de l'assiette des cotisations sociales, calcul des différentes cotisations (maladie, vieillesse, chômage, famille...), taux applicables, exonérations et réductions, processus de déclaration sociale (DSN...), modalités et échéances de paiement, contrôle et contentieux URSSAF.","Supports de cours, code de la sécurité sociale (parties cotisations), barèmes de cotisations à jour, logiciels de paie (volet cotisations - présentation), système de déclaration sociale nominative (DSN - présentation), formulaires de déclaration/paiement, études de cas calcul/déclaration.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Calcul des cotisations sociales sur un bulletin de paie ou pour un travailleur indépendant. Remplissage (simulé) d'une déclaration sociale. Identification des points de vigilance pour assurer la conformité des déclarations et paiements.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
