ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
QM-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Communication gouvernementale et performance de l'administration,"Comprendre les nouveaux enjeux (transparence, digital, participation citoyenne...) et maîtriser les stratégies/outils de la communication gouvernementale pour renforcer la légitimité et la performance de l'action publique.",2 semaines (env. 70-80h),"Expérience en communication publique, relations institutionnelles, administration publique ou journalisme politique.","Responsables/chargés de communication (gouvernement, ministères, institutions publiques), conseillers en communication politique, porte-paroles, hauts fonctionnaires, consultants en communication publique.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des enjeux contemporains, stratégies de communication gouvernementale (interne/externe), communication de crise publique, communication digitale gouvernementale, relation presse et médias, mesure de l'impact de la communication publique.","Supports de cours, études de cas de communication gouvernementale (nationale/internationale), outils d'analyse d'opinion/médias, plateformes de communication digitale gouvernementale (présentation), simulations de communication de crise/conférence de presse.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie de communication gouvernementale pour un projet ou une politique publique. Analyse critique d'une campagne de communication gouvernementale. Simulation de gestion de communication de crise publique.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques d'études et d'enquêtes commerciales,"Maîtriser la méthodologie et les techniques des études et enquêtes commerciales (quantitatives et qualitatives) pour collecter, analyser et interpréter des données pertinentes sur un marché ou une clientèle.",2 semaines (env. 70-80h),"Formation en marketing, statistiques ou sciences sociales, ou expérience en études de marché/marketing. Connaissance des bases statistiques.","Chargés d'études marketing/commerciales, chefs de produit, responsables marketing, consultants marketing, analystes de marché, créateurs d'entreprise.",Dans nos locaux / En ligne / Intra-entreprise,"Définition de la problématique et des objectifs de l'étude, méthodologies quantitatives (questionnaires, échantillonnage...) et qualitatives (entretiens, focus groups...), techniques d'administration (téléphone, online...), analyse statistique des données (bases), rédaction du rapport.","Supports de cours, logiciels d'enquête (présentation Sphinx, SurveyMonkey...), logiciels d'analyse statistique (Excel - fonctions stats, SPSS - présentation), guides méthodologiques études quanti/quali, exemples de questionnaires/guides d'entretien/rapports d'études.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un questionnaire ou d'un guide d'entretien pour une étude commerciale donnée. Analyse et interprétation de résultats d'enquête (fournis). Rédaction des conclusions et recommandations d'une étude.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Piloter un plan de communication multicanal,"Savoir élaborer, piloter et évaluer un plan de communication intégré multicanal (médias traditionnels, digitaux/réseaux sociaux, hors-média) pour atteindre les objectifs de communication fixés.",2 semaines (env. 70-80h),Expérience en communication ou marketing. Bonne connaissance des différents médias et de leurs spécificités.,"Responsables/chargés de communication, responsables marketing, chefs de projet communication, consultants en communication, community managers souhaitant élargir leurs compétences.",Dans nos locaux / En ligne / Intra-entreprise,"Définition des objectifs et cibles de communication, élaboration de la stratégie de communication 360°, choix des canaux (média/digital/hors-média), planification et budgétisation des actions, création des messages clés, mesure de la performance (KPIs) et ajustement du plan.","Supports de cours, outils de planification média, plateformes de gestion des réseaux sociaux/publicité digitale (présentation), indicateurs clés de performance (KPIs) communication, études de cas de plans de communication intégrés, modèles de plans de communication.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de communication multicanal pour un lancement de produit ou un événement. Définition des KPIs et conception d'un tableau de bord de suivi. Analyse critique d'un plan de communication existant.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Community management : outils et techniques,"Maîtriser les techniques et outils du community management pour animer et développer une communauté en ligne, gérer l'e-réputation et optimiser la visibilité de l'entreprise sur les réseaux sociaux.",2 semaines (env. 70-80h),Bonne maîtrise des réseaux sociaux à titre personnel ou professionnel. Bonnes capacités rédactionnelles et relationnelles. Aisance avec le web.,"Community managers, chargés de communication digitale, responsables marketing digital, social media managers, entrepreneurs souhaitant gérer leur présence en ligne.",Dans nos locaux / En ligne / Intra-entreprise,"Stratégie de présence sur les réseaux sociaux, création et curation de contenu engageant (texte, image, vidéo), animation de communauté (modération, interaction...), gestion de la publicité sur les réseaux sociaux (bases), mesure de la performance (KPIs), outils du community manager.","Supports de cours, plateformes de gestion des réseaux sociaux (Hootsuite, Buffer...), outils de création graphique/vidéo simples (Canva...), outils d'analyse d'audience/performance réseaux sociaux, bonnes pratiques par plateforme (Facebook, LinkedIn, Instagram...), études de cas.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie éditoriale et d'un calendrier de publication pour une marque sur les réseaux sociaux. Création de contenus engageants. Simulation de gestion de crise ou de modération de commentaires. Analyse des statistiques d'une page/compte social.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Exploiter les médias pour un meilleur positionnement,"Comprendre le fonctionnement des médias (presse, TV, radio, web) et maîtriser les techniques de relations presse et médias pour obtenir une couverture médiatique favorable et renforcer son positionnement.",2 semaines (env. 70-80h),"Expérience en communication, relations publiques ou marketing. Bonnes capacités rédactionnelles et aisance relationnelle.","Responsables/attachés de presse, responsables communication/relations publiques, dirigeants d'entreprise/porte-paroles, consultants en relations médias.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama des médias et de leurs attentes, élaboration d'une stratégie de relations médias, rédaction d'outils presse (communiqué, dossier...), organisation d'événements presse (conférence, voyage...), media training (bases), gestion des relations avec les journalistes, mesure des retombées.","Supports de cours, outils de veille médiatique/contacts presse (présentation), modèles de communiqués/dossiers de presse, techniques de media training (simulation d'interview), études de cas de campagnes de relations médias réussies (ou non).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie de relations médias pour un événement ou une annonce. Rédaction d'un communiqué de presse percutant. Simulation d'une interview avec un journaliste. Analyse des retombées médias d'une campagne.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-006,"À partir de €6,899","Paris, Sud de la France, Dubaï","E-réputation, personal branding et communication de crise","Maîtriser les techniques pour construire et gérer son e-réputation et son personal branding (marque personnelle) en ligne, et savoir réagir efficacement en cas de communication de crise digitale (bad buzz...).",2 semaines (env. 70-80h),"Bonne maîtrise des outils digitaux (réseaux sociaux, web). Intérêt pour la communication et la gestion de l'image.","Professionnels souhaitant développer leur marque personnelle (cadres, experts, entrepreneurs...), responsables communication/marketing digital, community managers, consultants en e-réputation/communication de crise.",Dans nos locaux / En ligne / Intra-entreprise,"Audit d'e-réputation, stratégie de personal branding (positionnement, contenus...), optimisation des profils en ligne (LinkedIn...), veille e-réputation, gestion des avis négatifs/bad buzz, communication de crise digitale (processus, messages clés), aspects juridiques (bases).","Supports de cours, outils de veille e-réputation (Mention, Alerti...), plateformes de réseaux sociaux professionnels (LinkedIn), techniques de création de contenu (blogging...), modèles de communication de crise, études de cas d'e-réputation et de crises digitales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un audit de sa propre e-réputation (ou d'une marque). Élaboration d'une stratégie de personal branding. Conception d'un plan de communication de crise pour un scénario digital.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",La communication digitale pour les non-spécialistes,"Acquérir une compréhension globale des enjeux et des principaux outils de la communication digitale (site web, réseaux sociaux, email, référencement...) pour pouvoir dialoguer avec des spécialistes et piloter des actions.",2 semaines (env. 70-80h),Aucune connaissance technique préalable requise. Utilisation courante d'internet. Intérêt pour le digital.,"Managers, responsables marketing/communication non spécialistes du digital, entrepreneurs, personnel administratif impliqué dans la communication.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama des outils digitaux (site web, SEO/SEA, réseaux sociaux, emailing, contenu...), définition d'une stratégie digitale simple (objectifs, cibles, canaux), indicateurs clés de performance (KPIs) digitaux, bonnes pratiques, tendances digitales.","Supports de cours didactiques et vulgarisés, glossaire du digital, présentation des principaux outils et plateformes (Google Analytics, Facebook Ads...), exemples de stratégies digitales réussies, exercices simples d'analyse de KPIs.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse critique de la présence digitale d'une entreprise. Définition d'objectifs et choix de canaux digitaux pertinents pour une PME. Interprétation de KPIs digitaux simples.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Inbound marketing : stratégies pour attirer les clients,"Maîtriser la méthodologie de l'inbound marketing (attirer, convertir, conclure, fidéliser) et les outils associés (SEO, marketing de contenu, landing pages, emailing...) pour générer des leads qualifiés.",2 semaines (env. 70-80h),Connaissance du marketing digital de base. Intérêt pour la création de contenu et l'approche centrée client.,"Responsables marketing digital/acquisition/génération de leads, content managers, consultants en marketing digital, entrepreneurs B2B/B2C.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie inbound (attirer: SEO, blog, réseaux sociaux; convertir: landing pages, formulaires, CTA; conclure: emailing, CRM; fidéliser: contenu personnalisé...), création de personas, marketing de contenu, lead nurturing, outils d'automatisation marketing (bases).","Supports de cours, outils SEO (SEMrush - présentation), plateformes de blogging (Wordpress...), outils d'emailing/marketing automation (Mailchimp, Hubspot - présentation), modèles de personas/landing pages, études de cas inbound marketing.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Création de personas pour une cible donnée. Élaboration d'une stratégie de contenu simple (blog, réseaux sociaux). Conception d'un scénario de lead nurturing.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit digital : analyser sa communication en ligne,"Savoir réaliser un audit complet de la présence et de la communication digitale d'une organisation (site web, SEO, réseaux sociaux, emailing...) pour identifier les points forts, les faiblesses et les axes d'amélioration.",2 semaines (env. 70-80h),Bonne connaissance des différents leviers de la communication digitale. Expérience en marketing digital ou en audit est un plus.,"Consultants en marketing digital, responsables marketing/communication digital, auditeurs internes (volet digital), chefs de projet digital, agences digitales.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie d'audit digital (périmètre, objectifs, référentiel), audit du site web (ergonomie, UX, SEO technique...), audit SEO (positionnement, backlinks...), audit réseaux sociaux (engagement, pertinence...), audit emailing/contenu, analyse concurrentielle digitale, rapport d'audit.","Supports de cours, check-lists d'audit digital par levier, outils d'analyse SEO (Google Analytics, Search Console, SEMrush...), outils d'analyse réseaux sociaux, outils d'audit de site web (GTmetrix...), modèles de rapports d'audit digital.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un audit digital simplifié d'un site web ou d'une présence sur les réseaux sociaux. Identification des principaux points forts/faibles et formulation de recommandations priorisées.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
QM-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Piloter la transformation digitale : outils et techniques,"Maîtriser les techniques (gestion de projet agile, conduite du changement...) et les outils (collaboratifs, suivi...) pour piloter efficacement les projets de transformation digitale au sein d'une organisation.",2 semaines (env. 70-80h),Expérience en gestion de projet et/ou en management. Compréhension des enjeux de la transformation digitale.,"Chefs de projet transformation digitale, directeurs/responsables du digital, managers impliqués dans la transformation, consultants en transformation digitale/organisation.",Dans nos locaux / En ligne / Intra-entreprise,"Enjeux et étapes de la transformation digitale, méthodes de gestion de projet adaptées (Agile, Scrum...), conduite du changement spécifique au digital (acculturation, formation...), outils collaboratifs et de gestion de projet digitaux, mesure de la performance et KPIs digitaux.","Supports de cours, méthodes agiles (Scrum, Kanban), outils de gestion de projet/collaboration (Trello, Jira, Teams...), techniques de conduite du changement digital, exemples de KPIs de transformation digitale, études de cas de projets de transformation digitale.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une feuille de route pour un projet de transformation digitale. Application d'une méthode agile (simplifiée) à un projet. Conception d'un plan d'accompagnement au changement pour un outil digital.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
