ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
RH-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Défis modernes du management et du capital humain,"Comprendre les nouveaux défis du management des RH (digitalisation, guerre des talents, RSE, agilité...) et développer des stratégies pour attirer, développer, engager et retenir le capital humain.",2 semaines (env. 70-80h),Expérience confirmée en GRH ou en management stratégique.,"DRH, Responsables Développement RH, Responsables Stratégie RH, consultants en management/RH, dirigeants d'entreprise.",Dans nos locaux / En ligne / Intra-entreprise,"Analyse des tendances RH et organisationnelles, stratégies de gestion des talents et hauts potentiels, développement du leadership, culture d'entreprise et engagement des collaborateurs, impact de la digitalisation et de l'IA sur les RH, RSE et éthique RH.","Supports de cours, articles de recherche/prospective RH, études de cas sur les nouvelles pratiques RH, outils de diagnostic de la maturité RH, benchmarks sectoriels, analyses de tendances (digital, RSE...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une feuille de route stratégique RH pour répondre aux nouveaux défis. Analyse critique des pratiques RH d'une organisation au regard des nouvelles tendances.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Le HR Business Partner : enjeux et tactiques RH,"Comprendre le rôle et la posture du HR Business Partner (HRBP), et maîtriser les compétences clés pour agir en partenaire stratégique et tactique auprès des managers opérationnels.",2 semaines (env. 70-80h),Expérience confirmée en GRH généraliste ou spécialisée. Bonne compréhension des enjeux business de l'organisation.,"Professionnels RH souhaitant évoluer vers un rôle de HRBP, HRBP en poste, Responsables RH, consultants RH, managers souhaitant mieux collaborer avec leur HRBP.",Dans nos locaux / En ligne / Intra-entreprise,"Définition et positionnement du HRBP, compétences clés (conseil RH, coaching managers, analyse business, conduite du changement RH...), traduction de la stratégie business en priorités RH opérationnelles, accompagnement des managers (performance, talents, conflits...).","Supports de cours, modèles de compétences HRBP, outils de diagnostic organisationnel/managérial, techniques de coaching/conseil, études de cas de missions HRBP, mises en situation (entretien conseil manager, animation d'atelier RH...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse d'une problématique opérationnelle et proposition d'une réponse RH en posture de HRBP. Simulation d'un entretien de conseil avec un manager. Élaboration d'un plan d'action pour renforcer sa posture de HRBP.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-003,"À partir de €6,899","Paris, Sud de la France, Dubaï","Marketing RH : construire une image de ""best employer""","Appliquer les techniques du marketing à la fonction RH pour développer une marque employeur attractive (""best employer""), attirer les talents et fidéliser les collaborateurs.",2 semaines (env. 70-80h),"Expérience en GRH (recrutement, communication interne...) ou en marketing/communication.","Responsables RH/Recrutement/Développement RH, chargés de communication RH/interne, responsables marketing souhaitant s'impliquer dans la marque employeur, consultants RH/communication.",Dans nos locaux / En ligne / Intra-entreprise,"Concept de marque employeur, diagnostic de l'image employeur (interne/externe), définition de la proposition de valeur employeur (PVE), stratégies de communication RH (candidats, collaborateurs), marketing digital RH (réseaux sociaux, site carrière...), mesure de l'attractivité.","Supports de cours, outils de diagnostic marque employeur, techniques de marketing et communication adaptées aux RH, exemples de campagnes marque employeur réussies, bonnes pratiques du marketing digital RH, indicateurs de performance marque employeur.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'une Proposition de Valeur Employeur (PVE). Conception d'un plan de communication pour renforcer la marque employeur sur une cible spécifique (ex: jeunes diplômés, experts techniques).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",La digitalisation RH : enjeux et opportunités,"Comprendre les enjeux stratégiques et opérationnels de la digitalisation des processus RH (recrutement, formation, paie, gestion des talents...) et identifier les opportunités et les risques pour la fonction RH.",2 semaines (env. 70-80h),Expérience en GRH ou en management SI. Intérêt pour les nouvelles technologies et la transformation digitale.,"DRH, Responsables RH, responsables SIRH, chefs de projet digitalisation RH, consultants RH/SIRH, managers impliqués dans la transformation digitale.",Dans nos locaux / En ligne / Intra-entreprise,"Panorama des outils digitaux RH (SIRH, ATS, LMS, plateformes collaboratives...), impact de la digitalisation sur les processus RH, enjeux de la data RH et de l'analytique RH, expérience collaborateur digitale, conduite du changement liée à la digitalisation RH, aspects sécurité/RGPD.","Supports de cours, présentation des solutions digitales RH du marché, guides sur la conduite de projet de digitalisation RH, exemples d'applications de l'analytique RH, études de cas de transformation digitale RH, focus sur la cybersécurité et la protection des données RH.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse des enjeux de la digitalisation pour un processus RH spécifique. Élaboration d'une feuille de route pour la digitalisation d'un aspect de la fonction RH. Identification des freins et leviers à la transformation digitale RH.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Piloter la réforme des conditions de travail,"Savoir diagnostiquer les conditions de travail (ergonomie, risques psychosociaux - RPS, organisation du travail...), piloter des projets de réforme et d'amélioration, en associant les parties prenantes.",2 semaines (env. 70-80h),"Expérience en GRH, HSE, management ou relations sociales. Connaissance de base de la réglementation sur les conditions de travail.","Responsables RH/Conditions de travail/HSE, médecins du travail, préventeurs de risques professionnels, représentants du personnel (CHSCT/CSE), managers, consultants en organisation/conditions de travail.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic des conditions de travail (méthodes d'analyse ergonomique, évaluation RPS...), cadre légal et réglementaire, conception de projets d'amélioration (aménagement postes, organisation temps de travail, prévention RPS...), conduite du changement et dialogue social associé.","Supports de cours, outils de diagnostic ergonomique/RPS, guides méthodologiques sur l'amélioration des conditions de travail (ANACT...), réglementation santé/sécurité au travail, exemples de plans d'action conditions de travail, techniques d'animation participative.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un diagnostic simplifié des conditions de travail sur un cas donné. Élaboration d'un plan d'action pour améliorer un aspect des conditions de travail (ex: prévention RPS).,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques modernes de recrutement,"Maîtriser les techniques et outils modernes de recrutement pour attirer, évaluer et sélectionner les meilleurs candidats : sourcing digital, entretien structuré, évaluation des compétences comportementales, marque employeur.",2 semaines (env. 70-80h),Expérience en recrutement ou en GRH. Aisance avec les outils digitaux.,"Recruteurs, chargés de recrutement, responsables RH, chasseurs de têtes, consultants en recrutement, managers impliqués dans le processus de recrutement.",Dans nos locaux / En ligne / Intra-entreprise,"Sourcing multicanal (job boards, réseaux sociaux pro, approche directe...), techniques d'entretien structuré/comportemental (STAR...), évaluation des soft skills, utilisation des tests (personnalité, aptitudes...), marketing de l'offre d'emploi, expérience candidat, aspects légaux.","Supports de cours, outils de sourcing digital (ATS, LinkedIn Recruiter...), guides d'entretien structuré, exemples de tests psychométriques (présentation), techniques de marketing RH, bonnes pratiques expérience candidat, législation anti-discrimination.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie de sourcing pour un profil difficile. Conception d'une grille d'entretien structuré. Simulation d'entretien comportemental. Analyse d'un processus de recrutement et proposition d'améliorations.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Négociations et relations sociales,"Maîtriser le cadre légal et les techniques de négociation sociale avec les représentants du personnel (syndicats, CSE...) pour maintenir un dialogue social constructif et gérer les relations collectives.",2 semaines (env. 70-80h),Formation juridique (droit social) ou expérience confirmée en GRH avec une dimension relations sociales.,"DRH, Responsables Relations Sociales, juristes en droit social, consultants RH spécialisés relations sociales, directeurs d'établissement, négociateurs syndicaux (pour comprendre la partie adverse).",Dans nos locaux / En ligne / Intra-entreprise,"Cadre légal des relations collectives (représentation du personnel, négociation obligatoire...), préparation et conduite des négociations sociales (NAO, accords d'entreprise...), techniques de négociation collective, gestion des conflits sociaux, communication avec les IRP.","Supports de cours, code du travail (relations collectives), accords nationaux interprofessionnels (ANI), techniques de négociation collective, guides sur le dialogue social, jurisprudence en droit social collectif, études de cas de négociations sociales.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Préparation d'une stratégie de négociation pour un accord d'entreprise. Simulation d'une réunion de négociation avec les représentants du personnel. Analyse d'un accord collectif.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Méthodologie et pratique de l'audit social,"Acquérir la méthodologie et les outils pour réaliser un audit social : diagnostic des pratiques RH, évaluation de la conformité légale/conventionnelle, mesure du climat social et identification des risques sociaux.",2 semaines (env. 70-80h),Expérience confirmée en GRH ou en audit (interne/externe). Connaissance du droit social et des processus RH.,"Auditeurs internes/externes spécialisés RH/social, consultants RH, DRH/Responsables RH souhaitant auditer leurs pratiques, contrôleurs de gestion sociale.",Dans nos locaux / En ligne / Intra-entreprise,"Démarche d'audit social (objectifs, périmètre, référentiel), techniques de collecte d'information (entretiens, questionnaires, analyse documentaire), audit de conformité RH, audit des processus RH clés, analyse du climat social, rapport d'audit social.","Supports de cours, méthodologie d'audit social, référentiels d'audit RH (bases RSE possibles), outils de diagnostic climat social (enquêtes...), check-lists d'audit de conformité RH, exemples de rapports d'audit social, indicateurs sociaux.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'un plan d'audit social pour un domaine RH spécifique (ex: recrutement, formation). Analyse de données sociales et identification de points d'alerte. Rédaction de conclusions et recommandations d'audit social.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion opérationnelle quotidienne des RH,"Maîtriser les tâches et processus clés de l'administration du personnel et de la gestion RH opérationnelle : contrats, paie (bases), gestion des temps, absences, formation, relations avec les salariés...",2 semaines (env. 70-80h),Première expérience en assistanat RH/paie/admin personnel ou fonction administrative polyvalente. Rigueur et organisation.,"Assistants RH, gestionnaires administration du personnel, gestionnaires paie (niveau débutant/intermédiaire), secrétaires RH, office managers avec tâches RH.",Dans nos locaux / En ligne / Intra-entreprise,"Gestion administrative de l'embauche au départ (contrats, DPAE, affiliations...), bases de la paie et des déclarations sociales simples, gestion des temps et des absences (congés, maladie...), suivi administratif de la formation, gestion des dossiers du personnel, réponses aux salariés.","Supports de cours pratiques, code du travail (points essentiels pour l'admin du personnel), modèles de contrats/documents administratifs RH, logiciels de paie/SIRH (initiation/démonstration), check-lists pour processus admin RH, exercices pratiques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Gestion administrative d'un dossier d'embauche ou de départ. Calcul d'éléments simples de paie. Traitement de demandes courantes des salariés. Utilisation simulée d'un SIRH pour tâches administratives.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
RH-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Audit de la paie et des rémunérations,"Acquérir la méthodologie pour auditer le processus de paie et la politique de rémunération : conformité légale/conventionnelle, fiabilité des calculs, optimisation des charges, équité interne/externe.",2 semaines (env. 70-80h),Expérience confirmée en gestion de la paie et/ou en audit/contrôle de gestion sociale. Solides connaissances en droit social et paie.,"Auditeurs internes/externes spécialisés paie/social, responsables paie/rémunération, contrôleurs de gestion sociale, consultants paie/rémunération, experts-comptables.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie d'audit de la paie (contrôles de cohérence, de conformité...), audit de la politique de rémunération (compétitivité, équité...), contrôle des charges sociales et fiscales, analyse des risques liés à la paie/rémunération, recommandations d'optimisation.","Supports de cours, check-lists d'audit paie/rémunération, outils d'analyse de données de paie, réglementation paie/social/fiscal à jour, benchmarks de rémunération (présentation), études de cas d'audits paie/rémunération.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un plan d'audit pour le processus de paie. Analyse de données de paie pour identifier des anomalies ou des risques. Évaluation de la conformité d'une politique de rémunération.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
