ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
SAG-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Management de haut niveau pour assistants et secrétaires,"Développer les compétences managériales, organisationnelles et relationnelles spécifiques pour assister efficacement les hauts dirigeants : gestion des priorités complexes, communication stratégique, anticipation, interface.",2 semaines (env. 70-80h),"Expérience confirmée en tant qu'assistant(e) de direction, idéalement dans un environnement de haut niveau (public ou privé). Discrétion absolue, sens politique et organisationnel aigu.","Assistant(e)s et secrétaires de Direction Générale, de Cabinets Ministériels, de Présidence (République, CA...), de Secrétariats Généraux, et autres postes d'assistanat de très haut niveau.",Dans nos locaux / En ligne / Intra-entreprise,"Gestion du temps et des priorités stratégiques du dirigeant, techniques de communication d'influence et de diplomatie, organisation d'agendas complexes/déplacements officiels/événements de haut niveau, filtrage/synthèse d'informations sensibles, gestion des relations interpersonnelles clés.","Supports de cours (niveau expert), outils avancés de gestion du temps/priorités, techniques de communication interpersonnelle/assertivité, études de cas de situations complexes en haute administration, mises en situation spécifiques (gestion de crise, interface...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse de cas complexes de gestion d'agenda ou de communication en haute administration. Mise en situation de gestion d'une interface délicate ou d'une demande urgente.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-002,"À partir de €6,899","Paris, Sud de la France, Dubaï","Gestion du courrier, archivage et GED","Maîtriser le cycle de vie du document (papier/électronique), de la réception/création à l'archivage final, en appliquant les techniques de classement, les règles d'archivage et les fonctionnalités d'une GED.",2 semaines (env. 70-80h),Expérience administrative ou en secrétariat. Bonne maîtrise de l'outil informatique bureautique.,"Secrétaires, assistants administratifs, archivistes débutants, gestionnaires de documents (records managers), personnel en charge du courrier, du classement et de l'archivage dans les organisations.",Dans nos locaux / En ligne / Intra-entreprise,"Traitement du courrier (enregistrement, tri, diffusion), techniques de classement (plan de classement), règles d'archivage (durées de conservation, sort final), principes et fonctionnalités de la GED (capture, indexation, recherche, workflow, sécurité), archivage électronique.","Supports de cours, logiciels de GED (présentation/démonstration), exemples de plans de classement/tableaux de gestion d'archives, normes d'archivage (ISO 15489 - présentation), exercices pratiques de classement/indexation/recherche.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'un plan de classement simple. Mise en situation d'utilisation d'une GED (indexation, recherche). Application des règles de conservation sur des documents types.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-003,"À partir de €6,899","Paris, Sud de la France, Dubaï","Prise de notes, conduite et organisation de réunions","Maîtriser les techniques efficaces de prise de notes, savoir préparer, animer et suivre une réunion productive, et organiser de manière professionnelle différents types de rencontres (réunions, entretiens...).",2 semaines (env. 70-80h),Fonctions impliquant la participation ou l'organisation de réunions et la rédaction de comptes rendus.,"Assistants(es) de direction, secrétaires, chargés de mission, chefs de projet, managers de proximité, et toute personne amenée à organiser ou participer activement à des réunions.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodes de prise de notes (linéaire, mind mapping...), préparation d'une réunion (ordre du jour, logistique), techniques d'animation et de gestion du temps en réunion, rédaction de comptes rendus/relevés de décisions, organisation logistique de rencontres/entretiens.","Supports de cours, modèles d'ordre du jour/compte rendu/PV, techniques de mind mapping, check-lists d'organisation de réunion, mises en situation (prise de notes rapide, animation de séquence de réunion).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Prise de notes efficace sur un enregistrement audio/vidéo. Préparation et animation (simulée) d'une courte réunion. Rédaction d'un compte rendu ou d'un relevé de décisions clair et concis.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",L'audit archivistique et documentaire,"Acquérir la méthodologie et les outils pour conduire un audit documentaire complet : évaluation des pratiques de gestion documentaire, analyse des fonds d'archives (physiques/électroniques), et formulation de recommandations.",2 semaines (env. 70-80h),Formation en archivistique/gestion documentaire ou expérience confirmée en tant qu'archiviste/records manager. Connaissance des normes (ISO 15489...).,"Archivistes confirmés, records managers, consultants en archivistique/gestion documentaire, responsables des archives/documentation, auditeurs internes (volet documentaire).",Dans nos locaux / En ligne / Intra-entreprise,"Méthodologie d'audit documentaire (préparation, collecte d'information, analyse, rapport), évaluation de la conformité (légale, normative), analyse des risques documentaires, audit des processus de records management, audit des systèmes (GED/SAE), préconisations.","Supports de cours (niveau expert), Norme ISO 15489 et autres normes pertinentes (ISO 30300...), méthodologie d'audit, grilles d'analyse/questionnaires d'audit, outils d'analyse de fonds d'archives, études de cas d'audits documentaires.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan d'audit documentaire pour une organisation. Analyse critique d'une situation documentaire et formulation de recommandations argumentées. Simulation d'entretien d'audit.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Conduire un projet de numérisation d'archives (GED),"Maîtriser les étapes clés de la conduite d'un projet de numérisation d'archives et de documents : étude préalable, choix techniques, préparation des fonds, pilotage de la prestation, intégration en GED/SAE.",2 semaines (env. 70-80h),Expérience en archivistique/gestion documentaire ou en gestion de projet. Connaissance des bases de la GED/archivage électronique.,"Archivistes, records managers, chefs de projet dématérialisation/numérisation, responsables des services documentation/archives, consultants en transformation digitale.",Dans nos locaux / En ligne / Intra-entreprise,"Étude d'opportunité et de faisabilité, définition du périmètre et des objectifs, aspects juridiques (valeur probante), choix des formats/résolutions, préparation matérielle des documents, contrôle qualité, indexation, intégration et pérennisation des fichiers numériques.","Supports de cours, normes de numérisation (NF Z42-026...), guides pratiques de projets de numérisation, cahier des charges type pour prestataire de numérisation, outils de contrôle qualité, aspects liés aux Systèmes d'Archivage Électronique (SAE).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un cahier des charges simplifié pour un projet de numérisation. Conception d'un plan de contrôle qualité pour la numérisation. Analyse des risques d'un projet de numérisation.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Le records management à l'ère du numérique,Comprendre le rôle stratégique de la communication pour valoriser les services d'archives/documentation et promouvoir les bonnes pratiques de Records Management (RM) à l'ère numérique.,2 semaines (env. 70-80h),"Expérience en archivistique, gestion documentaire ou records management. Bonnes capacités de communication.","Archivistes, documentalistes, records managers, responsables de services archives/documentation, chargés de communication interne souhaitant promouvoir le RM.",Dans nos locaux / En ligne / Intra-entreprise,"Marketing des services d'archives/documentation, communication interne sur les politiques/procédures RM, sensibilisation et formation des utilisateurs (e-learning, ateliers...), communication digitale (intranet, réseaux sociaux pro...), valorisation des fonds (expositions virtuelles...).","Supports de cours, techniques de communication et de marketing des services, outils de communication digitale, exemples de plans de communication archives/RM, guides de sensibilisation au RM, études de cas de valorisation numérique.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un plan de communication pour promouvoir une nouvelle politique d'archivage ou un service documentaire. Conception d'une action de sensibilisation au Records Management pour les collaborateurs.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Organisation personnelle et performance pour secrétaires,"Maîtriser les techniques d'organisation personnelle (gestion du temps, des priorités, de l'espace de travail) et les outils pour optimiser son efficacité et sa performance au quotidien.",2 semaines (env. 70-80h),Exercer une fonction de secrétariat ou d'assistanat. Volonté d'améliorer son organisation personnelle.,"Secrétaires, assistants(es) de direction, assistants administratifs, office managers, et toute personne souhaitant améliorer son organisation et sa gestion du temps.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic de sa gestion du temps, techniques de priorisation (Eisenhower, Pareto...), planification et gestion d'agenda, organisation de l'espace de travail (physique/numérique), gestion des interruptions et des imprévus, outils d'organisation (to-do lists, Trello...), gestion du stress.","Supports de cours, outils et méthodes de gestion du temps/priorités (matrices, GANTT simple...), techniques d'organisation (5S...), applications/logiciels d'organisation (présentation), exercices d'auto-diagnostic et de planification personnelle.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'un diagnostic personnel de gestion du temps et élaboration d'un plan d'action d'amélioration. Mise en pratique d'outils d'organisation sur des cas concrets. Simulation de gestion des priorités multiples.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Assister efficacement plusieurs managers,"Développer les compétences spécifiques pour gérer efficacement les demandes et priorités de plusieurs managers simultanément, en maintenant un haut niveau de service et de communication.",2 semaines (env. 70-80h),"Expérience en assistanat de direction, idéalement déjà confronté(e) à l'assistanat multiple ou en pool. Excellente organisation et communication.","Assistants(es) de direction travaillant pour plusieurs managers, assistants(es) en pool, office managers supervisant des assistants.",Dans nos locaux / En ligne / Intra-entreprise,"Techniques de priorisation multi-sources, communication et négociation avec les managers (gestion des attentes), outils d'organisation partagés (agendas, tâches...), anticipation et proactivité, gestion des conflits de priorités, maintien de la confidentialité.","Supports de cours, outils de gestion de tâches partagées (présentation), techniques de communication assertive/négociation, méthodes de priorisation avancées, études de cas d'assistanat multiple, mises en situation (gestion de demandes contradictoires).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une stratégie d'organisation personnelle pour gérer plusieurs managers. Mise en situation de négociation de délais ou de priorités avec différents managers.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Maîtriser Office 2019 pour assistants de direction,"Maîtriser les fonctionnalités avancées et astuces d'Office 2019 (Word, Excel, PowerPoint, Outlook) pour optimiser l'efficacité et la productivité dans les tâches quotidiennes d'assistanat/secrétariat.",2 semaines (env. 70-80h),Utilisation régulière de la suite Office (niveau intermédiaire). Version 2019 ou compatible recommandée pour les exercices.,"Assistants(es) de direction, secrétaires, assistants administratifs souhaitant perfectionner leur maîtrise d'Office 2019 ou version proche (365).",Dans nos locaux / En ligne / Intra-entreprise,"Perfectionnement Word (styles, modèles, publipostage, longs documents...), Excel (fonctions avancées, TCD, graphiques, listes...), PowerPoint (présentations pro, masques, animations...), Outlook (gestion avancée emails/agenda/tâches/contacts...), intégration entre outils.","Salle informatique équipée d'Office 2019 (ou 365), supports de cours avec exercices pratiques progressifs, cas concrets issus du quotidien des assistants (rapports, mailings, présentations, planning...), formateur expert Office.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Réalisation d'exercices pratiques complexes sur chaque logiciel. Création de documents professionnels (modèle Word, présentation PPT, tableau Excel avec TCD) en utilisant les fonctionnalités avancées.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SAG-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Conduire un projet d'archivage mixte,Définir et mettre en œuvre une stratégie de gouvernance documentaire intégrant la gestion cohérente des documents et archives papier et électroniques (archivage mixte).,2 semaines (env. 70-80h),Expérience confirmée en archivistique/records management. Connaissance des enjeux de l'archivage physique et électronique.,"Responsables des archives/documentation/RM, chefs de projet dématérialisation/archivage, consultants en gouvernance de l'information, DSI/RSSI impliqués dans l'archivage électronique.",Dans nos locaux / En ligne / Intra-entreprise,"Principes de gouvernance documentaire, élaboration d'une politique d'archivage mixte, définition des processus hybrides (capture, conservation, accès...), choix et intégration des outils (GED, SAE, logiciel archives papier), gestion des risques et conformité légale.","Supports de cours, normes clés (ISO 15489, NF Z42-013...), guides sur la gouvernance de l'information, modèles de politique d'archivage mixte, études de cas de projets d'archivage mixte, présentation d'architectures techniques.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une politique d'archivage mixte pour une organisation. Conception d'un processus de gestion hybride pour un type de document clé. Analyse des solutions techniques pour un projet d'archivage mixte.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
