ID,Prix,Geographie,Thème de la Formation,Objectif Pédagogique,Temps Moyen de Formation,Pré-requis,Public Concerné,Lieu,Méthodes Mobilisées,Moyens Pédagogiques,Délai d'Accès,Modalités,Modalités d'Évaluation,Accessibilité aux Personnes en Situation de Handicap
SGH-001,"À partir de €6,899","Paris, Sud de la France, Dubaï",Quantification et chaîne d'approvisionnement en santé,"Maîtriser les méthodes de quantification des besoins en produits de santé (médicaments, consommables...) et optimiser la gestion de leur chaîne d'approvisionnement (achat, stockage, distribution) pour garantir la disponibilité et la qualité.",2 semaines (env. 70-80h),"Expérience en logistique, pharmacie, gestion de stocks ou santé publique. Bonne maîtrise des outils de calcul (Excel).","Pharmaciens gestionnaires (hôpitaux, centrales d'achat), logisticiens de santé, responsables approvisionnement santé, planificateurs de programmes de santé, gestionnaires de stocks médicaux, consultants SCM santé.",Dans nos locaux / En ligne / Intra-entreprise,"Méthodes de quantification (morbidité, consommation...), processus d'achat public/privé de produits de santé, gestion des stocks pharmaceutiques (FEFO, péremption...), bonnes pratiques de stockage et distribution (BPSD), chaîne du froid, systèmes d'information logistique santé (SIGL), indicateurs clés.","Supports de cours, outils de quantification (OMS...), logiciels SIGL (présentation/pratique type OpenLMIS), guides bonnes pratiques stockage/distribution pharmaceutique (BPD), normes de la chaîne du froid, études de cas quantification/SCM santé, exercices de calcul/planification.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Réalisation d'une quantification des besoins pour un programme de santé simple. Conception d'un plan d'approvisionnement. Mise en place d'indicateurs de suivi de la performance de la chaîne d'approvisionnement santé. Analyse d'un processus de stockage/distribution.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-002,"À partir de €6,899","Paris, Sud de la France, Dubaï",Référent qualité et bonnes pratiques de laboratoire,"Maîtriser le rôle de référent qualité et les outils nécessaires pour mettre en place, maintenir et améliorer un système de management de la qualité dans un laboratoire (biologie médicale, essais...) selon les normes applicables (ISO 15189, ISO 17025...).",2 semaines (env. 70-80h),"Formation technique ou scientifique (biologie, chimie...) avec expérience en laboratoire. Connaissance de base des normes qualité est un plus.","Techniciens de laboratoire, biologistes, pharmaciens biologistes, ingénieurs qualité, responsables de laboratoire souhaitant mettre en place/améliorer la démarche qualité, futurs référents qualité laboratoire.",Dans nos locaux / En ligne / Intra-entreprise,"Normes qualité laboratoire (ISO 15189/17025 - exigences clés), documentation qualité (manuel, procédures, modes opératoires), gestion des équipements (métrologie, maintenance), maîtrise des processus analytiques, gestion des non-conformités/actions correctives, audits internes qualité.","Supports de cours, Normes ISO 15189/17025 (accès/présentation), guides d'accréditation (Cofrac...), outils qualité (PDCA, 5M...), exemples de documentation qualité laboratoire, techniques d'audit interne (ISO 19011 bases), exercices pratiques (rédaction procédure, analyse non-conformité).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'une procédure ou d'un mode opératoire qualité pour le laboratoire. Réalisation d'une analyse de cause et proposition d'actions correctives suite à une non-conformité. Préparation d'un plan d'audit interne qualité pour un secteur du laboratoire.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-003,"À partir de €6,899","Paris, Sud de la France, Dubaï",Biologie moléculaire appliquée à la biotechnologie médicale,"Acquérir une maîtrise pratique des principales techniques de biologie moléculaire (PCR, séquençage, clonage...) utilisées en biotechnologie médicale pour le diagnostic, la recherche et le développement thérapeutique.",2 semaines (env. 70-80h),"Formation scientifique supérieure (Biologie, Biochimie, Biotechnologie - Master/Ingénieur/Doctorat). Bonnes connaissances théoriques en biologie moléculaire/cellulaire.","Chercheurs, ingénieurs R&D, techniciens supérieurs spécialisés en biotechnologie médicale (laboratoires de recherche publics/privés, industries pharmaceutiques/biotech), biologistes médicaux souhaitant approfondir les techniques moléculaires.",En Laboratoire / Intra-entreprise (si équipé),"PCR et variantes (qPCR, RT-PCR), électrophorèse, séquençage (Sanger, NGS - principes), clonage moléculaire et expression de protéines recombinantes, techniques d'analyse d'acides nucléiques (Southern/Northern blot - principes), culture cellulaire et transfection (bases). Pratique intensive en laboratoire.","Paillasse de laboratoire équipée pour la biologie moléculaire (PCR, électrophorèse, spectro...), réactifs et consommables, supports de cours théoriques, protocoles expérimentaux détaillés, outils bioinformatiques (analyse séquences - initiation).",2 semaines (selon calendrier),Présentiel (majoritairement pratique),"Réalisation pratique des principales techniques (PCR, électrophorèse, clonage simple...). Interprétation des résultats expérimentaux. Capacité à choisir la technique moléculaire adaptée à une question biologique donnée. Rédaction d'un protocole expérimental simple.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-004,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion prévisionnelle du personnel hospitalier,Maîtriser les méthodes et outils de gestion prévisionnelle des effectifs et des compétences (GPEC) spécifiques au milieu hospitalier pour anticiper les besoins en personnel médical/soignant/administratif et accompagner les évolutions.,2 semaines (env. 70-80h),Expérience confirmée en GRH hospitalière ou en gestion/planification dans le secteur de la santé. Connaissance des métiers et statuts hospitaliers.,"DRH hospitaliers, responsables GRH/GPEC/formation/recrutement hospitaliers, directeurs des soins, cadres de santé, responsables de pôles/services hospitaliers, consultants RH spécialisés santé.",Dans nos locaux / En ligne / Intra-entreprise,"Diagnostic prospectif des besoins RH hospitaliers (démographie médicale, évolutions technologiques/organisationnelles...), élaboration de référentiels métiers/compétences hospitaliers, cartographie des effectifs/compétences, plans d'action GPEC (recrutement, formation, mobilité, attractivité).","Supports de cours, méthodologie GPEC hospitalière, outils de diagnostic démographique/compétences, référentiels métiers hospitaliers (existant), exemples de plans GPEC hospitaliers, logiciels SIRH/GPEC (présentation), réglementation/statuts fonction publique hospitalière.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Réalisation d'un diagnostic GPEC simplifié pour un service hospitalier. Élaboration d'un plan d'action GPEC pour répondre à un besoin anticipé (ex: recrutement d'une nouvelle compétence, accompagnement d'une réorganisation).","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-005,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion financière des établissements de santé,"Maîtriser les spécificités de la gestion financière et budgétaire d'un établissement de santé (hôpital, clinique...) : financement (T2A/dotation...), budget EPRD, comptabilité analytique hospitalière (RTC...), pilotage financier.",2 semaines (env. 70-80h),Solides connaissances en finance/comptabilité/contrôle de gestion. Expérience dans le secteur de la santé est un fort atout.,"Directeurs financiers/DAF établissements de santé, contrôleurs de gestion hospitaliers, responsables facturation/recouvrement/budget, consultants finance/gestion hospitalière, cadres autorités de tutelle (finances santé), experts-comptables spécialisés santé.",Dans nos locaux / En ligne / Intra-entreprise,"Cadre financier/comptable hospitalier (public/privé), mécanismes de financement (T2A, dotation globale...), élaboration/suivi budget EPRD (État Prévisionnel Recettes/Dépenses), comptabilité analytique hospitalière (retraitement comptable RTC...), analyse coûts/performance financière.","Supports de cours, nomenclatures comptables hospitalières, règles de tarification (T2A...), outils de comptabilité analytique hospitalière (RTC...), logiciels gestion financière hospitalière (présentation), guides méthodologiques ANAP/ATIH, études de cas financiers hospitaliers.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Élaboration d'un EPRD simple. Calcul et analyse de coûts par activité/séjour avec la méthode RTC (simplifiée). Analyse de la performance financière d'un établissement de santé.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-006,"À partir de €6,899","Paris, Sud de la France, Dubaï",Gestion hospitalière et maîtrise des dépenses de santé,"Comprendre les leviers de la gestion hospitalière moderne pour améliorer l'efficience, la qualité des soins et maîtriser les dépenses de santé, dans un contexte de contraintes budgétaires croissantes.",2 semaines (env. 70-80h),"Expérience en management hospitalier, finances hospitalières, contrôle de gestion ou politiques de santé.","Directeurs d'hôpital/clinique, directeurs financiers/médicaux/soins, cadres supérieurs hospitaliers, contrôleurs de gestion hospitaliers, cadres des autorités de tutelle/agences régionales de santé (ARS), consultants en management hospitalier.",Dans nos locaux / En ligne / Intra-entreprise,"Organisation et gouvernance hospitalière, pilotage médico-économique (par pôles...), optimisation des processus hospitaliers (parcours patient, logistique...), gestion des ressources humaines hospitalières (productivité...), maîtrise des achats et consommations, évaluation qualité/coûts.","Supports de cours, outils de pilotage médico-économique, méthodes d'optimisation des processus (Lean hospitalier...), techniques de contrôle de gestion hospitalier, stratégies d'achats groupés, indicateurs qualité/efficience hospitalière, études de cas de maîtrise des dépenses.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Diagnostic de la performance médico-économique d'un service hospitalier. Proposition d'un plan d'action pour maîtriser les dépenses sur un poste spécifique (ex: pharmacie, intérim). Analyse d'une démarche d'optimisation de parcours patient.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-007,"À partir de €6,899","Paris, Sud de la France, Dubaï",Économie et gestion des services de santé,"Appliquer les concepts de l'économie et de la gestion à l'analyse du secteur de la santé : offre et demande de soins, financement, régulation, évaluation économique des actions de santé, management des organisations de santé.",2 semaines (env. 70-80h),"Formation en économie, gestion, santé publique ou expérience professionnelle dans le secteur de la santé.","Économistes de la santé, gestionnaires d'établissements de santé, cadres des ministères/agences de santé, chercheurs en économie/gestion de la santé, consultants en systèmes de santé, personnel des assurances maladie.",Dans nos locaux / En ligne / Intra-entreprise,"Micro/macro-économie de la santé, systèmes de financement de la santé (assurance, impôt...), régulation de l'offre de soins, évaluation médico-économique (coût-efficacité, coût-utilité...), management stratégique/opérationnel des organisations de santé, économie comportementale en santé.","Supports de cours, modèles économiques appliqués à la santé, méthodes d'évaluation médico-économique, outils de gestion/management des organisations de santé, analyses comparatives de systèmes de santé, articles de recherche en économie de la santé.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Analyse économique d'un marché de soins ou d'une politique de santé. Réalisation d'une évaluation médico-économique simple d'une intervention de santé. Application de principes de gestion à une problématique d'organisation de santé.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-008,"À partir de €6,899","Paris, Sud de la France, Dubaï",Piloter la performance sociale en milieu hospitalier,"Définir, mesurer et piloter la performance sociale d'un établissement hospitalier : climat social, conditions de travail, développement RH, dialogue social, RSE hospitalière.",2 semaines (env. 70-80h),"Expérience en GRH hospitalière, management hospitalier ou relations sociales.","DRH hospitaliers, responsables relations sociales/conditions de travail/QVT, contrôleurs de gestion sociale hospitaliers, représentants du personnel (CSE/CHSCT), consultants RH/social secteur santé.",Dans nos locaux / En ligne / Intra-entreprise,"Dimensions de la performance sociale hospitalière, indicateurs clés (bilan social hospitalier, enquêtes climat social...), outils de diagnostic social, politiques et actions RH pour améliorer la performance sociale (QVT, formation, dialogue...), reporting social et RSE hospitalière.","Supports de cours, indicateurs du bilan social hospitalier, outils d'enquête climat social/QVT, exemples de politiques sociales hospitalières (prévention RPS, GPEC...), guides RSE secteur santé, méthodes de reporting social intégré.",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Conception d'un tableau de bord de la performance sociale pour un hôpital. Analyse des résultats d'une enquête de climat social et proposition d'actions. Élaboration d'une section du rapport RSE d'un établissement de santé.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-009,"À partir de €6,899","Paris, Sud de la France, Dubaï",Techniques de communication dans le système de santé,"Maîtriser les techniques de communication adaptées aux différentes situations et interlocuteurs du système sanitaire : communication patient/soignant, communication interprofessionnelle, communication institutionnelle/de crise.",2 semaines (env. 70-80h),"Exercer une profession dans le secteur sanitaire (soignant, administratif, manager) ou en communication santé.","Professionnels de santé (médecins, infirmiers, cadres...), personnel administratif et d'accueil hospitalier, responsables communication des établissements de santé/agences de santé, patients experts/représentants d'usagers.",Dans nos locaux / En ligne / Intra-entreprise,"Communication interpersonnelle en santé (écoute active, empathie...), communication patient/famille (annonce mauvaise nouvelle...), communication en équipe pluriprofessionnelle, communication institutionnelle (relations presse...), communication de crise sanitaire, communication digitale santé.","Supports de cours, techniques de communication (PNL/AT adaptées santé), modèles de communication de crise, outils de communication digitale santé (réseaux sociaux...), mises en situation et jeux de rôles (relation patient, communication équipe, interview média...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,Mises en situation de communication patient/soignant ou interprofessionnelle. Simulation de gestion de communication de crise sanitaire simple. Élaboration de messages clés pour une communication institutionnelle santé.,"Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
SGH-010,"À partir de €6,899","Paris, Sud de la France, Dubaï",Stratégie et management des projets de santé,"Maîtriser les spécificités de la gestion de projet appliquée au secteur de la santé (projets cliniques, organisationnels, SI santé, santé publique...) : stratégie, planification, pilotage, évaluation.",2 semaines (env. 70-80h),Expérience en gestion de projet et/ou connaissance du secteur de la santé.,"Chefs de projet santé (établissements, agences, industrie pharma/medtech, ONG...), cadres de santé/médecins chefs de projet, consultants en management/organisation santé, responsables de programmes de santé publique.",Dans nos locaux / En ligne / Intra-entreprise,"Cycle de vie projet santé, élaboration de la stratégie projet (alignement objectifs santé), planification spécifique (ressources médicales/soignantes...), gestion des risques projet santé (cliniques, éthiques, réglementaires...), gestion des parties prenantes en santé, évaluation d'impact.","Supports de cours, standards de gestion de projet adaptés à la santé, outils de planification/suivi, méthodes d'évaluation de projets de santé, réglementation spécifique (recherche clinique...), études de cas de projets santé (organisationnels, SI, santé publique...).",2 semaines (selon calendrier),Présentiel / Distanciel / Hybride,"Élaboration d'un plan de management de projet pour un projet de santé donné (ex: déploiement nouveau service, mise en place SI). Analyse des risques spécifiques d'un projet santé. Définition d'indicateurs d'évaluation d'impact.","Analyse des besoins spécifiques lors de l'inscription pour proposer des aménagements adaptés (pédagogiques, matériels, organisationnels). Contactez notre référent handicap."
